player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Frank Gore,2282,HB,1,IND,0,0,0,0,0,0,60.0,,,,,,0,0,0,0,0
Richie Incognito,2298,G,16,BUF,0,0,0,0,0,71,63.1,,,,,,0,0,0,0,0
Dustin Colquitt,2316,P,16,KC,0,0,0,78,0,75,63.6,,,73.6,,,1,0,0,0,0
Darren Sproles,2347,HB,15,PHI,3,0,57,0,0,0,61.2,,59.9,,90.1,,0,0,0,0,0
Trent Cole,2363,ED,6,IND,0,0,0,0,30,0,58.8,,,,,,0,0,0,0,0
Joe Berger,2424,C,12,MIN,0,0,0,0,0,42,61.7,,,,,,0,0,0,0,0
Lorenzo Alexander,2476,ED,16,BUF,0,76,39,73,65,0,69.7,,,,,,0,0,8,3,3
Jon Condo,2539,LS,16,OAK,0,0,1,84,0,74,50.9,,,,,,0,0,0,0,0
John Denney,2561,LS,16,MIA,0,0,0,91,0,64,52.6,,,,,,0,0,0,1,2
Robbie Gould,2607,K,10,NYG,0,43,0,0,0,33,60.7,55.4,,,,63.8,0,0,1,0,0
John Kuhn,2686,FB,16,NO,98,2,3,16,0,0,50.4,,,,,,1,0,1,0,1
L.P. Ladouceur,2687,LS,16,DAL,0,0,0,61,0,79,79.2,,,,,,0,0,1,0,0
Nick Novak,2726,K,16,HST,0,74,0,0,0,67,60.9,47.3,,,,56.8,0,0,1,0,0
Greg Warren,2831,LS,16,PIT,0,0,0,74,0,66,71.0,,,,,,0,0,0,0,0
Ahmad Brooks,2945,ED,16,SF,0,0,8,0,77,0,71.1,,,,,,1,0,0,0,0
Mario Williams,2946,ED,10,MIA,0,0,6,0,11,0,59.5,,,,,,0,0,0,0,0
Reggie Bush,2947,HB,8,BUF,31,0,11,0,0,0,58.6,,61.9,,62.0,,0,0,0,0,0
A.J. Hawk,2950,ST,1,ATL,3,6,6,0,4,0,61.6,,,,,,0,0,0,0,0
Vernon Davis,2951,TE,3,WAS,3,0,0,0,0,5,60.1,,,,,,0,0,0,0,0
Donte Whitner,2953,S,3,WAS,0,11,0,0,0,0,48.3,,,,,,0,0,0,0,0
Haloti Ngata,2957,DI,13,DET,0,0,4,0,44,0,58.3,,,,,,0,0,0,0,0
Chad Greenway,2962,LB,16,MIN,2,0,8,0,63,0,61.0,,,,,,0,0,0,0,0
Antonio Cromartie,2964,CB,4,IND,0,0,0,0,14,0,92.1,,,,,,0,0,0,0,0
DeAngelo Williams,2972,HB,1,PIT,2,0,0,0,0,0,59.9,,,,,,0,0,0,0,0
Marcedes Lewis,2973,TE,6,JAX,0,0,0,0,0,16,61.1,,,,,,0,0,0,0,0
Nick Mangold,2974,C,1,NYJ,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0
D'Qwell Jackson,2979,LB,12,IND,0,0,0,0,60,0,58.4,,,,,,0,0,0,0,0
Roman Harper,2988,S,15,NO,29,79,4,0,8,0,55.7,,,,,,0,0,3,1,3
Kellen Clemens,2994,QB,11,SD,0,0,0,0,0,50,62.8,,,,,,0,0,0,0,0
Anthony Fasano,2998,TE,16,TEN,7,0,0,0,0,66,42.0,,,,,,0,0,0,0,0
Andrew Whitworth,3000,T,16,CIN,0,0,0,0,0,70,63.3,,,,,,0,0,0,0,0
Chris Chester,3001,G,16,ATL,0,0,0,0,0,94,65.3,,,,,,0,0,0,0,0
Devin Hester,3002,WR,12,BLT,47,0,78,0,0,0,61.7,,63.0,,47.1,,0,0,0,0,0
Darryl Tapp,3008,ED,14,NO,38,0,8,0,73,21,56.2,,,,,,0,0,0,0,0
Eric Winston,3011,T,16,CIN,0,0,0,0,0,70,54.0,,,,,,1,0,0,0,0
Frostee Rucker,3036,DI,2,ARZ,0,0,0,0,1,0,60.1,,,,,,0,0,0,0,0
Jahri Evans,3053,G,16,NO,0,0,0,0,0,85,65.1,,,,,,0,0,0,0,0
Will Blackmon,3060,S,11,WAS,39,40,17,0,0,0,60.7,,66.6,,60.5,,0,0,2,0,0
Stephen Gostkowski,3063,K,16,NE,0,94,0,0,0,81,61.0,65.1,,,,57.3,0,0,0,0,0
Brandon Marshall,3064,WR,2,NYJ,2,0,0,0,0,0,60.0,,61.2,,,,0,0,0,0,0
Domata Peko Sr.,3068,DI,16,CIN,0,0,1,0,62,70,58.4,,,,,,0,0,0,0,0
Kyle Williams,3079,DI,11,BUF,0,0,0,0,50,0,59.0,,,,,,0,0,0,0,0
Rob Ninkovich,3080,ED,12,NE,6,0,5,0,40,0,61.2,,,,,,0,0,0,0,0
Delanie Walker,3120,TE,2,TEN,3,0,0,0,0,0,58.8,,,,,,0,0,0,0,0
Kedric Golston,3141,DI,1,WAS,0,0,0,0,6,4,60.6,,,,,,0,0,0,0,0
Sam Koch,3148,P,16,BLT,0,1,0,83,0,68,63.9,60.0,,79.9,,,0,0,1,0,0
Antoine Bethea,3152,S,3,SF,0,0,1,0,15,0,60.5,,,,,,0,0,0,0,0
Zach Strief,3155,T,16,NO,0,0,0,0,0,83,62.2,,,,,,0,0,0,0,0
Thomas Gafford,3316,LS,6,DEN,0,0,0,43,0,20,61.4,,,,,,1,0,1,0,0
Tom Johnson,3378,DI,13,MIN,0,0,5,0,26,0,46.9,,,,,,1,1,0,0,0
Tony McDaniel,3423,DI,16,SEA,0,0,0,0,55,0,59.1,,,,,,0,0,0,0,0
Donald Penn,3459,T,15,OAK,0,0,0,0,0,73,63.3,,,,,,0,0,0,0,0
Matt Prater,3471,K,16,DET,0,2,0,0,0,69,60.4,60.0,,,,84.0,0,0,0,0,0
Jon Ryan,3493,P,16,SEA,0,1,0,72,0,72,63.5,60.0,,65.7,,,0,0,0,0,0
Tramon Williams,3558,CB,10,CLV,0,0,18,0,5,0,60.6,,,,56.0,,0,0,0,0,0
Brent Grimes,3589,CB,9,TB,0,0,0,0,42,0,61.2,,,,,,0,0,0,0,0
Joe Thomas,3619,T,3,CLV,0,0,0,0,0,6,60.5,,,,,,0,0,0,0,0
Ted Ginn Jr.,3625,WR,16,CAR,41,0,71,1,1,0,61.7,,56.0,,54.6,,0,0,0,0,0
Darrelle Revis,3630,CB,6,NYJ,0,0,6,0,1,0,60.0,,,,,,0,0,0,0,0
Lawrence Timmons,3631,LB,16,PIT,0,0,0,0,58,0,59.9,,,,,,0,0,0,0,0
Leon Hall,3634,CB,11,NYG,0,42,8,0,1,0,64.1,,,,,,0,0,1,0,0
Michael Griffin,3635,S,13,CAR,40,55,37,48,14,0,65.3,,,,,,0,0,5,0,1
Joe Staley,3644,T,12,SF,0,0,0,0,0,44,62.7,,,,,,0,0,0,0,0
Greg Olsen,3647,TE,4,CAR,3,1,0,0,0,0,60.6,,,,,,0,0,0,0,0
Alan Branch,3649,DI,16,NE,0,0,20,0,53,81,78.1,,,,,,0,0,0,0,0
Paul Posluszny,3650,LB,16,JAX,0,0,0,0,82,0,58.5,,,,,,0,0,0,0,0
Eric Weddle,3653,S,4,BLT,3,0,0,0,6,0,59.6,,,,,,0,0,0,0,0
David Harris,3663,LB,15,NYJ,0,0,7,9,69,0,71.8,,,,,,0,0,1,0,0
Justin Durant,3664,LB,2,DAL,0,0,0,0,4,0,60.2,,,,,,0,0,0,0,0
Ryan Harris,3686,T,4,PIT,0,0,0,0,0,17,61.9,,,,,,0,0,0,0,0
Charles Johnson,3699,ED,5,CAR,0,0,7,0,3,0,31.8,,,,,,1,0,0,0,0
Brandon Mebane,3701,DI,4,SD,0,0,4,0,13,0,59.9,,,,,,0,0,0,0,0
Marshal Yanda,3702,G,5,BLT,0,0,0,0,0,20,62.7,,,,,,0,0,0,0,0
Brian Robison,3718,ED,16,MIN,0,0,6,0,55,0,60.1,,,,,,0,0,0,0,0
Paul Soliai,3724,DI,4,CAR,0,0,1,0,6,7,60.0,,,,,,0,0,0,0,0
Zak DeOssie,3732,LS,16,NYG,0,0,0,93,0,57,61.5,,,,,,1,0,5,0,4
Allen Barbre,3735,G,12,PHI,0,0,0,0,0,44,62.9,,,,,,0,0,0,0,0
Doug Free,3738,T,16,DAL,0,0,0,0,0,79,62.2,,,,,,0,0,0,0,0
Jermon Bushrod,3741,G,16,MIA,0,0,0,0,0,64,63.2,,,,,,0,0,0,0,0
Dashon Goldson,3742,S,4,ATL,3,11,17,0,20,0,64.9,,,,,,0,0,0,1,0
Brent Celek,3778,TE,16,PHI,78,1,0,18,0,72,61.3,,61.2,,,,0,0,0,0,1
Corey Graham,3784,S,16,BUF,1,5,1,65,69,0,68.2,,,,,,0,0,5,0,0
William Gay,3786,CB,10,PIT,1,0,0,0,34,0,62.6,,,,,,0,0,0,0,0
Nick Folk,3794,K,16,NYJ,0,71,0,0,0,57,60.9,68.1,,,,69.2,0,0,1,0,1
Mason Crosby,3809,K,16,GB,0,90,0,0,0,77,61.0,59.6,,,,62.9,0,0,0,0,0
Clark Harris,3859,LS,13,CIN,0,0,0,67,0,55,79.8,,,,,,0,0,4,0,3
Jason Trusnik,4083,ST,3,NO,18,20,10,8,17,0,56.3,,,,,,0,0,0,0,1
Eric Weems,4097,WR,16,ATL,85,112,68,50,0,0,78.8,,50.2,,69.0,,0,0,12,3,1
James Ihedigbo,4147,S,4,BUF,20,0,21,6,13,0,54.2,,,,,,1,1,1,0,0
Brett Goode,4222,LS,16,GB,0,0,0,57,0,77,62.4,,,,,,0,0,0,0,0
Jake Long,4315,T,3,MIN,0,0,0,0,0,9,61.2,,,,,,0,0,0,0,0
Chris Long,4316,ED,1,NE,0,0,0,0,0,0,60.0,,,,,,0,0,0,0,0
Darren McFadden,4318,HB,3,DAL,10,0,0,2,0,0,57.9,,61.2,,,,0,0,0,0,0
Glenn Dorsey,4319,DI,3,SF,0,0,4,0,0,0,60.9,,,,,,0,0,0,0,0
Leodis McKelvin,4325,CB,12,PHI,0,0,1,0,40,0,60.9,,,,,,0,0,0,0,0
Ryan Clady,4326,T,9,NYJ,0,0,0,0,0,36,55.4,,,,,,0,0,0,0,0
Dominique Rodgers-Cromartie,4330,CB,15,NYG,0,16,60,0,47,0,67.7,,,,,,0,0,0,0,0
Gosder Cherilus,4331,T,14,TB,0,0,0,0,0,57,63.4,,,,,,0,0,0,0,0
Aqib Talib,4334,CB,12,DEN,0,0,1,0,47,0,39.8,,,,60.1,,2,1,0,0,0
Duane Brown,4340,T,12,HST,0,0,0,0,0,45,39.0,,,,,,0,0,0,0,0
Brandon Flowers,4349,CB,2,SD,0,0,5,0,0,0,71.8,,,,,,0,0,0,0,0
Tracy Porter,4354,CB,3,CHI,0,0,4,0,0,0,60.0,,,,,,0,0,0,0,0
Eddie Royal,4356,WR,8,CHI,0,0,37,0,0,0,61.1,,,,70.9,,0,0,0,0,0
Calais Campbell,4364,DI,16,ARZ,0,0,12,0,70,77,53.6,,,,,,1,0,0,0,0
Jason Jones,4368,ED,14,MIA,0,0,6,0,62,0,81.7,,,,,,0,0,0,0,0
Martellus Bennett,4375,TE,8,NE,0,0,0,0,0,36,61.7,,,,,,0,0,0,0,0
John Greco,4379,G,12,CLV,0,0,0,0,0,37,63.0,,,,,,0,0,0,0,0
Kendall Langford,4380,DI,3,IND,0,0,0,0,12,0,58.7,,,,,,0,0,0,0,0
Pat Sims,4391,DI,1,CIN,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0
Jeremy Zuttah,4397,C,1,BLT,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0
Cliff Avril,4406,ED,4,SEA,0,0,9,0,1,0,60.7,,,,,,0,0,0,0,0
Philip Wheeler,4407,LB,16,ATL,30,33,32,0,63,0,67.9,,,,,,0,0,1,0,0
Tyvon Branch,4414,CB,6,ARZ,26,20,21,1,15,0,49.8,,,,,,1,0,1,0,0
William Hayes,4417,ED,3,LA,0,0,2,0,5,0,60.7,,,,,,0,0,0,0,0
Dwight Lowery,4427,S,11,SD,1,34,0,0,6,0,53.5,,,,,,1,0,0,0,0
Jacob Tamme,4441,TE,6,ATL,9,0,0,7,0,0,55.0,,,,,,0,0,0,0,0
Tony Hills,4444,T,11,NO,0,0,0,0,0,49,62.8,,,,,,0,0,0,0,0
Josh Sitton,4449,G,13,CHI,0,0,0,0,0,46,55.0,,,,,,0,0,0,0,0
Brandon Carr,4454,CB,16,DAL,0,0,35,0,50,0,63.4,,,,,,0,0,0,0,0
Gary Barnidge,4455,TE,14,CLV,0,2,0,0,0,46,61.9,,,,,,0,0,0,0,0
Orlando Scandrick,4457,CB,5,DAL,0,0,0,0,9,0,61.6,,,,,,0,0,0,0,0
Jerome Felton,4460,FB,12,BUF,59,0,0,0,0,0,66.2,,59.7,,,,0,0,0,0,0
Tim Hightower,4463,HB,9,NO,32,20,11,0,0,0,66.4,,57.4,,,,0,0,0,0,0
Breno Giacomini,4464,T,5,NYJ,0,0,0,0,0,16,61.7,,,,,,0,0,0,0,0
Letroy Guion,4466,DI,12,GB,0,0,0,0,0,55,64.2,,,,,,0,0,0,0,0
Matthew Slater,4467,WR,13,NE,48,69,52,56,0,0,60.1,,28.8,,,,0,0,3,1,4
Kellen Davis,4472,TE,8,NYJ,0,0,0,36,0,28,65.5,,,,,,0,0,1,0,0
Erik Walden,4481,ED,13,IND,0,0,2,0,57,0,60.8,,,,,,0,0,0,0,0
John Sullivan,4501,C,13,WAS,2,0,0,0,0,65,61.5,,,,,,0,0,0,0,0
Ahtyba Rubin,4504,DI,16,SEA,0,0,0,0,52,0,57.4,,,,,,0,0,0,0,0
Pierre Garcon,4519,WR,2,WAS,1,1,0,0,0,0,59.8,,,,,,0,0,0,0,0
King Dunlap,4544,T,10,SD,0,0,0,0,1,37,61.7,,,,,,0,0,0,0,0
Brett Kern,4580,P,16,TEN,0,1,0,78,0,66,63.4,60.0,,67.3,,,0,0,0,0,0
Wesley Woodyard,4583,LB,16,TEN,46,0,14,78,72,0,68.1,,,,,,0,0,3,1,2
Ryan Wendell,4602,ST,1,CAR,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0
Chris Clark,4623,T,15,HST,0,0,0,0,0,65,63.3,,,,,,0,0,0,0,0
Leger Douzable,4654,DI,16,BUF,6,0,0,0,69,71,60.4,,,,,,0,0,0,0,0
Stephen Hauschka,4655,K,16,SEA,0,86,0,0,0,72,61.0,69.9,,,,53.2,0,0,1,0,0
Erin Henderson,4656,LB,4,NYJ,2,3,1,21,14,0,61.9,,,,,,0,0,1,1,0
Dan Carpenter,4697,K,16,BUF,0,70,0,0,0,71,60.9,33.5,,,,36.2,1,0,1,0,2
Matthew Mulligan,4701,TE,8,DET,37,0,0,0,0,34,61.9,,,,,,0,0,0,0,0
J.J. Jansen,4712,LS,16,CAR,0,0,0,79,0,73,67.9,,,,,,0,0,1,0,2
Danny Amendola,4717,WR,11,NE,18,0,29,0,0,0,60.0,,75.7,,60.0,,0,0,0,0,0
Mike Tolbert,4740,FB,16,CAR,89,50,0,1,0,24,69.7,,,,,,0,0,0,0,0
Wallace Gilberry,4763,ED,6,CIN,0,0,1,0,14,0,60.2,,,,,,0,0,0,0,0
Connor Barth,4777,K,16,CHI,0,65,0,0,0,56,60.8,55.9,,,,63.0,0,0,0,0,0
Joe Reitz,4789,T,13,IND,0,0,0,0,0,60,55.8,,,,,,1,0,0,0,0
Jerrell Freeman,4888,LB,4,CHI,0,0,3,0,10,0,60.5,,,,,,0,0,0,0,0
Cameron Wake,4907,ED,5,MIA,0,0,8,0,0,0,60.3,,,,,,0,0,0,0,0
Danny Woodhead,4914,HB,1,SD,0,0,0,3,0,0,58.4,,,,,,0,0,0,0,0
Tyson Jackson,4926,DI,16,ATL,0,0,0,0,65,1,56.4,,,,,,0,0,0,0,0
Andre Smith,4929,T,3,MIN,0,0,0,0,0,14,61.7,,,,,,0,0,0,0,0
Darrius Heyward-Bey,4930,WR,10,PIT,0,42,37,35,0,0,70.7,,,,,,0,0,3,0,0
Brian Orakpo,4936,ED,4,TEN,0,0,2,0,10,0,59.2,,,,,,0,0,0,0,0
Malcolm Jenkins,4937,S,16,PHI,2,73,3,0,67,0,65.1,,,,,,0,0,3,0,0
Robert Ayers,4941,ED,12,TB,0,0,0,0,41,0,58.2,,,,,,0,0,0,0,0
Jeremy Maclin,4942,WR,3,KC,4,0,0,0,0,0,75.0,,,,,,0,0,0,0,0
Alex Mack,4944,C,2,ATL,0,0,0,0,0,9,61.1,,,,,,0,0,0,0,0
Michael Oher,4946,T,3,CAR,0,0,0,0,0,17,61.1,,,,,,0,0,0,0,0
Clay Matthews,4949,ED,8,GB,0,0,0,0,28,0,61.0,,,,,,0,0,0,0,0
Kenny Britt,4953,WR,2,LA,1,1,0,0,0,0,60.1,,,,,,0,0,0,0,0
Ziggy Hood,4955,DI,16,WAS,0,0,0,0,19,81,61.2,,,,,,0,0,0,0,0
Patrick Chung,4957,S,16,NE,28,59,62,0,51,0,81.6,,61.2,,60.7,,0,0,4,0,0
James Laurinaitis,4958,LB,5,NO,0,10,4,0,15,0,61.7,,,,,,0,0,0,0,0
Rey Maualuga,4961,LB,14,CIN,0,0,1,0,54,0,61.2,,,,,,0,0,0,0,0
Jairus Byrd,4965,S,16,NO,2,0,19,0,80,0,60.2,,,,56.6,,0,0,0,0,0
Connor Barwin,4969,ED,10,PHI,2,0,3,0,41,0,61.6,,,,,,0,0,0,0,0
Mike Mitchell,4970,S,16,PIT,5,0,0,0,61,0,60.7,,,,,,0,0,0,0,0
Max Unger,4972,C,11,NO,0,0,0,0,0,56,62.6,,,,,,0,0,0,0,0
Andy Levitre,4974,G,15,ATL,3,0,0,0,0,85,63.0,,,,,,0,0,0,0,0
Paul Kruger,4980,ED,15,NO,0,0,8,0,73,0,50.3,,,,,,1,0,0,0,0
Will Beatty,4983,T,5,NYG,0,0,0,0,0,13,60.9,,,,,,0,0,0,0,0
Sen'Derrick Marks,4985,DI,16,JAX,0,0,0,0,78,0,75.2,,,,,,0,0,0,0,0
Michael Johnson,4993,ED,16,CIN,0,0,1,0,60,0,57.9,,,,,,0,0,0,0,0
DeAndre Levy,4999,LB,1,DET,0,0,0,0,5,0,61.4,,,,,,0,0,0,0,0
Kraig Urbik,5002,C,16,MIA,0,0,0,0,0,64,46.4,,,,,,0,0,0,0,0
Brandon Tate,5006,WR,15,BUF,76,34,66,7,0,0,67.8,,63.1,,75.8,,0,0,1,0,0
Lardarius Webb,5011,S,5,BLT,1,0,9,0,1,0,60.2,,59.9,,61.5,,0,0,0,0,0
Jared Cook,5012,TE,6,GB,7,0,0,0,0,5,59.6,,,,,,0,0,0,0,0
Jerraud Powers,5015,CB,4,BLT,0,7,18,1,5,0,68.7,,,,,,0,0,0,0,0
Rashad Johnson,5018,S,13,TEN,44,3,0,5,15,0,48.1,,,,,,0,0,0,0,0
Chase Coffman,5021,TE,2,IND,11,0,4,0,0,0,59.3,,,,,,0,0,0,0,0
T.J. Lang,5032,G,6,GB,0,0,0,0,0,22,61.3,,,,,,0,0,0,0,0
Glover Quin,5035,S,16,DET,0,0,4,0,65,0,79.7,,,,,,0,0,0,0,0
David Bruton,5037,S,4,WAS,0,0,4,7,20,0,65.6,,,,,,0,0,1,0,0
Greg Toler,5055,CB,16,WAS,0,57,56,0,7,0,65.7,,,,,,0,0,1,1,0
Kevin Huber,5066,P,16,CIN,0,1,0,80,0,70,43.7,60.0,,54.7,,,1,0,0,0,0
Thomas Morstead,5088,P,16,NO,0,0,0,59,0,85,64.1,,,85.7,,,1,0,1,0,0
Don Carey,5101,CB,14,DET,64,62,46,53,46,0,91.5,,,,,,1,0,9,0,2
Zach Miller,5104,TE,4,CHI,2,0,0,0,0,4,60.2,,,,,,0,0,0,0,0
Cedric Peerman,5109,HB,6,CIN,26,29,27,29,0,0,73.6,,,,,,0,0,2,0,0
Brice McCain,5112,CB,12,TEN,0,59,47,0,0,0,52.2,,,,,,2,0,2,0,0
Matt Slauson,5117,C,8,SD,0,0,0,0,0,27,62.0,,,,,,0,0,0,0,0
Brandon Myers,5126,TE,16,TB,72,0,0,48,0,61,49.9,,,,,,1,0,1,0,1
Jason McCourty,5127,CB,13,TEN,0,34,1,0,18,0,66.1,,,,,,0,0,1,0,0
John Phillips,5132,TE,16,NO,81,2,0,0,0,73,58.4,,,,,,0,0,0,0,0
Captain Munnerlyn,5140,CB,3,MIN,0,0,0,4,0,0,60.6,,,,,,0,0,0,0,0
Pat McAfee,5146,P,16,IND,0,89,0,57,0,78,57.0,61.1,,87.8,,,2,0,0,0,0
Julian Edelman,5156,WR,10,NE,9,0,32,0,0,0,61.0,,59.5,,54.3,,0,0,0,0,0
David Johnson,5165,TE,13,PIT,62,0,3,0,0,18,62.3,,,,,,0,0,0,0,0
Ricky Jean Francois,5168,DI,16,WAS,0,0,18,0,73,0,58.3,,,,,,0,0,0,0,0
Clinton McDonald,5173,DI,12,TB,0,0,0,0,48,0,58.0,,,,,,0,0,0,0,0
Rashad Jennings,5174,HB,6,NYG,0,0,15,0,0,0,59.9,,,,,,0,0,0,0,0
Ryan Succop,5180,K,16,TEN,0,82,0,0,0,66,60.9,62.1,,,,81.7,0,0,0,0,0
Britton Colquitt,5192,P,16,CLV,0,2,0,86,0,52,63.2,60.0,,64.7,,,0,0,0,0,1
Ramon Foster,5229,G,13,PIT,0,0,0,0,0,53,62.7,,,,,,0,0,0,0,0
Steve McLendon,5232,DI,11,NYJ,0,0,3,0,47,5,58.8,,,,,,0,0,0,0,0
Colt Anderson,5242,S,2,BUF,6,9,7,5,0,0,85.3,,,,,,0,0,2,0,0
Michael Bennett,5273,ED,3,SEA,0,0,6,0,1,0,60.9,,,,,,0,0,0,0,0
Ramon Humber,5310,LB,16,BUF,84,85,73,77,15,0,69.8,,,,,,0,0,10,2,1
Dan Skuta,5349,ED,13,JAX,68,13,28,62,66,0,53.3,,,,,,2,0,0,0,0
Jordan Norwood,5358,WR,12,DEN,15,0,60,0,0,0,61.4,,59.0,,33.0,,0,0,0,0,0
Alex Boone,5372,G,9,MIN,0,0,0,0,0,38,62.4,,,,,,0,0,0,0,0
Evan Smith,5390,C,11,TB,0,0,0,0,0,40,61.8,,,,,,0,0,0,0,0
Demar Dotson,5410,T,11,TB,0,0,0,0,0,45,61.8,,,,,,0,0,0,0,0
Jonathan Casillas,5422,LB,15,NYG,0,9,1,81,0,0,47.4,,,,,,0,0,2,0,3
Jermey Parnell,5426,T,16,JAX,0,0,0,0,0,67,45.2,,,,,,0,0,0,0,0
Garrison Sanborn,5430,LS,16,BUF,0,0,0,77,0,71,77.1,,,,,,2,0,4,0,0
Antone Smith,5440,HB,3,TB,0,17,0,0,0,0,62.8,,,,,,0,0,0,0,0
Dannell Ellerbe,5442,LB,1,NO,0,0,1,0,6,0,60.0,,,,,,0,0,0,0,0
Graham Gano,5443,K,16,CAR,0,86,0,4,0,73,61.7,80.0,,50.2,,54.2,1,0,4,0,0
Tanner Purdum,5508,LS,16,NYJ,0,0,0,77,0,57,58.8,,,,,,0,0,0,0,0
Nick Sundberg,5512,LS,14,WAS,0,0,0,46,0,70,70.0,,,,,,0,0,0,1,0
Sam Bradford,5526,QB,1,MIN,0,0,0,0,0,0,60.0,,,,,,0,0,0,0,0
Ndamukong Suh,5527,DI,16,MIA,0,0,11,0,72,0,56.9,,,,,,0,0,0,0,0
Gerald McCoy,5528,DI,14,TB,0,0,0,0,58,0,49.3,,,,,,1,0,0,0,0
Trent Williams,5529,T,1,WAS,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0
Russell Okung,5531,T,16,DEN,0,0,0,0,0,67,62.0,,,,,,0,0,0,0,0
Joe Haden,5532,CB,13,CLV,0,0,39,0,57,0,64.8,,,,55.6,,0,0,0,0,0
C.J. Spiller,5534,HB,5,NYJ,15,0,4,0,0,0,60.3,,57.3,,,,0,0,0,0,0
Tyson Alualu,5535,DI,13,JAX,9,0,1,0,44,42,67.2,,,,,,0,0,0,0,0
Anthony Davis,5536,T,1,SF,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0
Brandon Graham,5538,ED,16,PHI,5,0,2,0,67,0,60.8,,,,,,0,0,0,0,0
