year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
2014,Robert Griffin III,7008,QB,9,WAS,265,214,21,6,2,277,0,1,0,9.8,38.1,59.3
2014,Ryan Lindley,7174,QB,3,ARZ,99,93,18,5,1,141,2,2,0,19.4,33.3,57.2
2014,E.J. Manuel,7797,QB,4,BUF,147,131,18,4,1,155,1,1,0,13.7,27.8,58.3
2014,Michael Vick,773,QB,7,NYJ,153,121,17,3,3,143,1,1,0,14,35.3,57.2
2014,Derek Anderson,2430,QB,5,CAR,104,97,14,4,0,112,2,0,0,14.4,28.6,100
2014,Colt McCoy,5609,QB,5,WAS,150,128,12,5,0,182,1,1,0,9.4,41.7,81.9
2014,Chad Henne,4371,QB,3,JAX,97,78,9,3,1,134,1,0,0,11.5,44.4,119
2014,Ryan Mallett,6226,QB,2,HST,76,75,8,1,1,41,0,1,0,10.7,25,8.9
2014,Case Keenum,7323,QB,2,HST,85,77,7,1,1,35,0,1,0,9.1,28.6,8.3
2014,Connor Shaw,9036,QB,1,CLV,34,28,6,1,1,49,0,1,0,21.4,33.3,21.5
2014,Matt Cassel,2447,QB,3,MIN,81,71,6,0,0,0,0,2,0,8.5,0,0
2014,Jimmy Clausen,5573,QB,4,CHI,53,48,6,1,0,20,1,1,0,12.5,16.7,41
2014,Christian Ponder,6164,QB,1,MIN,53,44,5,0,1,0,0,0,0,11.4,20,39.6
2014,Tom Savage,8770,QB,1,HST,21,19,4,2,0,65,0,0,0,21.1,50,95.8
2014,Matt Hasselbeck,408,QB,3,IND,46,44,4,0,0,0,0,0,0,9.1,0,39.6
2014,Johnny Manziel,8657,QB,4,CLV,43,35,4,1,0,28,0,1,0,11.4,25,16.7
2014,Brandon Weeden,7028,QB,4,DAL,44,41,4,1,0,43,1,0,0,9.8,25,111.5
2014,Matt McGloin,8374,QB,1,OAK,20,19,3,1,1,22,1,1,0,15.8,66.7,60.4
2014,Brock Osweiler,7059,QB,4,DEN,12,10,2,1,1,38,0,0,0,20,100,95.8
2014,Matt Moore,4018,QB,1,MIA,4,4,2,0,0,0,0,0,0,50,0,39.6
2014,Blaine Gabbert,6162,QB,1,SF,8,7,2,0,0,0,0,0,0,28.6,0,39.6
2014,Chase Daniel,5214,QB,2,KC,33,28,2,1,0,30,0,0,0,7.1,50,95.8
2014,Fred Jackson,3368,HB,1,BUF,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,Odell Beckham Jr.,8647,WR,2,NYG,2,1,1,0,0,0,0,0,0,100,0,39.6
2014,Jason Campbell,2242,QB,4,CIN,21,19,1,0,0,0,0,0,0,5.3,0,39.6
2014,Anquan Boldin,1369,WR,1,SF,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,Jimmy Garoppolo,8697,QB,3,NE,34,27,1,0,0,0,0,0,0,3.7,0,39.6
2014,Logan Thomas,8755,QB,2,ARZ,11,9,1,1,0,81,1,0,0,11.1,100,158.3
2014,Marion Grice,8835,HB,1,ARZ,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,T.J. Yates,6304,QB,1,ATL,4,4,1,1,0,40,0,0,0,25,100,118.8
2014,Mike Wallace,5007,WR,1,MIA,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,Mohamed Sanu,7084,WR,4,CIN,4,3,1,1,0,50,0,0,0,33.3,100,118.8
2014,Matt Flynn,4523,QB,6,GB,18,16,1,0,0,0,0,0,0,6.3,0,39.6
2014,Pierre Garcon,4519,WR,1,WAS,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,Matt Simms,7423,QB,1,NYJ,8,8,1,0,0,0,0,0,0,12.5,0,39.6
2014,Bobby Rainey Jr.,7511,HB,1,TB,1,1,1,0,0,0,0,0,0,100,0,39.6
2014,Jordan Palmer,3821,QB,1,TEN,3,3,1,0,0,0,0,0,0,33.3,0,39.6
2014,Eric Weddle,3653,S,1,SD,1,1,1,0,0,0,0,0,0,100,0,39.6
