player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Chris Johnson,4338,HB,16,NYJ,31,24,151,163,0.93,2014
Jacquizz Rodgers,6297,HB,16,ATL,35,29,173,187,0.93,2014
LeGarrette Blount,5863,HB,15,NE,12,10,54,58,0.93,2014
Marcedes Lewis,2973,TE,8,JAX,28,18,206,222,0.93,2014
Bryan Walters,6139,WR,11,SEA,10,6,57,61,0.93,2014
Gavin Escobar,7828,TE,16,DAL,11,9,105,113,0.93,2014
Josh Huff,8721,WR,12,PHI,17,8,98,106,0.92,2014
John Carlson,4352,TE,16,ARZ,49,33,350,382,0.92,2014
Lamar Miller,7097,HB,16,MIA,47,37,264,290,0.91,2014
Bishop Sankey,8689,HB,16,TEN,22,18,133,146,0.91,2014
Jerick McKinnon,8731,HB,11,MIN,36,26,139,154,0.9,2014
Paul Richardson Jr.,8680,WR,15,SEA,39,29,271,300,0.9,2014
Gary Barnidge,4455,TE,13,CLV,24,13,156,174,0.9,2014
Justin Forsett,4547,HB,16,BLT,55,43,272,304,0.89,2014
Micheal Spurlock,3517,WR,1,CHI,3,1,8,9,0.89,2014
Danny Woodhead,4914,HB,2,SD,6,5,34,38,0.89,2014
Eric Ebron,8645,TE,13,DET,46,25,248,283,0.88,2014
James Hanna,7175,TE,16,DAL,5,3,46,52,0.88,2014
Mark Ingram II,6180,HB,13,NO,30,29,145,165,0.88,2014
Jamaal Charles,4387,HB,15,KC,52,40,291,334,0.87,2014
Dane Sanzenbacher,6570,WR,9,CIN,13,9,105,122,0.86,2014
Robert Meachem,3643,WR,11,NO,18,7,114,136,0.84,2014
Anthony Fasano,2998,TE,15,KC,34,24,224,267,0.84,2014
Greg Little,6211,WR,6,CIN,12,6,69,83,0.83,2014
James Wright,8873,WR,11,CIN,14,5,91,110,0.83,2014
Demetrius Harris,8524,TE,7,KC,4,3,20,24,0.83,2014
Will Johnson,7639,FB,14,PIT,9,6,41,50,0.82,2014
Chris Ivory,6007,HB,16,NYJ,23,17,122,149,0.82,2014
Jonathan Stewart,4327,HB,13,CAR,29,25,181,220,0.82,2014
Ryan Hewitt,9107,FB,16,CIN,14,10,86,106,0.81,2014
Kevin Ogletree,5387,WR,7,NYG,9,5,50,62,0.81,2014
Corey Fuller,7953,WR,16,DET,30,14,202,251,0.8,2014
Chase Coffman,5021,TE,13,TEN,12,6,64,81,0.79,2014
Russell Shepard,8254,WR,7,TB,7,4,63,81,0.78,2014
Brandon Myers,5126,TE,14,TB,27,21,186,242,0.77,2014
Alfred Morris,7165,HB,16,WAS,26,17,155,202,0.77,2014
Ronnie Brown,2219,HB,8,SD,6,5,44,58,0.76,2014
Keshawn Martin,7121,WR,16,HST,12,6,78,103,0.76,2014
