year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2015,Tyler Kroft,9518,TE,13,CIN,12,10,1,11,9.1
2015,Brandon Marshall,3064,WR,16,NYJ,167,109,11,120,9.2
2015,Mike Wallace,5007,WR,16,MIN,68,39,4,43,9.3
2015,Giovani Bernard,7818,HB,16,CIN,63,48,5,53,9.4
2015,Josh Bellamy,7472,WR,15,CHI,33,19,2,21,9.5
2015,Jordan Matthews,8677,WR,16,PHI,120,85,9,94,9.6
2015,Clive Walford,9501,TE,16,OAK,49,28,3,31,9.7
2015,David Johnson,9519,HB,16,ARZ,52,36,4,40,10
2015,Steve Johnson,4538,WR,10,SD,61,45,5,50,10
2015,Jared Abbrederis,8811,WR,7,GB,14,9,1,10,10
2015,Marques Colston,3197,WR,13,NO,65,45,5,50,10
2015,Roy Helu,6257,HB,8,OAK,12,9,1,10,10
2015,Josh Huff,8721,WR,15,PHI,38,27,3,30,10
2015,Jermaine Gresham,5546,TE,15,ARZ,27,18,2,20,10
2015,Luke Stocker,6256,TE,14,TB,12,9,1,10,10
2015,Jeremy Ross,6476,WR,6,OAK,14,9,1,10,10
2015,Demaryius Thomas,5547,WR,16,DEN,169,105,12,117,10.3
2015,Julian Edelman,5156,WR,9,NE,85,61,7,68,10.3
2015,Dontrelle Inman,6597,WR,14,SD,60,35,4,39,10.3
2015,Benny Cunningham,8283,HB,16,SL,31,26,3,29,10.3
2015,Nick Williams,8005,WR,13,ATL,25,17,2,19,10.5
2015,Chris Thompson,7936,HB,13,WAS,43,34,4,38,10.5
2015,Dion Sims,7888,TE,13,MIA,24,17,2,19,10.5
2015,Travaris Cadet,7457,HB,7,NO,22,17,2,19,10.5
2015,Chris Conley,9509,WR,16,KC,30,17,2,19,10.5
2015,Ed Dickson,5595,TE,16,CAR,25,17,2,19,10.5
2015,Cecil Shorts,6266,WR,11,HST,67,42,5,47,10.6
2015,Will Tye,10070,TE,13,NYG,57,42,5,47,10.6
2015,Anthony Fasano,2998,TE,16,TEN,38,25,3,28,10.7
2015,Rashad Ross,8061,WR,12,WAS,13,8,1,9,11.1
2015,Jonathan Stewart,4327,HB,13,CAR,18,16,2,18,11.1
2015,Jeremy Kerley,6305,WR,15,NYJ,26,16,2,18,11.1
2015,Marcedes Lewis,2973,TE,16,JAX,33,16,2,18,11.1
2015,Javontee Herndon,9191,WR,7,SD,32,24,3,27,11.1
2015,Randall Cobb,6216,WR,16,GB,123,79,10,89,11.2
2015,Eric Ebron,8645,TE,14,DET,65,47,6,53,11.3
2015,Ryan Grant,8777,WR,16,WAS,38,23,3,26,11.5
2015,Julius Thomas,6281,TE,12,JAX,74,45,6,51,11.8
2015,Arian Foster,5398,HB,4,HST,27,22,3,25,12
2015,DeMarco Murray,6223,HB,15,PHI,53,44,6,50,12
2015,Kenny Britt,4953,WR,16,SL,70,36,5,41,12.2
2015,Rishard Matthews,7211,WR,11,MIA,59,43,6,49,12.2
2015,Dwayne Harris,6328,WR,15,NYG,53,36,5,41,12.2
2015,Chris Hogan,6468,WR,15,BUF,58,36,5,41,12.2
2015,Tyler Eifert,7802,TE,13,CIN,64,50,7,57,12.3
2015,Devin Street,8781,WR,15,DAL,13,7,1,8,12.5
2015,Levine Toilolo,7915,TE,16,ATL,11,7,1,8,12.5
2015,Denard Robinson,7917,HB,11,JAX,28,21,3,24,12.5
2015,Riley Cooper,5682,WR,16,PHI,39,21,3,24,12.5
2015,Jonas Gray,7393,HB,7,JAX,8,7,1,8,12.5
2015,Taiwan Jones,6277,HB,8,OAK,9,7,1,8,12.5
2015,Marquess Wilson,8019,WR,11,CHI,47,28,4,32,12.5
2015,Hakeem Nicks,4952,WR,6,NYG,14,7,1,8,12.5
2015,Frank Gore,2282,HB,16,IND,52,34,5,39,12.8
2015,Andre Johnson,1319,WR,16,IND,76,41,6,47,12.8
2015,Kenny Stills,7926,WR,16,MIA,59,27,4,31,12.9
2015,Ryan Griffin,7982,TE,9,HST,34,20,3,23,13
2015,Charcandrick West,9047,HB,13,KC,31,20,3,23,13
2015,Torrey Smith,6210,WR,16,SF,56,33,5,38,13.2
2015,Brian Hartline,5031,WR,12,CLV,73,46,7,53,13.2
2015,Cooper Helfet,7737,TE,10,SEA,18,13,2,15,13.3
2015,Aaron Dobson,7840,WR,6,NE,18,13,2,15,13.3
2015,DeVante Parker,9447,WR,13,MIA,44,26,4,30,13.3
2015,Greg Jennings,2997,WR,16,MIA,31,19,3,22,13.6
2015,Matt Jones,9528,HB,13,WAS,23,19,3,22,13.6
2015,Lance Kendricks,6199,TE,15,SL,36,25,4,29,13.8
2015,Stedman Bailey,7873,WR,8,SL,22,12,2,14,14.3
2015,Brice Butler,7991,WR,7,DAL,23,12,2,14,14.3
2015,John Kuhn,2686,FB,15,GB,9,6,1,7,14.3
2015,Juwan Thompson,8955,HB,7,DEN,8,6,1,7,14.3
2015,Dion Lewis,6301,HB,7,NE,46,36,6,42,14.3
2015,Brandon Coleman,9086,WR,16,NO,48,30,5,35,14.3
2015,Vance McDonald,7836,TE,14,SF,46,30,5,35,14.3
2015,Brandon Myers,5126,TE,11,TB,16,12,2,14,14.3
2015,Quinton Patton,7910,WR,16,SF,53,30,5,35,14.3
2015,Nelson Agholor,9453,WR,13,PHI,43,23,4,27,14.8
2015,Taylor Gabriel,9002,WR,13,CLV,48,28,5,33,15.2
2015,Jaron Brown,8128,WR,15,ARZ,20,11,2,13,15.4
2015,Andre Roberts,5612,WR,9,WAS,22,11,2,13,15.4
2015,Seth Roberts,9079,WR,16,OAK,52,32,6,38,15.8
2015,Chris Polk,7532,HB,15,HST,24,16,3,19,15.8
2015,Austin Seferian-Jenkins,8673,TE,7,TB,38,21,4,25,16
2015,Jeremy Hill,8690,HB,16,CIN,19,15,3,18,16.7
2015,Chris Givens,7096,WR,15,BLT,51,20,4,24,16.7
2015,Zurlon Tipton,9164,HB,6,IND,7,5,1,6,16.7
2015,Marqise Lee,8674,WR,10,JAX,28,15,3,18,16.7
2015,Jeff Cumberland,5861,TE,11,NYJ,13,5,1,6,16.7
2015,Andre Caldwell,4411,WR,14,DEN,22,10,2,12,16.7
2015,Davante Adams,8688,WR,13,GB,88,50,10,60,16.7
2015,Ryan Mathews,5537,HB,13,PHI,27,20,4,24,16.7
2015,Mike Evans,8642,WR,15,TB,146,74,15,89,16.9
2015,Ted Ginn Jr.,3625,WR,15,CAR,89,44,9,53,17
2015,Brandon Bolden,7469,HB,12,NE,26,19,4,23,17.4
2015,Rashad Greene Sr.,9572,WR,9,JAX,34,19,4,23,17.4
2015,Nate Washington,2832,WR,14,HST,88,47,10,57,17.5
2015,Keith Mumphery,9608,WR,13,HST,31,14,3,17,17.6
2015,Martavis Bryant,8753,WR,11,PIT,88,50,11,61,18
2015,Thomas Rawls,9993,HB,12,SEA,11,9,2,11,18.2
2015,James Hanna,7175,TE,13,DAL,14,9,2,11,18.2
2015,Devin Smith,9470,WR,10,NYJ,26,9,2,11,18.2
2015,Dez Bryant,5549,WR,9,DAL,68,31,7,38,18.4
2015,Jared Cook,5012,TE,16,SL,69,39,9,48,18.8
2015,Miles Austin,3211,WR,11,PHI,31,13,3,16,18.8
2015,Jerome Cunningham,9400,TE,9,NYG,15,8,2,10,20
2015,Corey Fuller,7953,WR,12,DET,8,4,1,5,20
2015,Kendall Gaskins,8390,HB,5,SF,10,8,2,10,20
2015,Tommy Bohanon,7997,FB,15,NYJ,5,4,1,5,20
2015,Donald Brown,4950,HB,6,SD,11,8,2,10,20
2015,Amari Cooper,9437,WR,16,OAK,123,72,18,90,20
2015,Ricardo Lockette,6622,WR,8,SEA,7,4,1,5,20
2015,Devin Funchess,9474,WR,16,CAR,61,31,8,39,20.5
2015,Scott Chandler,3745,TE,14,NE,41,23,6,29,20.7
2015,Brandon LaFell,5602,WR,11,NE,69,37,10,47,21.3
2015,Donteea Dye Jr.,10074,WR,9,TB,27,11,3,14,21.4
2015,Marlon Brown,8179,WR,10,BLT,27,14,4,18,22.2
2015,Jay Ajayi,9582,HB,9,MIA,11,7,2,9,22.2
2015,Demetrius Harris,8524,TE,16,KC,12,7,2,9,22.2
2015,Myles White,8243,WR,12,NYG,18,7,2,9,22.2
2015,Marlon Moore,5887,WR,10,CLV,10,7,2,9,22.2
2015,Darius Jennings,10038,WR,4,CLV,20,14,4,18,22.2
2015,Brandon Pettigrew,4943,TE,8,DET,13,7,2,9,22.2
2015,Leonard Hankerson,6231,WR,10,BUF,44,26,8,34,23.5
2015,Quincy Enunwa,8843,WR,12,NYJ,42,22,7,29,24.1
2015,Chris Johnson,4338,HB,11,ARZ,12,6,2,8,25
2015,Zach Line,8420,FB,15,MIN,8,6,2,8,25
2015,Kellen Davis,4472,TE,16,NYJ,8,3,1,4,25
2015,Jim Dray,5756,TE,16,CLV,15,6,2,8,25
2015,Tony Moeaki,5617,TE,8,ATL,4,3,1,4,25
2015,Christine Michael,7843,HB,6,SEA,4,3,1,4,25
2015,Cody Latimer,8691,WR,12,DEN,11,6,2,8,25
