player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Greg Olsen,3647,TE,16,CAR,115,77,67.0,1104,7,89.1,90.6,84.7,51.6,80.0,14.3,362,4.7,52,52,4,0,1,1,118.2,6,0
Rob Gronkowski,5567,TE,15,NE,113,72,63.7,1176,11,90.7,88.6,77.2,84.2,69.3,16.3,546,7.6,76,52,4,1,0,11,127.3,9,1
Jordan Reed,7866,TE,14,WAS,111,87,78.4,952,11,87.6,90.6,86.6,24.7,72.8,10.9,486,5.6,32,55,3,1,3,16,131.7,12,1
Pierre Garcon,4519,WR,16,WAS,108,72,66.7,777,6,74.6,75.0,66.3,86.3,,10.8,183,2.5,39,44,5,5,0,4,86.8,5,1
Anquan Boldin,1369,WR,14,SF,107,69,64.5,789,4,72.0,70.5,74.4,48.1,,11.4,301,4.4,51,35,4,2,1,9,91.2,1,0
Zach Ertz,7816,TE,15,PHI,106,75,70.8,853,2,82.0,79.6,66.9,51.3,58.2,11.4,320,4.3,60,39,7,5,1,5,81.2,2,0
Benjamin Watson,1753,TE,16,NO,102,74,72.5,825,6,75.1,76.3,60.4,49.6,71.8,11.1,263,3.6,46,43,7,2,1,1,107.7,5,1
Donte Moncrief,8725,WR,16,IND,100,64,64.0,733,6,72.0,71.2,66.7,81.1,,11.5,262,4.1,33,40,4,3,0,5,93.5,0,0
Jason Witten,1384,TE,16,DAL,100,77,77.0,713,3,66.4,64.3,90.6,50.4,76.8,9.3,228,3.0,35,36,0,5,1,2,85.1,7,0
Doug Baldwin,6615,WR,16,SEA,99,78,78.8,1069,14,87.6,86.2,90.6,60.8,71.8,13.7,433,5.6,80,47,2,2,1,18,142.8,0,0
Travis Kelce,7844,TE,16,KC,99,72,72.7,875,5,73.6,76.9,65.6,28.0,59.7,12.2,541,7.5,42,40,6,1,2,16,112.1,6,0
Allen Hurns,8931,WR,15,JAX,99,64,64.6,1031,10,78.8,78.6,73.6,46.3,70.1,16.1,346,5.4,80,48,3,4,1,8,116.2,0,0
John Brown,8726,WR,15,ARZ,99,65,65.7,1003,7,80.1,79.9,66.9,47.5,73.7,15.4,332,5.1,68,49,5,4,1,6,105.7,3,0
Danny Woodhead,4914,HB,16,SD,96,80,83.3,755,6,72.6,90.8,80.3,90.3,42.4,9.4,731,9.1,61,39,4,1,0,19,115.9,0,0
Willie Snead IV,8999,WR,15,NO,95,69,72.6,984,3,74.2,73.3,75.9,29.8,67.8,14.3,335,4.9,63,45,4,1,2,14,111.9,3,0
Theo Riddick,7980,HB,16,DET,94,80,85.1,697,3,83.1,94.0,90.0,65.0,72.0,8.7,663,8.3,34,32,2,1,0,36,103.8,2,1
Marvin Jones Jr.,7158,WR,16,CIN,93,65,69.9,816,4,72.7,73.8,79.6,81.7,,12.6,302,4.6,47,33,3,3,0,12,97.8,5,0
Alshon Jeffery,7048,WR,9,CHI,92,54,58.7,807,4,92.0,92.1,87.9,79.8,,14.9,197,3.6,50,43,2,3,0,4,88.5,4,0
Devonta Freeman,8738,HB,15,ATL,92,73,79.3,578,3,68.6,70.9,62.2,59.3,72.8,7.9,445,6.1,44,21,7,2,1,16,94.7,1,0
Sammy Watkins,8639,WR,13,BUF,91,60,65.9,1047,9,89.8,89.6,64.5,80.6,,17.5,180,3.0,63,41,4,2,0,5,128.8,5,1
Terrance Williams,7855,WR,16,DAL,91,52,57.1,840,3,69.9,69.4,61.3,82.8,,16.2,275,5.3,42,36,5,4,0,2,80.8,1,0
James Jones,3694,WR,16,GB,89,50,56.2,890,8,69.6,69.9,62.6,41.2,69.0,17.8,245,4.9,65,39,5,5,1,4,97.1,4,0
Ted Ginn Jr.,3625,WR,15,CAR,89,44,49.4,739,10,70.4,69.2,28.3,86.1,,16.8,239,5.4,74,36,9,5,0,1,91.9,1,0
Nate Washington,2832,WR,14,HST,88,47,53.4,658,4,65.3,63.9,29.2,79.0,,14.0,167,3.6,49,33,10,0,0,1,92.9,0,0
Davante Adams,8688,WR,13,GB,88,50,56.8,483,1,57.7,57.4,29.6,82.5,69.7,9.7,145,2.9,40,20,10,1,0,6,71.4,3,0
Martavis Bryant,8753,WR,11,PIT,88,50,56.8,765,6,69.5,67.7,28.9,40.7,62.4,15.3,350,7.0,88,26,11,3,1,7,94.2,0,0
Michael Floyd,7019,WR,15,ARZ,88,52,59.1,849,6,81.7,81.1,61.7,80.0,,16.3,220,4.2,60,40,4,2,0,5,104.8,4,1
Rueben Randle,7065,WR,16,NYG,87,57,65.5,797,8,63.9,63.2,75.3,80.1,,14.0,202,3.5,72,35,3,4,0,8,106.3,0,0
Keenan Allen,7857,WR,8,SD,86,67,77.9,725,4,79.2,78.8,69.2,49.0,,10.8,249,3.7,38,34,5,2,0,9,107.6,3,0
Julian Edelman,5156,WR,9,NE,85,61,71.8,692,7,84.7,82.9,55.5,55.4,70.2,11.3,315,5.2,59,38,7,2,1,15,113.5,3,0
Richard Rodgers,8733,TE,16,GB,82,58,70.7,510,8,71.0,70.9,83.5,80.5,59.8,8.8,231,4.0,61,27,2,1,0,7,114.4,3,0
Tavon Austin,7789,WR,16,SL,81,52,64.2,473,5,69.6,63.2,53.5,73.7,73.0,9.1,345,6.6,66,22,4,1,1,19,95.3,2,0
Coby Fleener,7038,TE,16,IND,81,54,66.7,491,3,64.5,61.4,67.9,79.9,75.8,9.1,172,3.2,57,23,4,4,0,2,74.7,1,0
Danny Amendola,4717,WR,14,NE,80,65,81.3,648,3,78.4,79.2,86.7,64.0,,10.0,263,4.0,41,32,2,1,0,11,107.7,3,1
Robert Woods,7822,WR,14,BUF,79,47,59.5,552,3,61.8,61.0,63.2,26.3,62.3,11.7,146,3.1,37,28,4,2,2,3,82.9,6,1
Jacob Tamme,4441,TE,15,ATL,78,59,75.6,657,1,66.7,68.2,89.5,80.3,49.0,11.1,220,3.7,41,31,1,4,0,8,83.1,5,4
Stefon Diggs,9579,WR,13,MIN,77,52,67.5,720,4,77.7,78.5,80.1,25.8,,13.8,300,5.8,40,32,2,3,2,13,98.4,4,2
Heath Miller,2247,TE,15,PIT,77,60,77.9,535,2,70.3,69.4,90.1,80.8,67.6,8.9,226,3.8,27,29,1,1,0,2,98.9,4,0
Markus Wheaton,7860,WR,16,PIT,76,44,57.9,749,5,69.9,70.3,61.9,80.2,,17.0,168,3.8,72,32,4,3,0,4,96.9,2,1
Andre Johnson,1319,WR,16,IND,76,41,53.9,503,4,66.2,64.2,45.3,78.4,,12.3,165,4.0,35,31,6,3,0,2,75.7,1,0
Martellus Bennett,4375,TE,11,CHI,76,53,69.7,439,3,72.8,66.3,67.2,25.1,61.9,8.3,233,4.4,24,24,4,3,2,8,81.0,1,0
Julius Thomas,6281,TE,12,JAX,75,46,61.3,455,5,63.2,62.7,43.5,79.2,71.1,9.9,146,3.2,34,25,6,3,0,4,84.0,0,0
Charles Clay,6326,TE,13,BUF,75,51,68.0,528,3,73.4,70.1,60.6,52.0,69.5,10.4,236,4.6,40,26,5,2,1,16,90.3,4,0
Antonio Gates,1609,TE,11,SD,75,56,74.7,630,5,77.9,77.5,76.3,80.3,41.7,11.3,234,4.2,40,33,3,1,0,6,116.0,1,0
Jamison Crowder,9538,WR,16,WAS,74,59,79.7,604,2,71.0,71.3,71.4,87.6,,10.2,339,5.7,44,34,4,1,1,3,104.1,1,0
Shane Vereen,6208,HB,16,NYG,74,59,79.7,495,4,64.6,71.5,64.6,90.2,84.1,8.4,430,7.3,37,23,5,1,0,9,106.9,0,0
Brian Hartline,5031,WR,12,CLV,73,46,63.0,523,2,68.2,66.8,41.8,47.9,,11.4,167,3.6,41,30,7,3,1,1,76.5,1,0
Darren Sproles,2347,HB,16,PHI,73,55,75.3,388,1,65.0,66.6,69.3,90.5,78.9,7.1,374,6.8,35,19,4,1,0,5,85.9,0,0
Owen Daniels,3043,TE,16,DEN,73,46,63.0,517,3,65.6,65.9,62.4,78.8,67.6,11.2,268,5.8,37,27,5,4,0,4,75.0,0,0
Cole Beasley,7330,WR,16,DAL,71,52,73.2,536,5,64.3,64.4,66.6,51.3,,10.3,315,6.1,30,31,4,1,1,7,112.2,2,1
Harry Douglas,4398,WR,14,TEN,70,36,51.4,411,2,60.1,59.3,72.9,40.8,78.2,11.4,138,3.8,51,22,2,1,0,0,73.0,2,0
Duke Johnson Jr.,9510,HB,16,CLV,70,61,87.1,534,2,71.1,83.5,77.6,78.9,43.9,8.8,486,8.0,52,23,3,0,1,26,108.0,1,0
Steve Smith,837,WR,7,BLT,70,46,65.7,670,3,90.3,89.9,64.8,79.9,,14.6,261,5.7,50,28,4,3,1,12,93.2,0,0
Kenny Britt,4953,WR,16,SL,70,36,51.4,681,3,72.6,73.3,47.3,77.6,,18.9,116,3.2,60,29,5,4,0,7,76.0,3,1
Brandon LaFell,5602,WR,11,NE,69,37,53.6,515,0,58.0,56.3,28.1,78.2,,13.9,238,6.4,54,22,10,2,0,3,65.8,0,0
Jared Cook,5012,TE,16,SL,69,39,56.5,481,0,57.7,56.7,29.9,22.9,58.1,12.3,193,4.9,49,20,9,2,2,2,66.2,4,1
Jimmy Graham,5619,TE,11,SEA,68,48,70.6,605,2,78.9,82.9,78.2,79.1,48.5,12.6,224,4.7,45,29,2,1,0,4,101.7,3,0
Malcom Floyd,2044,WR,15,SD,68,30,44.1,561,3,61.4,59.2,53.2,27.5,,18.7,93,3.1,70,20,3,5,1,0,57.3,0,0
Dez Bryant,5549,WR,9,DAL,68,31,45.6,401,3,68.7,67.0,32.5,76.6,,12.9,136,4.4,51,18,7,6,0,4,42.6,2,1
Mike Wallace,5007,WR,16,MIN,68,39,57.4,473,2,59.0,60.9,56.7,78.3,,12.1,175,4.5,34,27,4,2,0,3,76.4,4,1
Cecil Shorts,6266,WR,11,HST,67,42,62.7,484,2,62.8,63.5,52.3,28.8,,11.5,223,5.3,42,27,5,1,1,7,88.2,1,0
Roddy White,2244,WR,16,ATL,67,43,64.2,506,1,62.6,60.4,77.0,82.1,75.6,11.8,117,2.7,25,27,2,4,0,1,67.1,7,1
Tyler Lockett,9502,WR,16,SEA,67,51,76.1,664,6,76.0,75.8,71.9,72.8,,13.0,259,5.1,49,31,3,1,0,8,130.4,3,1
Tyler Eifert,7802,TE,13,CIN,66,52,78.8,615,13,87.5,90.1,53.4,79.7,68.3,11.8,247,4.8,31,38,7,0,0,6,145.1,2,0
Jermaine Kearse,7428,WR,16,SEA,66,49,74.2,685,5,67.7,65.6,64.5,49.5,,14.0,227,4.6,50,32,4,1,1,7,126.1,0,0
Charles Sims,8704,HB,16,TB,65,52,80.0,557,4,86.1,90.6,87.9,61.2,87.7,10.7,503,9.7,56,24,1,2,1,13,110.1,0,0
Giovani Bernard,7818,HB,16,CIN,65,49,75.4,472,0,70.6,61.3,57.2,84.7,53.9,9.6,484,9.9,45,18,5,1,1,15,88.7,1,0
Eric Ebron,8645,TE,14,DET,65,47,72.3,537,5,65.0,65.6,48.9,79.0,48.4,11.4,299,6.4,55,27,6,1,0,4,116.0,3,1
Marques Colston,3197,WR,13,NO,65,45,69.2,520,4,62.8,62.8,49.1,79.0,73.5,11.6,196,4.4,53,26,5,3,0,4,94.4,1,0
Jordan Cameron,6254,TE,16,MIA,64,35,54.7,386,3,61.9,59.7,63.7,29.1,65.7,11.0,86,2.5,29,21,3,4,1,2,62.4,6,1
Kyle Rudolph,6195,TE,16,MIN,64,49,76.6,495,5,71.2,68.6,75.2,79.2,50.8,10.1,210,4.3,47,25,2,3,0,5,104.6,0,0
Dorial Green-Beckham,9473,WR,16,TEN,63,32,50.8,549,4,71.0,70.6,61.9,77.3,66.3,17.2,147,4.6,47,30,3,3,0,4,82.0,1,1
Steve Johnson,4538,WR,10,SD,61,45,73.8,497,3,63.2,64.6,54.1,33.3,70.2,11.0,279,6.2,34,29,5,2,1,5,100.2,4,1
Devin Funchess,9474,WR,16,CAR,61,31,50.8,473,5,72.3,72.5,28.6,27.5,,15.3,109,3.5,52,24,8,2,1,3,90.4,1,0
Bilal Powell,6278,HB,11,NYJ,60,47,78.3,388,2,66.8,67.1,70.0,44.0,78.5,8.3,436,9.3,25,21,3,0,1,17,104.7,1,1
Dontrelle Inman,6597,WR,14,SD,60,35,58.3,486,3,57.4,56.7,37.2,21.6,,13.9,182,5.2,68,22,4,1,2,1,94.2,1,0
Rishard Matthews,7211,WR,11,MIA,59,43,72.9,662,4,73.9,73.2,45.4,79.0,,15.4,245,5.7,53,31,6,1,0,3,125.1,0,0
Kenny Stills,7926,WR,16,MIA,59,27,45.8,440,3,59.9,58.9,45.7,75.9,,16.3,107,4.0,47,18,4,2,0,0,74.1,0,0
Kendall Wright,7026,WR,10,TEN,59,36,61.0,408,3,69.6,69.1,63.4,78.7,,11.3,154,4.3,52,21,3,5,0,5,63.4,1,0
Chris Hogan,6468,WR,15,BUF,58,36,62.1,450,2,60.3,58.9,46.4,77.8,,12.5,107,3.0,46,18,5,3,0,4,76.1,1,0
Will Tye,10070,TE,13,NYG,57,42,73.7,464,3,67.3,67.6,52.5,30.4,78.5,11.0,206,4.9,45,23,5,0,1,11,114.9,3,0
Mark Ingram II,6180,HB,12,NO,57,50,87.7,405,0,66.3,70.7,87.9,66.7,55.7,8.1,464,9.3,59,22,1,1,1,18,89.0,1,0
Vincent Jackson,2278,WR,10,TB,57,33,57.9,543,3,79.8,77.6,80.4,81.3,,16.5,116,3.5,36,28,1,2,0,3,92.9,2,0
Torrey Smith,6210,WR,16,SF,56,33,58.9,663,4,62.8,63.0,38.6,77.4,,20.1,226,6.8,76,23,5,1,0,1,116.9,5,1
Ladarius Green,7110,TE,13,SD,56,37,66.1,429,4,66.5,65.2,67.7,78.4,56.4,11.6,221,6.0,31,24,3,0,0,5,112.9,0,0
Matt Forte,4358,HB,13,CHI,56,44,78.6,389,3,71.3,68.2,69.9,72.3,52.2,8.8,372,8.5,38,17,3,1,1,5,106.0,0,0
Albert Wilson,8943,WR,14,KC,55,35,63.6,451,2,63.9,63.4,70.8,78.7,,12.9,221,6.3,44,19,2,3,0,9,78.7,1,0
Javorius Allen,9558,HB,15,BLT,55,45,81.8,343,2,59.8,80.7,76.6,60.0,42.4,7.6,320,7.1,41,15,2,3,0,14,82.0,0,0
Vernon Davis,2951,TE,15,DEN,54,38,70.4,395,0,61.9,59.7,60.1,77.7,70.2,10.4,156,4.1,43,21,3,4,0,6,60.3,3,1
Lamar Miller,7097,HB,16,MIA,54,47,87.0,397,2,75.2,60.1,71.3,70.1,88.1,8.4,437,9.3,54,14,2,0,1,2,109.6,0,0
Dwayne Harris,6328,WR,15,NYG,53,36,67.9,396,4,61.0,59.5,48.0,89.7,,11.0,142,3.9,38,19,5,2,0,2,99.3,2,0
Quinton Patton,7910,WR,16,SF,53,30,56.6,394,1,65.7,66.7,42.3,89.7,,13.1,214,7.1,41,15,5,1,0,7,78.7,4,1
DeMarco Murray,6223,HB,15,PHI,53,44,83.0,322,1,56.8,62.1,48.2,68.8,73.7,7.3,390,8.9,44,12,6,0,0,17,98.3,0,0
Jerricho Cotchery,1829,WR,14,CAR,53,39,73.6,485,3,80.0,78.3,82.2,78.2,64.9,12.4,197,5.1,59,26,1,1,0,6,112.5,1,0
David Johnson,9519,HB,16,ARZ,52,36,69.2,457,4,73.3,67.4,46.6,30.5,55.7,12.7,355,9.9,55,21,4,1,1,17,114.0,0,0
Seth Roberts,9079,WR,16,OAK,52,32,61.5,480,5,59.9,57.7,29.8,77.8,,15.0,149,4.7,43,21,6,3,0,2,99.8,4,0
Frank Gore,2282,HB,16,IND,52,34,65.4,267,1,62.2,52.0,45.6,51.1,75.5,7.9,292,8.6,34,10,5,0,0,15,84.4,2,0
Chris Givens,7096,WR,15,BLT,51,20,39.2,353,1,59.5,60.6,37.3,76.3,,17.7,55,2.8,48,13,4,3,0,0,45.6,0,0
Kyle Juszczyk,7912,FB,16,BLT,50,41,82.0,321,4,63.6,71.5,67.1,82.1,91.0,7.8,271,6.6,39,17,3,1,0,8,111.8,2,0
Darren McFadden,4318,HB,16,DAL,50,40,80.0,328,0,60.2,58.9,67.6,62.6,37.5,8.2,318,8.0,21,12,3,1,0,6,85.7,0,0
James Starks,5716,HB,16,GB,50,43,86.0,392,3,58.3,57.0,60.7,27.6,76.9,9.1,491,11.4,30,15,4,0,1,8,119.3,0,0
Eddie Royal,4356,WR,9,CHI,49,37,75.5,238,1,59.4,58.0,63.4,78.2,,6.4,188,5.1,30,9,3,0,0,8,92.0,1,0
Clive Walford,9501,TE,16,OAK,49,28,57.1,329,3,71.6,70.8,56.4,76.1,50.5,11.8,134,4.8,33,20,3,3,0,5,72.6,3,0
Latavius Murray,7962,HB,16,OAK,49,41,83.7,232,0,65.5,53.9,66.8,65.4,79.0,5.7,247,6.0,23,9,3,1,1,14,77.9,0,0
Taylor Gabriel,9002,WR,13,CLV,48,28,58.3,241,0,56.5,55.1,42.1,27.7,,8.6,125,4.5,56,11,5,2,1,3,54.3,0,0
Brandon Coleman,9086,WR,16,NO,48,30,62.5,454,2,71.8,68.6,49.9,76.6,,15.1,117,3.9,31,22,5,1,0,3,98.8,1,0
Mohamed Sanu,7084,WR,16,CIN,48,33,68.8,394,0,56.9,55.2,79.9,37.1,73.8,11.9,209,6.3,52,17,1,2,1,4,76.2,1,0
James White,8765,HB,11,NE,47,40,85.1,410,4,70.6,86.2,67.1,82.3,72.7,10.3,344,8.6,68,19,3,0,0,11,131.4,0,0
DeAngelo Williams,2972,HB,15,PIT,47,40,85.1,372,0,74.2,60.6,75.3,57.7,92.7,9.3,377,9.4,34,15,2,1,0,8,90.8,0,0
Marquess Wilson,8019,WR,11,CHI,47,28,59.6,464,1,63.5,62.6,46.7,76.1,,16.6,191,6.8,50,20,4,2,0,3,82.2,0,0
Corey Brown,8986,WR,14,CAR,47,31,66.0,447,4,67.2,65.9,59.9,78.3,,14.4,88,2.8,39,24,3,0,0,2,125.0,2,0
Dion Lewis,6301,HB,7,NE,46,36,78.3,388,2,70.8,66.7,38.6,30.0,82.6,10.8,329,9.1,40,16,6,0,2,24,116.3,0,0
Vance McDonald,7836,TE,14,SF,46,30,65.2,326,3,65.9,59.9,39.8,76.5,80.0,10.9,181,6.0,36,15,5,3,1,3,80.5,2,0
LeSean McCoy,4976,HB,12,BUF,45,32,71.1,292,2,70.8,70.1,70.8,73.9,61.0,9.1,289,9.0,22,13,2,0,1,6,103.2,0,0
Maxx Williams,9488,TE,14,BLT,45,32,71.1,268,1,62.8,61.7,78.9,77.0,55.9,8.4,151,4.7,28,16,1,1,0,1,84.3,4,0
Jarius Wright,7118,WR,16,MIN,45,34,75.6,442,0,69.2,67.7,61.2,28.5,,13.0,173,5.1,52,25,3,0,1,4,106.0,1,0
Leonard Hankerson,6231,WR,10,BUF,44,26,59.1,327,3,57.5,58.8,27.3,75.7,,12.6,117,4.5,55,19,8,0,0,0,105.0,2,0
DeVante Parker,9447,WR,13,MIA,44,26,59.1,494,3,72.9,71.3,45.4,75.9,,19.0,102,3.9,49,20,4,1,0,7,111.4,2,0
Crockett Gillmore,8734,TE,10,BLT,44,33,75.0,412,4,76.0,80.1,71.1,77.3,61.5,12.5,246,7.5,46,17,2,3,0,9,105.5,2,0
Mychal Rivera,7965,TE,16,OAK,44,32,72.7,280,1,54.3,53.1,79.9,22.4,86.4,8.8,140,4.4,29,12,1,1,2,2,87.3,5,2
DeSean Jackson,4363,WR,9,WAS,44,30,68.2,528,4,77.1,75.9,88.0,26.6,,17.6,155,5.2,77,15,0,1,0,2,129.7,0,0
Chris Thompson,7936,HB,13,WAS,44,35,79.5,240,2,61.9,69.4,65.4,55.1,34.5,6.9,176,5.0,23,14,4,0,0,5,104.5,0,0
T.J. Yeldon,9469,HB,12,JAX,43,36,83.7,279,1,71.8,65.7,72.2,90.6,63.6,7.8,296,8.2,67,14,2,1,0,12,91.8,0,0
Nelson Agholor,9453,WR,13,PHI,43,23,53.5,283,1,48.7,48.5,40.4,29.2,,12.3,94,4.1,53,12,4,0,1,1,81.8,5,0
Zach Miller,5104,TE,15,CHI,42,34,81.0,439,5,86.2,90.0,90.0,77.7,79.4,12.9,234,6.9,87,17,0,0,0,11,149.8,4,0
Quincy Enunwa,8843,WR,12,NYJ,42,22,52.4,315,0,53.2,50.5,28.1,75.1,64.9,14.3,144,6.5,48,10,7,0,0,6,77.0,2,1
Fred Jackson,3368,HB,16,SEA,41,32,78.0,257,2,57.5,61.7,69.6,38.7,65.2,8.0,254,7.9,26,13,2,0,1,5,109.0,0,0
Larry Donnell,7638,TE,8,NYG,41,29,70.7,223,2,58.7,60.8,66.8,76.3,78.7,7.7,88,3.0,22,13,2,1,0,1,89.8,2,0
Lance Moore,2718,WR,14,DET,41,29,70.7,337,4,56.8,56.6,87.3,27.7,65.9,11.6,64,2.2,42,20,0,1,1,0,117.6,0,0
Scott Chandler,3745,TE,14,NE,41,23,56.1,259,4,66.6,61.6,29.2,75.3,75.6,11.3,74,3.2,30,14,6,0,0,1,107.7,1,0
Doug Martin,7035,HB,16,TB,41,33,80.5,271,1,84.4,59.8,69.6,47.9,65.6,8.2,232,7.0,25,10,2,0,1,10,102.3,0,0
Jeremy Butler,9080,WR,8,BLT,41,31,75.6,373,0,64.9,63.3,68.1,27.7,67.8,12.0,158,5.1,41,18,2,1,1,5,92.8,0,0
Adam Humphries,10075,WR,13,TB,40,27,67.5,260,1,63.5,61.9,66.0,76.1,70.1,9.6,127,4.7,27,18,2,3,0,2,62.5,0,0
Andrew Hawkins,6125,WR,8,CLV,40,27,67.5,276,0,59.7,59.0,76.9,27.0,,10.2,124,4.6,25,11,1,1,1,2,76.7,0,0
C.J. Spiller,5534,HB,13,NO,40,34,85.0,239,2,66.7,86.4,89.3,64.1,86.4,7.0,254,7.5,80,13,0,0,0,2,108.2,0,0
Jeremy Langford,9539,HB,15,CHI,40,22,55.0,279,1,60.2,46.1,27.3,90.3,41.8,12.7,234,10.6,83,9,8,0,0,3,85.3,1,0
Riley Cooper,5682,WR,16,PHI,39,21,53.8,327,2,58.2,57.0,49.3,85.9,,15.6,67,3.2,62,15,3,4,0,2,59.4,1,1
Bryan Walters,6139,WR,11,JAX,39,32,82.1,368,1,75.2,74.9,78.9,81.5,65.6,11.5,120,3.8,31,20,1,0,0,1,114.5,0,0
Anthony Fasano,2998,TE,16,TEN,39,26,66.7,289,2,69.3,58.5,45.9,76.0,62.6,11.1,150,5.8,33,16,3,2,0,2,84.2,2,1
Ryan Grant,8777,WR,16,WAS,38,23,60.5,268,2,62.7,61.0,50.6,75.1,65.3,11.7,94,4.1,35,18,3,2,0,2,77.5,3,0
Dexter McCluster,5561,HB,11,TEN,38,31,81.6,260,1,61.6,73.3,61.3,56.6,70.0,8.4,213,6.9,35,12,3,1,1,5,93.0,1,0
Austin Seferian-Jenkins,8673,TE,7,TB,38,21,55.3,338,4,76.4,78.2,37.3,74.6,76.0,16.1,101,4.8,43,18,4,0,0,2,120.3,4,0
