player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Rob Housler,6221,TE,9,CHI,46,6,13.0,21,45.7,3,14.3,3,0,27,1.29,0,0.0,100.0
Kevin Smith,9065,WR,7,SEA,68,5,7.4,19,27.9,1,5.3,1,0,17,0.89,0,0.0,100.0
Mark Ingram II,6180,HB,12,NO,269,57,21.2,12,4.5,1,8.3,1,0,4,0.33,0,0.0,100.0
DeVante Parker,9447,WR,13,MIA,294,44,15.0,40,13.6,4,10.0,4,0,61,1.53,1,0.0,100.0
John Phillips,5132,TE,12,SD,80,11,13.8,57,71.3,8,14.0,8,0,60,1.05,0,0.0,100.0
Asante Cleveland,9066,TE,3,SD,16,1,6.3,8,50.0,1,12.5,1,0,1,0.13,0,0.0,100.0
Marlon Moore,5887,WR,10,CLV,134,10,7.5,41,30.6,3,7.3,3,0,24,0.59,0,0.0,100.0
Jim Dray,5756,TE,16,CLV,159,15,9.4,36,22.6,3,8.3,3,0,33,0.92,0,0.0,100.0
Damien Williams,9205,HB,16,MIA,117,27,23.1,17,14.5,3,17.6,3,0,33,1.94,0,0.0,100.0
Michael Hoomanawanui,5655,TE,14,NO,86,14,16.3,8,9.3,1,12.5,1,0,16,2.0,1,0.0,100.0
Andre Ellington,7968,HB,10,ARZ,121,17,14.0,18,14.9,2,11.1,2,0,14,0.78,0,0.0,100.0
Latavius Murray,7962,HB,16,OAK,275,49,17.8,16,5.8,2,12.5,2,0,5,0.31,0,0.0,100.0
Donteea Dye Jr.,10074,WR,9,TB,249,27,10.8,45,18.1,3,6.7,3,0,50,1.11,1,0.0,100.0
Chris Thompson,7936,HB,13,WAS,172,43,25.0,10,5.8,2,20.0,2,0,19,1.9,1,0.0,100.0
Kenny Stills,7926,WR,16,MIA,411,59,14.4,87,21.2,4,4.6,4,0,54,0.62,0,0.0,100.0
Brian Leonhardt,8083,TE,3,SF,5,1,20.0,1,20.0,1,100.0,1,0,4,4.0,0,0.0,100.0
C.J. Fiedorowicz,8700,TE,16,HST,215,23,10.7,77,35.8,3,3.9,3,0,13,0.17,0,0.0,100.0
Le'Veon Bell,7829,HB,6,PIT,138,25,18.1,14,10.1,2,14.3,2,0,9,0.64,0,0.0,100.0
E.J. Bibbs,10034,TE,7,CLV,24,2,8.3,14,58.3,1,7.1,1,0,7,0.5,0,0.0,100.0
Jonathan Grimes,7585,HB,13,HST,152,31,20.4,13,8.6,5,38.5,5,0,33,2.54,1,0.0,100.0
Jamize Olawale,7572,FB,12,OAK,41,11,26.8,8,19.5,1,12.5,1,0,1,0.13,0,0.0,100.0
Bobby Rainey Jr.,7511,HB,8,TB,13,3,23.1,1,7.7,1,100.0,1,0,4,4.0,0,0.0,100.0
Cameron Artis-Payne,9607,HB,5,CAR,30,4,13.3,5,16.7,1,20.0,1,0,7,1.4,0,0.0,100.0
Brittan Golden,7481,WR,6,ARZ,12,1,8.3,9,75.0,1,11.1,1,0,5,0.56,0,0.0,100.0
Travaris Cadet,7457,HB,7,NO,87,22,25.3,15,17.2,2,13.3,2,0,50,3.33,1,0.0,100.0
Jermaine Kearse,7428,WR,16,SEA,493,66,13.4,67,13.6,12,17.9,12,0,154,2.3,1,0.0,100.0
Derek Carrier,7406,TE,12,WAS,145,22,15.2,42,29.0,7,16.7,7,0,49,1.17,0,0.0,100.0
Jesse James,9593,TE,8,PIT,87,10,11.5,8,9.2,1,12.5,1,0,2,0.25,0,0.0,100.0
Daniel Fells,3309,TE,2,NYG,24,7,29.2,3,12.5,2,66.7,2,0,27,9.0,0,0.0,100.0
Jonas Gray,7393,HB,7,JAX,59,8,13.6,3,5.1,1,33.3,1,0,15,5.0,0,0.0,100.0
Marshawn Lynch,3628,HB,7,SEA,132,20,15.2,3,2.3,1,33.3,1,0,9,3.0,0,0.0,100.0
Lance Dunbar,7332,HB,4,DAL,65,22,33.8,15,23.1,2,13.3,2,0,12,0.8,0,0.0,100.0
Jerick McKinnon,8731,HB,16,MIN,77,24,31.2,2,2.6,1,50.0,1,0,10,5.0,0,0.0,100.0
Eric Weems,4097,WR,3,ATL,7,1,14.3,2,28.6,1,50.0,1,0,11,5.5,0,0.0,100.0
Dan Herron,7179,HB,8,IND,46,10,21.7,5,10.9,3,60.0,3,0,16,3.2,0,0.0,100.0
Alfred Morris,7165,HB,15,WAS,120,11,9.2,1,0.8,1,100.0,1,0,1,1.0,0,0.0,100.0
Rhett Ellison,7128,TE,15,MIN,94,13,13.8,14,14.9,1,7.1,1,0,18,1.29,0,0.0,100.0
Lamar Miller,7097,HB,16,MIA,307,53,17.3,34,11.1,8,23.5,8,0,34,1.0,0,0.0,100.0
Jamaal Charles,4387,HB,5,KC,142,27,19.0,3,2.1,2,66.7,2,0,12,4.0,1,0.0,100.0
Lorenzo Taliaferro,8773,HB,3,BLT,17,5,29.4,1,5.9,1,100.0,1,0,6,6.0,0,0.0,100.0
Craig Stevens,4399,TE,16,TEN,88,13,14.8,15,17.0,1,6.7,1,0,10,0.67,1,0.0,100.0
T.J. Graham,7071,WR,3,NO,14,4,28.6,4,28.6,1,25.0,1,0,0,0.0,0,0.0,100.0
Ty Montgomery,9527,WR,6,GB,139,18,12.9,22,15.8,3,13.6,3,0,32,1.45,0,0.0,100.0
Devin Street,8781,WR,15,DAL,124,13,10.5,8,6.5,1,12.5,1,0,25,3.13,1,0.0,100.0
Brian Quick,7037,WR,13,SL,161,32,19.9,12,7.5,2,16.7,2,0,51,4.25,0,0.0,100.0
Tyler Kroft,9518,TE,13,CIN,116,12,10.3,19,16.4,2,10.5,2,0,31,1.63,0,0.0,100.0
Doug Martin,7035,HB,16,TB,209,41,19.6,4,1.9,1,25.0,1,0,11,2.75,0,0.0,100.0
Marvin Jones Jr.,7158,WR,16,CIN,513,93,18.1,73,14.2,11,15.1,10,0,77,1.05,0,0.0,90.9
Brent Celek,3778,TE,16,PHI,215,32,14.9,43,20.0,9,20.9,8,0,88,2.05,0,0.0,88.9
Justin Perillo,9248,TE,9,GB,66,13,19.7,41,62.1,9,22.0,8,0,88,2.15,1,0.0,88.9
Bryan Walters,6139,WR,11,JAX,245,39,15.9,177,72.2,31,17.5,27,1,319,1.8,1,3.6,87.1
Clay Harbor,5648,TE,15,JAX,133,18,13.5,42,31.6,7,16.7,6,0,73,1.74,0,0.0,85.7
Ryan Grant,8777,WR,16,WAS,239,38,15.9,54,22.6,7,13.0,6,0,78,1.44,1,0.0,85.7
Arian Foster,5398,HB,4,HST,107,27,25.2,20,18.7,7,35.0,6,1,77,3.85,1,14.3,85.7
Kyle Rudolph,6195,TE,16,MIN,406,64,15.8,183,45.1,27,14.8,23,0,256,1.4,3,0.0,85.2
Tyler Lockett,9502,WR,16,SEA,424,67,15.8,140,33.0,20,14.3,17,1,239,1.71,3,5.6,85.0
Martellus Bennett,4375,TE,11,CHI,337,76,22.6,83,24.6,19,22.9,16,1,149,1.8,0,5.9,84.2
Garrett Celek,7274,TE,11,SF,157,26,16.6,44,28.0,6,13.6,5,0,45,1.02,1,0.0,83.3
Louis Murphy Jr.,5048,WR,6,TB,138,17,12.3,75,54.3,6,8.0,5,0,54,0.72,0,0.0,83.3
Brenton Bersin,7516,WR,7,CAR,43,10,23.3,23,53.5,6,26.1,5,0,67,2.91,0,0.0,83.3
Theo Riddick,7980,HB,16,DET,301,93,30.9,27,9.0,12,44.4,10,1,113,4.19,1,9.1,83.3
David Johnson,9519,HB,16,ARZ,216,52,24.1,26,12.0,6,23.1,5,0,30,1.15,1,0.0,83.3
Ted Ginn Jr.,3625,WR,15,CAR,393,89,22.6,34,8.7,6,17.6,5,1,77,2.26,1,16.7,83.3
Doug Baldwin,6615,WR,16,SEA,518,99,19.1,410,79.2,83,20.2,69,2,1007,2.46,12,2.8,83.1
Travis Kelce,7844,TE,16,KC,480,99,20.6,199,41.5,46,23.1,38,0,432,2.17,0,0.0,82.6
Alshon Jeffery,7048,WR,9,CHI,281,92,32.7,76,27.0,23,30.3,19,0,303,3.99,4,0.0,82.6
Rueben Randle,7065,WR,16,NYG,609,87,14.3,91,14.9,17,18.7,14,0,148,1.63,2,0.0,82.4
Antonio Gates,1609,TE,11,SD,350,75,21.4,240,68.6,43,17.9,35,0,421,1.75,2,0.0,81.4
Larry Fitzgerald,1724,WR,16,ARZ,552,139,25.2,316,57.2,64,20.3,52,2,606,1.92,3,3.7,81.3
Danny Amendola,4717,WR,14,NE,413,80,19.4,346,83.8,58,16.8,47,1,494,1.43,2,2.1,81.0
Rob Gronkowski,5567,TE,15,NE,508,112,22.0,203,40.0,31,15.3,25,1,421,2.07,1,3.8,80.6
Gavin Escobar,7828,TE,14,DAL,97,13,13.4,54,55.7,5,9.3,4,0,41,0.76,0,0.0,80.0
Michael Campanaro,8852,WR,4,BLT,32,6,18.8,22,68.8,5,22.7,4,0,24,1.09,0,0.0,80.0
Adam Thielen,8288,WR,13,MIN,106,15,14.2,51,48.1,5,9.8,4,0,44,0.86,0,0.0,80.0
Pierre Garcon,4519,WR,16,WAS,505,108,21.4,102,20.2,20,19.6,16,1,162,1.59,1,5.9,80.0
Javontee Herndon,9191,WR,7,SD,188,32,17.0,97,51.6,20,20.6,16,2,112,1.15,0,11.1,80.0
Will Tye,10070,TE,13,NYG,304,57,18.8,47,15.5,10,21.3,8,1,72,1.53,1,11.1,80.0
Larry Donnell,7638,TE,8,NYG,206,41,19.9,34,16.5,5,14.7,4,0,41,1.21,0,0.0,80.0
Jeremy Maclin,4942,WR,15,KC,504,120,23.8,159,31.5,34,21.4,27,1,353,2.22,6,3.6,79.4
Jacob Tamme,4441,TE,15,ATL,463,78,16.8,190,41.0,33,17.4,26,0,309,1.63,0,0.0,78.8
Stefon Diggs,9579,WR,13,MIN,397,77,19.4,61,15.4,14,23.0,11,0,131,2.15,2,0.0,78.6
Marquess Wilson,8019,WR,11,CHI,369,47,12.7,124,33.6,9,7.3,7,0,147,1.19,0,0.0,77.8
Jamison Crowder,9538,WR,16,WAS,456,74,16.2,350,76.8,53,15.1,41,4,462,1.32,2,8.9,77.4
Danny Woodhead,4914,HB,16,SD,396,96,24.2,37,9.3,13,35.1,10,1,101,2.73,1,9.1,76.9
Steve Johnson,4538,WR,10,SD,373,61,16.4,317,85.0,52,16.4,40,3,469,1.48,3,7.0,76.9
Lance Moore,2718,WR,14,DET,442,41,9.3,173,39.1,17,9.8,13,0,175,1.01,3,0.0,76.5
Heath Miller,2247,TE,15,PIT,458,77,16.8,92,20.1,21,22.8,16,0,158,1.72,1,0.0,76.2
Julian Edelman,5156,WR,9,NE,342,85,24.9,175,51.2,42,24.0,32,5,362,2.07,5,13.5,76.2
Cameron Brate,9207,TE,14,TB,207,30,14.5,136,65.7,21,15.4,16,0,132,0.97,2,0.0,76.2
Odell Beckham Jr.,8647,WR,15,NYG,598,153,25.6,154,25.8,42,27.3,32,1,467,3.03,2,3.0,76.2
Jeremy Butler,9080,WR,8,BLT,264,41,15.5,171,64.8,29,17.0,22,2,242,1.42,0,8.3,75.9
Jason Witten,1384,TE,16,DAL,511,100,19.6,316,61.8,58,18.4,44,0,377,1.19,2,0.0,75.9
Darren Sproles,2347,HB,16,PHI,256,73,28.5,31,12.1,12,38.7,9,1,31,1.0,0,10.0,75.0
Davante Adams,8688,WR,13,GB,466,88,18.9,46,9.9,12,26.1,9,2,60,1.3,0,18.2,75.0
James Hanna,7175,TE,13,DAL,57,14,24.6,15,26.3,4,26.7,3,0,21,1.4,0,0.0,75.0
Steve Smith,837,WR,7,BLT,231,70,30.3,77,33.3,24,31.2,18,1,250,3.25,1,5.3,75.0
Josh Hill,8200,TE,16,NO,194,28,14.4,19,9.8,4,21.1,3,0,33,1.74,0,0.0,75.0
Bennie Fowler,8914,WR,14,DEN,154,22,14.3,98,63.6,16,16.3,12,0,135,1.38,0,0.0,75.0
Dorial Green-Beckham,9473,WR,16,TEN,406,63,15.5,37,9.1,4,10.8,3,0,62,1.68,0,0.0,75.0
Bruce Ellington,8741,WR,13,SF,86,19,22.1,26,30.2,4,15.4,3,0,5,0.19,0,0.0,75.0
Jaelen Strong,9503,WR,10,HST,163,22,13.5,80,49.1,12,15.0,9,1,85,1.06,1,10.0,75.0
Percy Harvin,4945,WR,5,BUF,142,29,20.4,23,16.2,4,17.4,3,0,13,0.57,0,0.0,75.0
Chase Coffman,5021,TE,2,SEA,45,10,22.2,25,55.6,4,16.0,3,0,40,1.6,0,0.0,75.0
Greg Salas,6264,WR,2,BUF,37,5,13.5,27,73.0,4,14.8,3,0,41,1.52,0,0.0,75.0
Keith Mumphery,9608,WR,13,HST,219,31,14.2,72,32.9,12,16.7,9,0,80,1.11,0,0.0,75.0
Dexter McCluster,5561,HB,11,TEN,189,38,20.1,11,5.8,4,36.4,3,0,77,7.0,0,0.0,75.0
Nick Boyle,9604,TE,10,BLT,117,21,17.9,29,24.8,4,13.8,3,0,19,0.66,0,0.0,75.0
Allen Hurns,8931,WR,15,JAX,578,99,17.1,215,37.2,39,18.1,29,0,512,2.38,7,0.0,74.4
Jarius Wright,7118,WR,16,MIN,291,45,15.5,206,70.8,27,13.1,20,2,304,1.48,0,9.1,74.1
Julio Jones,6158,WR,16,ATL,615,193,31.4,172,28.0,54,31.4,40,4,504,2.93,4,9.1,74.1
Kamar Aiken,6671,WR,16,BLT,587,121,20.6,121,20.6,19,15.7,14,0,117,0.97,2,0.0,73.7
Golden Tate,5585,WR,16,DET,646,121,18.7,361,55.9,72,19.9,53,3,515,1.43,1,5.4,73.6
Eric Ebron,8645,TE,14,DET,394,65,16.5,239,60.7,34,14.2,25,2,257,1.08,3,7.4,73.5
Vincent Jackson,2278,WR,10,TB,285,57,20.0,73,25.6,15,20.5,11,0,178,2.44,1,0.0,73.3
Brian Hartline,5031,WR,12,CLV,359,73,20.3,116,32.3,30,25.9,22,3,258,2.22,1,12.0,73.3
Keenan Allen,7857,WR,8,SD,335,86,25.7,60,17.9,15,25.0,11,1,87,1.45,0,8.3,73.3
Matt Forte,4358,HB,13,CHI,288,56,19.4,29,10.1,11,37.9,8,1,41,1.41,1,11.1,72.7
Brandon Myers,5126,TE,11,TB,145,16,11.0,77,53.1,11,14.3,8,1,72,0.94,0,11.1,72.7
Benjamin Watson,1753,TE,16,NO,519,102,19.7,228,43.9,51,22.4,37,4,457,2.0,1,9.8,72.5
DeSean Jackson,4363,WR,9,WAS,246,44,17.9,70,28.5,18,25.7,13,0,280,4.0,3,0.0,72.2
Greg Olsen,3647,TE,16,CAR,492,114,23.2,242,49.2,43,17.8,31,1,361,1.49,2,3.1,72.1
Delanie Walker,3120,TE,15,TEN,482,130,27.0,269,55.8,75,27.9,54,4,622,2.31,1,6.9,72.0
Kenbrell Thompkins,8126,WR,7,NYJ,215,31,14.4,31,14.4,7,22.6,5,0,58,1.87,0,0.0,71.4
Jimmy Graham,5619,TE,11,SEA,337,68,20.2,110,32.6,21,19.1,15,0,193,1.75,0,0.0,71.4
Rex Burkhead,7971,WR,12,CIN,39,15,38.5,21,53.8,7,33.3,5,1,54,2.57,1,16.7,71.4
Justin Hunter,7815,WR,9,TEN,238,31,13.0,50,21.0,7,14.0,5,1,47,0.94,0,16.7,71.4
Andrew Hawkins,6125,WR,8,CLV,263,40,15.2,183,69.6,28,15.3,20,1,204,1.11,0,4.8,71.4
A.J. Green,6156,WR,16,CIN,540,123,22.8,109,20.2,21,19.3,15,0,258,2.37,3,0.0,71.4
De'Anthony Thomas,8759,WR,9,KC,104,21,20.2,66,63.5,14,21.2,10,1,56,0.85,1,9.1,71.4
Jordan Matthews,8677,WR,16,PHI,574,120,20.9,532,92.7,114,21.4,81,9,972,1.83,8,10.0,71.1
Marc Mariani,5745,WR,15,CHI,322,31,9.6,259,80.4,24,9.3,17,0,245,0.95,0,0.0,70.8
Richard Rodgers,8733,TE,16,GB,441,82,18.6,287,65.1,51,17.8,36,2,333,1.16,4,5.3,70.6
Michael Floyd,7019,WR,15,ARZ,411,88,21.4,123,29.9,17,13.8,12,0,205,1.67,2,0.0,70.6
Donte Moncrief,8725,WR,16,IND,531,100,18.8,78,14.7,17,21.8,12,1,156,2.0,2,7.7,70.6
Nick Williams,8005,WR,13,ATL,116,25,21.6,83,71.6,17,20.5,12,2,90,1.08,2,14.3,70.6
Jordan Reed,7866,TE,14,WAS,389,111,28.5,152,39.1,37,24.3,26,2,283,1.86,4,7.1,70.3
Bilal Powell,6278,HB,11,NYJ,235,60,25.5,44,18.7,10,22.7,7,0,67,1.52,1,0.0,70.0
Tyler Eifert,7802,TE,13,CIN,359,64,17.8,60,16.7,10,16.7,7,1,55,0.92,1,12.5,70.0
C.J. Spiller,5534,HB,13,NO,140,40,28.6,30,21.4,10,33.3,7,0,127,4.23,1,0.0,70.0
Mychal Rivera,7965,TE,16,OAK,267,44,16.5,141,52.8,20,14.2,14,1,130,0.92,1,6.7,70.0
Adam Humphries,10075,WR,13,TB,290,40,13.8,204,70.3,30,14.7,21,2,215,1.05,1,8.7,70.0
Eddie Royal,4356,WR,9,CHI,272,49,18.0,163,59.9,30,18.4,21,1,123,0.75,1,4.5,70.0
Jeremy Kerley,6305,WR,15,NYJ,171,26,15.2,128,74.9,20,15.6,14,2,141,1.1,1,12.5,70.0
Cole Beasley,7330,WR,16,DAL,408,71,17.4,353,86.5,53,15.0,37,2,406,1.15,5,5.1,69.8
Jerricho Cotchery,1829,WR,14,CAR,248,53,21.4,213,85.9,43,20.2,30,1,337,1.58,2,3.2,69.8
Dwayne Harris,6328,WR,15,NYG,401,53,13.2,310,77.3,43,13.9,30,5,325,1.05,4,14.3,69.8
Zach Ertz,7816,TE,15,PHI,477,106,22.2,164,34.4,33,20.1,23,3,234,1.43,1,11.5,69.7
Jarvis Landry,8698,WR,16,MIA,566,155,27.4,398,70.3,102,25.6,71,4,784,1.97,2,5.3,69.6
Brandin Cooks,8655,WR,16,NO,627,126,20.1,184,29.3,36,19.6,25,0,354,1.92,2,0.0,69.4
Julius Thomas,6281,TE,12,JAX,378,74,19.6,176,46.6,26,14.8,18,2,174,0.99,2,10.0,69.2
Eric Decker,5611,WR,15,NYJ,567,126,22.2,387,68.3,81,20.9,56,6,695,1.8,7,9.7,69.1
Griff Whalen,7351,WR,12,IND,112,25,22.3,99,88.4,19,19.2,13,0,118,1.19,1,0.0,68.4
Markus Wheaton,7860,WR,16,PIT,463,76,16.4,328,70.8,44,13.4,30,3,492,1.5,3,9.1,68.2
Willie Snead IV,8999,WR,15,NO,510,95,18.6,162,31.8,31,19.1,21,4,235,1.45,1,16.0,67.7
Seth Roberts,9079,WR,16,OAK,422,52,12.3,362,85.8,46,12.7,31,3,469,1.3,4,8.8,67.4
Charles Sims,8704,HB,16,TB,248,65,26.2,16,6.5,6,37.5,4,0,43,2.69,2,0.0,66.7
Brandon LaFell,5602,WR,11,NE,411,69,16.8,96,23.4,12,12.5,8,1,73,0.76,0,11.1,66.7
Sammy Watkins,8639,WR,13,BUF,390,91,23.3,50,12.8,9,18.0,6,2,98,1.96,1,25.0,66.7
MyCole Pruitt,9576,TE,16,MIN,68,13,19.1,14,20.6,3,21.4,2,1,19,1.36,0,33.3,66.7
Dontrelle Inman,6597,WR,14,SD,434,60,13.8,126,29.0,12,9.5,8,0,82,0.65,1,0.0,66.7
Crockett Gillmore,8734,TE,10,BLT,253,42,16.6,62,24.5,12,19.4,8,0,106,1.71,0,0.0,66.7
Chris Owusu,7276,WR,3,NYJ,73,13,17.8,20,27.4,3,15.0,2,0,25,1.25,0,0.0,66.7
James Jones,3694,WR,16,GB,631,89,14.1,52,8.2,6,11.5,4,0,80,1.54,0,0.0,66.7
Lee Smith,6311,TE,15,OAK,118,12,10.2,31,26.3,3,9.7,2,0,15,0.48,0,0.0,66.7
Josh Bellamy,7472,WR,15,CHI,217,33,15.2,51,23.5,9,17.6,6,1,68,1.33,1,14.3,66.7
Mohamed Sanu,7084,WR,16,CIN,404,48,11.9,355,87.9,42,11.8,28,1,363,1.02,0,3.4,66.7
Daniel Brown,10144,WR,5,BLT,58,11,19.0,41,70.7,6,14.6,4,0,43,1.05,0,0.0,66.7
Akeem Hunt,9839,HB,7,HST,23,9,39.1,7,30.4,3,42.9,2,0,8,1.14,0,0.0,66.7
DeAngelo Williams,2972,HB,15,PIT,375,47,12.5,36,9.6,3,8.3,2,1,10,0.28,0,33.3,66.7
Jared Abbrederis,8811,WR,7,GB,65,14,21.5,56,86.2,12,21.4,8,0,106,1.89,0,0.0,66.7
Brandon Coleman,9086,WR,16,NO,292,48,16.4,72,24.7,9,12.5,6,1,98,1.36,1,14.3,66.7
Aaron Dobson,7840,WR,6,NE,142,18,12.7,33,23.2,6,18.2,4,1,44,1.33,0,20.0,66.7
Terrance Williams,7855,WR,16,DAL,509,91,17.9,51,10.0,9,17.6,6,0,115,2.25,0,0.0,66.7
James Starks,5716,HB,16,GB,258,50,19.4,10,3.9,3,30.0,2,0,6,0.6,0,0.0,66.7
Michael Crabtree,4933,WR,16,OAK,565,143,25.3,162,28.7,45,27.8,30,5,287,1.77,1,14.3,66.7
Chris Conley,9509,WR,16,KC,222,30,13.5,38,17.1,6,15.8,4,0,45,1.18,1,0.0,66.7
Anquan Boldin,1369,WR,14,SF,499,107,21.4,323,64.7,62,19.2,41,1,447,1.38,2,2.4,66.1
Marques Colston,3197,WR,13,NO,386,65,16.8,261,67.6,44,16.9,29,5,373,1.43,2,14.7,65.9
Jordan Norwood,5358,WR,11,DEN,269,32,11.9,225,83.6,29,12.9,19,1,196,0.87,0,5.0,65.5
Justin Hardy,9540,WR,9,ATL,221,34,15.4,150,67.9,26,17.3,17,2,154,1.03,0,10.5,65.4
Calvin Johnson,3618,WR,16,DET,655,142,21.7,81,12.4,20,24.7,13,1,200,2.47,0,7.1,65.0
Tavon Austin,7789,WR,16,SL,414,81,19.6,88,21.3,17,19.3,11,0,51,0.58,1,0.0,64.7
Keshawn Martin,7121,WR,9,NE,295,36,12.2,116,39.3,17,14.7,11,0,117,1.01,0,0.0,64.7
Amari Cooper,9437,WR,16,OAK,581,123,21.2,104,17.9,31,29.8,20,5,262,2.52,3,20.0,64.5
Randall Cobb,6216,WR,16,GB,638,123,19.3,551,86.4,104,18.9,67,8,739,1.34,6,10.7,64.4
Taylor Gabriel,9002,WR,13,CLV,273,48,17.6,144,52.7,25,17.4,16,3,88,0.61,0,15.8,64.0
Allen Robinson II,8696,WR,16,JAX,645,142,22.0,98,15.2,25,25.5,16,0,234,2.39,6,0.0,64.0
Dwayne Allen,7066,TE,13,IND,194,25,12.9,75,38.7,11,14.7,7,0,59,0.79,0,0.0,63.6
Cecil Shorts,6266,WR,11,HST,358,67,18.7,306,85.5,55,18.0,35,3,438,1.43,1,7.9,63.6
Brandon Marshall,3064,WR,16,NYJ,639,167,26.1,145,22.7,38,26.2,24,4,264,1.82,4,14.3,63.2
Giovani Bernard,7818,HB,16,CIN,265,63,23.8,21,7.9,8,38.1,5,1,22,1.05,0,16.7,62.5
Darrius Heyward-Bey,4930,WR,16,PIT,245,37,15.1,83,33.9,8,9.6,5,0,48,0.58,1,0.0,62.5
Chris Matthews,6820,WR,13,BLT,148,24,16.2,35,23.6,8,22.9,5,0,53,1.51,1,0.0,62.5
Ed Dickson,5595,TE,16,CAR,178,25,14.0,80,44.9,13,16.3,8,2,64,0.8,0,20.0,61.5
Robert Woods,7822,WR,14,BUF,442,79,17.9,140,31.7,26,18.6,16,1,192,1.37,1,5.9,61.5
Blake Bell,9550,TE,12,SF,198,22,11.1,114,57.6,13,11.4,8,1,147,1.29,0,11.1,61.5
Wes Welker,2204,WR,8,SL,73,20,27.4,68,93.2,18,26.5,11,1,86,1.26,0,8.3,61.1
Emmanuel Sanders,5606,WR,15,DEN,538,131,24.3,113,21.0,18,15.9,11,0,90,0.8,0,0.0,61.1
Maxx Williams,9488,TE,14,BLT,279,45,16.1,98,35.1,18,18.4,11,0,100,1.02,0,0.0,61.1
John Brown,8726,WR,15,ARZ,502,99,19.7,182,36.3,36,19.8,22,2,344,1.89,3,8.3,61.1
Ryan Griffin,7982,TE,9,HST,215,34,15.8,136,63.3,23,16.9,14,3,220,1.62,1,17.6,60.9
Charles Johnson,7998,WR,10,MIN,91,13,14.3,20,22.0,5,25.0,3,0,27,1.35,0,0.0,60.0
Greg Jennings,2997,WR,16,MIA,205,31,15.1,81,39.5,10,12.3,6,1,54,0.67,1,14.3,60.0
Brandon Pettigrew,4943,TE,8,DET,99,13,13.1,38,38.4,5,13.2,3,0,27,0.71,0,0.0,60.0
Dez Bryant,5549,WR,9,DAL,293,68,23.2,56,19.1,15,26.8,9,1,107,1.91,2,10.0,60.0
Torrey Smith,6210,WR,16,SF,509,56,11.0,45,8.8,5,11.1,3,0,187,4.16,2,0.0,60.0
Rishard Matthews,7211,WR,11,MIA,318,59,18.6,61,19.2,10,16.4,6,1,80,1.31,0,14.3,60.0
Luke Willson,7940,TE,14,SEA,160,23,14.4,37,23.1,10,27.0,6,0,84,2.27,1,0.0,60.0
Martavis Bryant,8753,WR,11,PIT,367,88,24.0,44,12.0,5,11.4,3,0,14,0.32,1,0.0,60.0
T.J. Jones,8824,WR,6,DET,107,18,16.8,51,47.7,10,19.6,6,0,82,1.61,0,0.0,60.0
Nelson Agholor,9453,WR,13,PHI,404,43,10.6,75,18.6,5,6.7,3,0,31,0.41,0,0.0,60.0
Devin Funchess,9474,WR,16,CAR,232,61,26.3,32,13.8,5,15.6,3,0,31,0.97,0,0.0,60.0
Darius Jennings,10038,WR,4,CLV,121,20,16.5,64,52.9,10,15.6,6,3,59,0.92,0,33.3,60.0
Gary Barnidge,4455,TE,16,CLV,591,119,20.1,369,62.4,64,17.3,38,4,461,1.25,4,9.5,59.4
