player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent,year
Matthew Stafford,4924,QB,11,DET,26,-8,0,0,0,2014
Peyton Hillis,4541,HB,6,NYG,26,116,1,16,13.8,2014
Ben Roethlisberger,1732,QB,12,PIT,25,-6,0,0,0,2014
Peyton Manning,327,QB,14,DEN,24,-30,0,0,0,2014
John Kuhn,2686,FB,10,GB,24,85,0,0,0,2014
Antone Smith,5440,HB,8,ATL,23,144,2,86,59.7,2014
Mark Sanchez,4928,QB,7,PHI,23,22,1,15,68.2,2014
Joe Banyard,7361,HB,6,MIN,21,88,1,16,18.2,2014
Adrian Peterson,3623,HB,1,MIN,21,78,2,33,42.3,2014
Marcel Reece,4702,FB,10,OAK,21,85,0,0,0,2014
Theo Riddick,7980,HB,10,DET,20,51,0,0,0,2014
Ronnie Brown,2219,HB,8,SD,20,63,0,0,0,2014
Jay Cutler,2956,QB,11,CHI,20,-1,1,15,-1500,2014
Robert Griffin III,7008,QB,7,WAS,20,70,0,0,0,2014
Mike James,7970,HB,5,TB,19,37,0,0,0,2014
George Winn,8123,HB,5,DET,19,73,1,16,21.9,2014
Ryan Fitzpatrick,2467,QB,7,HST,18,-8,0,0,0,2014
Derek Carr,8671,QB,10,OAK,17,36,1,41,113.9,2014
Philip Rivers,1725,QB,8,SD,17,-14,0,0,0,2014
Silas Redd,8900,HB,6,WAS,16,75,0,0,0,2014
Jonathan Dwyer,5711,HB,2,ARZ,16,51,1,20,39.2,2014
Brian Hoyer,5277,QB,11,CLV,16,-21,0,0,0,2014
DuJuan Harris,6595,HB,5,GB,16,64,0,0,0,2014
Tony Romo,1693,QB,8,DAL,16,-15,0,0,0,2014
Danny Woodhead,4914,HB,3,SD,15,38,0,0,0,2014
Marion Grice,8835,HB,5,ARZ,15,41,0,0,0,2014
Teddy Bridgewater,8667,QB,8,MIN,14,10,0,0,0,2014
Drew Stanton,3659,QB,7,ARZ,14,-16,0,0,0,2014
Alex Smith,2218,QB,9,KC,14,4,0,0,0,2014
Aaron Rodgers,2241,QB,7,GB,14,-5,0,0,0,2014
Chris Ogbonnaya,5135,HB,3,NYG,14,50,0,0,0,2014
Cedric Peerman,5109,HB,4,CIN,14,43,1,21,48.8,2014
De'Anthony Thomas,8759,HB,9,KC,13,96,2,44,45.8,2014
Leon Washington,3062,HB,7,TEN,13,57,1,16,28.1,2014
Drew Brees,802,QB,7,NO,13,-24,0,0,0,2014
Michael Vick,773,QB,7,NYJ,12,21,0,0,0,2014
Randall Cobb,6216,WR,7,GB,11,37,0,0,0,2014
Colt McCoy,5609,QB,5,WAS,11,45,1,20,44.4,2014
Julian Edelman,5156,WR,8,NE,10,94,2,42,44.7,2014
Matt Flynn,4523,QB,4,GB,10,-10,0,0,0,2014
