player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
Nate Ebner,7193,S,1,NE,60.0,2,17.5,47.5,2,100.0,2,0,0.0,0,0,0,
Johnny Hekker,7252,P,1,SL,60.0,2,67.5,11.0,0,50.0,1,0,0.0,1,0,1,3.61
Marquette King,7410,P,2,OAK,60.0,2,61.5,38.5,0,100.0,2,40,20.0,0,0,2,4.31
Ryan Quigley,7573,P,1,NYJ,60.0,5,69.0,25.0,0,80.0,4,117,29.3,1,0,5,4.03
Justin Tucker,7604,K,16,BLT,90.3,74,72.0,20.8,1,13.5,10,229,22.9,63,1,70,4.07
Jeff Locke,7937,P,1,MIN,60.0,1,44.0,42.0,0,100.0,1,6,6.0,0,0,1,4.85
Sam Martin,7947,P,16,DET,78.8,73,67.9,23.5,3,43.8,32,762,23.8,40,0,66,4.03
Caleb Sturgis,7948,K,13,PHI,53.5,68,66.5,22.4,2,41.2,28,533,19.0,39,0,60,3.98
Dustin Hopkins,7958,K,15,WAS,69.2,80,67.8,22.0,3,31.3,25,492,19.7,52,0,69,4.03
Jordan Gay,8118,P,14,BUF,56.3,77,67.4,20.3,2,44.2,34,551,16.2,42,0,68,4.14
Tress Way,8358,P,2,WAS,60.0,2,60.0,33.0,0,100.0,2,36,18.0,0,0,2,4.47
Brandon McManus,8437,K,16,DEN,72.1,81,68.4,22.3,4,32.1,26,489,18.8,55,0,68,3.98
Zach Hocker,8862,K,4,SL,67.0,12,71.8,23.3,0,25.0,3,82,27.3,9,0,11,4.21
Cairo Santos,8932,K,16,KC,57.3,90,66.9,22.6,2,53.3,48,1137,23.7,40,0,84,4.0
Chris Boswell,8990,K,12,PIT,30.3,74,66.3,23.4,0,63.5,47,1080,23.0,26,0,60,3.95
Cody Parkey,9030,K,3,PHI,45.7,13,62.3,24.8,1,69.2,9,172,19.1,3,0,11,3.8
Chandler Catanzaro,9140,K,16,ARZ,54.3,99,69.1,21.4,0,49.5,49,1224,25.0,50,0,94,4.05
Travis Coons,9268,K,16,CLV,24.6,70,66.3,22.1,0,60.0,42,894,21.3,27,0,62,3.78
Bradley Pinion,9598,P,15,SF,63.0,56,70.3,22.1,0,32.1,18,430,23.9,38,0,48,4.05
Kyle Brindza,9752,K,4,TB,70.5,18,68.6,21.7,1,33.3,6,112,18.7,12,0,16,4.04
Matt Darr,9812,P,6,MIA,58.4,6,43.0,40.5,1,83.3,5,51,10.2,0,0,5,3.32
Andrew Franks,9814,K,16,MIA,66.7,66,68.6,22.7,2,31.8,21,458,21.8,44,0,59,4.0
Josh Lambo,10133,K,16,SD,79.8,75,68.9,23.7,3,45.3,34,864,25.4,41,0,71,4.03
Jason Myers,10207,K,16,JAX,74.3,84,67.4,22.4,5,29.8,25,554,22.2,55,0,76,3.96
