player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Justin Ellis,8742,DI,12,OAK,363,174,186,3,71.5,68.1,61.6,68.3,50.7,13,0,0,13,1,20,4,1,16,0,0,0,0,,0,,0,0,0,0.0,0,0
Cassius Marsh,8743,ED,16,SEA,189,107,72,10,61.8,71.6,58.4,48.4,64.9,8,0,0,8,0,16,2,2,10,0,2,1,5,5.0,8,5,0,0,0,56.3,0,0
Ross Cockrell,8744,CB,15,PIT,683,9,192,482,74.6,64.2,62.3,47.1,76.1,1,0,0,1,0,39,7,7,9,1,74,47,619,13.2,210,61,4,2,10,96.6,4,0
Maurice Alexander,8745,S,11,SL,425,30,144,251,44.7,53.0,57.0,71.0,40.3,7,2,3,2,1,25,2,5,11,0,31,23,262,11.4,122,44,4,0,1,138.7,1,1
DaQuan Jones,8747,DI,16,TEN,673,302,370,1,68.2,72.0,73.4,58.3,60.5,14,0,5,9,0,34,10,1,25,0,0,0,0,,0,,0,0,0,0.0,3,1
Andre Williams,8748,HB,1,NYG,1,0,1,0,60.0,60.0,25.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Aaron Colvin,8749,CB,16,JAX,1076,35,405,636,63.3,65.5,60.3,66.9,61.1,10,4,1,5,0,67,4,9,37,1,86,59,640,10.8,268,25,2,0,4,98.0,5,1
Keith McGill,8751,CB,7,OAK,25,1,6,18,51.7,60.0,46.7,,50.7,0,0,0,0,0,0,0,1,0,0,2,2,12,6.0,0,6,1,0,0,131.3,1,0
Anthony Hitchens,8754,LB,16,DAL,543,28,261,254,50.7,43.1,54.5,74.6,56.2,9,2,3,4,0,44,14,12,22,1,28,21,251,12.0,175,44,0,0,2,101.9,0,0
Marqueston Huff,8757,S,8,TEN,86,0,27,59,62.7,59.5,64.5,,62.2,0,0,0,0,0,4,1,1,0,0,4,1,35,35.0,0,35,1,0,2,103.1,0,0
