year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Demetrius McCray,7992,CB,4,JAX,9,4,4,35,17,0,0,103.1,3.89,2.3,2.3
2015,Chris Owens,5013,CB,2,NO,7,3,3,35,5,2,0,154.9,5,2.3,2.3
2015,Edmond Robinson,9665,LB,2,MIN,2,1,1,9,5,0,0,104.2,4.5,2,2
2015,Anthony Chickillo,9645,ED,1,PIT,2,1,1,1,4,0,0,79.2,0.5,2,2
2015,Chris Banjo,8419,S,2,GB,2,1,1,8,6,0,0,100,4,2,2
2015,Jonathan Freeny,6633,LB,5,NE,10,6,5,35,13,0,0,91,3.5,1.7,2
2015,Benson Mayowa,8196,ED,1,OAK,2,1,1,9,0,0,0,104.2,4.5,2,2
2015,Marcus Cromartie,8525,CB,1,SF,2,2,1,6,3,0,0,56.3,3,1,2
2015,Brock Coyle,8929,LB,1,SEA,2,1,1,5,0,0,0,87.5,2.5,2,2
2015,Preston Smith,9471,ED,1,WAS,1,1,1,9,5,0,0,104.2,9,1,1
