player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Cyrus Kouandjio,8679,TE,1,DEN,2,2,100.0,0,0,0,0,100.0
Jeremy Hill,8690,HB,1,NE,6,2,33.3,0,0,0,0,100.0
Stefon Diggs,9579,WR,15,MIN,593,1,0.2,0,0,0,0,100.0
Allen Robinson II,8696,WR,13,CHI,448,1,0.2,0,0,0,0,100.0
Jarvis Landry,8698,WR,16,CLV,597,1,0.2,0,0,0,0,100.0
Andrew Donnal,9552,T,1,DET,1,1,100.0,0,0,0,0,100.0
Ramik Wilson,9551,LB,3,LA,3,3,100.0,0,0,0,0,100.0
Blake Bell,9550,TE,10,JAX,122,13,10.7,0,0,0,0,100.0
Jeremy Langford,9539,HB,1,ATL,7,1,14.3,0,0,0,0,100.0
Chris Conley,9509,WR,16,KC,517,5,1.0,0,0,0,0,100.0
Richard Rodgers,8733,TE,4,PHI,15,3,20.0,0,0,0,0,100.0
Ameer Abdullah,9487,HB,6,MIN,14,1,7.1,0,0,0,0,100.0
Jake Fisher,9486,T,6,CIN,21,21,100.0,0,0,0,0,100.0
Ryan Grant,8777,WR,14,IND,396,1,0.3,0,0,0,0,100.0
Nelson Agholor,9453,WR,16,PHI,597,1,0.2,0,0,0,0,100.0
DeVante Parker,9447,WR,11,MIA,227,1,0.4,0,0,0,0,100.0
Jon Halapio,8814,C,2,NYG,71,71,100.0,0,0,0,0,100.0
Jerome Cunningham,9400,TE,3,DET,18,3,16.7,0,0,0,0,100.0
Erik Swoope,9303,TE,7,IND,55,3,5.5,0,0,0,0,100.0
Keith Smith,9302,FB,15,OAK,44,8,18.2,0,0,0,0,100.0
Quincy Enunwa,8843,WR,11,NYJ,322,2,0.6,0,0,0,0,100.0
Seantrel Henderson,8871,T,1,HST,7,7,100.0,0,0,0,0,100.0
James Ferentz,9258,C,1,NE,1,1,100.0,0,0,0,0,100.0
Cameron Brate,9207,TE,16,TB,372,4,1.1,0,0,0,0,100.0
David Fluellen,9184,HB,1,TEN,2,1,50.0,0,0,0,0,100.0
Allen Hurns,8931,WR,16,DAL,252,1,0.4,0,0,0,0,100.0
Albert Wilson,8943,WR,7,MIA,129,1,0.8,0,0,0,0,100.0
Casey Kreiter,8959,LS,1,DEN,1,1,100.0,0,0,0,0,100.0
Ryan Hewitt,9107,TE,11,IND,58,21,36.2,0,0,0,0,100.0
Seth Roberts,9079,WR,15,OAK,374,3,0.8,0,0,0,0,100.0
D.J. Moore,48267,WR,16,CAR,430,1,0.2,0,0,0,0,100.0
Jonathan Stewart,4327,HB,2,NYG,11,2,18.2,0,0,0,0,100.0
Tre'Quan Smith,48228,WR,15,NO,320,1,0.3,0,0,0,0,100.0
Jordy Nelson,4350,WR,15,OAK,522,2,0.4,0,0,0,0,100.0
Trent Sherfield,48021,WR,8,ARZ,225,1,0.4,0,0,0,0,100.0
Jamaal Charles,4387,HB,2,JAX,12,1,8.3,0,0,0,0,100.0
Keith Kirkwood,48017,WR,8,NO,132,1,0.8,0,0,0,0,100.0
Marquez Valdes-Scantling,47809,WR,16,GB,476,2,0.4,0,0,0,0,100.0
Pierre Garcon,4519,WR,8,SF,227,1,0.4,0,0,0,0,100.0
Brett Kern,4580,P,1,TEN,1,1,100.0,0,0,0,0,100.0
Wesley Woodyard,4583,LB,1,TEN,1,1,100.0,0,0,0,0,100.0
D.J. Chark Jr.,47702,WR,11,JAX,194,1,0.5,0,0,0,0,100.0
Stephen Hauschka,4655,K,1,BUF,1,1,100.0,0,0,0,0,100.0
Danny Amendola,4717,WR,15,MIA,415,1,0.2,0,0,0,0,100.0
Keke Coutee,47698,WR,6,HST,165,1,0.6,0,0,0,0,100.0
Deontay Burnett,47477,WR,5,NYJ,86,1,1.2,0,0,0,0,100.0
Dalton Schultz,47304,TE,11,DAL,133,18,13.5,0,0,0,0,100.0
Garrett Dickerson,47268,TE,1,NYG,6,2,33.3,0,0,0,0,100.0
Thomas Morstead,5088,P,1,NO,1,1,100.0,0,0,0,0,100.0
John Phillips,5132,TE,8,ARZ,48,17,35.4,0,0,0,0,100.0
Clinton McDonald,5173,DI,2,OAK,2,1,50.0,0,0,0,0,100.0
Dan Arnold,51842,TE,10,NO,89,1,1.1,0,0,0,0,100.0
Austin Corbett,46290,T,3,CLV,3,3,100.0,0,0,0,0,100.0
Garrison Sanborn,5430,LS,1,TB,1,1,100.0,0,0,0,0,100.0
Joseph Noteboom,46249,T,3,LA,23,23,100.0,0,0,0,0,100.0
Brian Allen,46104,C,4,LA,8,8,100.0,0,0,0,0,100.0
Don Muhlbach,2130,LS,1,DET,1,1,100.0,0,0,0,0,100.0
David Williams,45732,HB,3,JAX,9,1,11.1,0,0,0,0,100.0
Detrez Newsome,45695,HB,3,LAC,15,1,6.7,0,0,0,0,100.0
Dontrell Hilliard,45691,HB,8,CLV,37,4,10.8,0,0,0,0,100.0
Sam Jones,38935,G,2,DEN,7,6,85.7,0,0,0,0,100.0
Brandon LaFell,5602,WR,6,OAK,132,1,0.8,0,0,0,0,100.0
Emmanuel Sanders,5606,WR,12,DEN,410,1,0.2,0,0,0,0,100.0
Ronald Jones,34001,HB,8,TB,62,8,12.9,0,0,0,0,100.0
Will Dissly,30762,TE,4,SEA,69,5,7.2,0,0,0,0,100.0
Chris Board,29456,LB,1,BLT,1,1,100.0,0,0,0,0,100.0
Jeff Wilson Jr.,29413,HB,6,SF,112,7,6.3,0,0,0,0,100.0
Bilal Nichols,28451,DI,1,CHI,1,1,100.0,0,0,0,0,100.0
Scott Quessenberry,23918,C,3,LAC,7,7,100.0,0,0,0,0,100.0
Keith Ford,23614,HB,2,BUF,37,5,13.5,0,0,0,0,100.0
Hunter Bradley,23250,LS,1,GB,1,1,100.0,0,0,0,0,100.0
Ross Dwelley,20994,TE,4,SF,15,1,6.7,0,0,0,0,100.0
Anthony Levine,6013,S,1,BLT,1,1,100.0,0,0,0,0,100.0
Morgan Cox,6020,LS,1,BLT,1,1,100.0,0,0,0,0,100.0
Darrel Williams,13014,HB,4,KC,20,1,5.0,0,0,0,0,100.0
Joe Jones,12321,LB,1,DEN,1,1,100.0,0,0,0,0,100.0
Kendrick Bourne,12270,WR,16,SF,363,1,0.3,0,0,0,0,100.0
Cameron Heyward,6183,DI,1,PIT,1,1,100.0,0,0,0,0,100.0
Tyrone Swoopes,12267,TE,1,SEA,14,2,14.3,0,0,0,0,100.0
Austin Carr,12215,WR,14,NO,154,1,0.6,0,0,0,0,100.0
Johnny Mundt,12206,TE,4,LA,5,3,60.0,0,0,0,0,100.0
Stevan Ridley,6225,HB,9,PIT,26,2,7.7,0,0,0,0,100.0
Robert Tonyan,12193,TE,11,GB,45,2,4.4,0,0,0,0,100.0
Taysom Hill,12112,QB,14,NO,47,3,6.4,0,0,0,0,100.0
Tim Patrick,12087,WR,16,DEN,244,1,0.4,0,0,0,0,100.0
Riley Bullough,12062,LB,1,TB,1,1,100.0,0,0,0,0,100.0
Anthony Sherman,6288,FB,15,KC,34,4,11.8,0,0,0,0,100.0
Jacob Hollister,12051,TE,6,NE,33,5,15.2,0,0,0,0,100.0
Sean Culkin,12037,TE,13,LAC,64,23,35.9,0,0,0,0,100.0
Mason Schreck,12007,TE,2,CIN,6,1,16.7,0,0,0,0,100.0
Noah Brown,11993,WR,7,DAL,26,2,7.7,0,0,0,0,100.0
Isaiah Ford,11991,WR,1,MIA,8,1,12.5,0,0,0,0,100.0
Josh Harvey-Clemons,11985,LB,1,WAS,1,1,100.0,0,0,0,0,100.0
Alex Armah,11948,FB,13,CAR,24,11,45.8,0,0,0,0,100.0
Chuck Clark,11941,S,1,BLT,1,1,100.0,0,0,0,0,100.0
Aaron Jones,11937,HB,12,GB,227,23,10.1,0,0,0,0,100.0
Chris Hogan,6468,WR,16,NE,495,2,0.4,0,0,0,0,100.0
Matt Milano,11918,LB,1,BUF,1,1,100.0,0,0,0,0,100.0
Nick Bellore,6515,FB,13,DET,30,3,10.0,0,0,0,0,100.0
Jake McQuaide,6586,LS,5,LA,5,5,100.0,0,0,0,0,100.0
Doug Baldwin,6615,WR,13,SEA,351,4,1.1,0,0,0,0,100.0
Matt Overton,6979,,1,JAX,1,1,100.0,0,0,0,0,100.0
Patrick DiMarco,6997,FB,15,BUF,54,11,20.4,0,0,0,0,100.0
Craig Robertson,7003,LB,1,NO,1,1,100.0,0,0,0,0,100.0
Ryan Tannehill,7014,QB,11,MIA,320,1,0.3,0,0,0,0,100.0
Jake Butt,11900,TE,3,DEN,56,5,8.9,0,0,0,0,100.0
Anthony Firkser,51837,TE,12,TEN,129,7,5.4,0,0,0,0,100.0
Keelan Cole,51593,WR,16,JAX,474,1,0.2,0,0,0,0,100.0
Wayne Gallman,11895,HB,15,NYG,89,12,13.5,0,0,0,0,100.0
David Sharpe,11884,T,4,OAK,6,5,83.3,0,0,0,0,100.0
Michael Roberts,11882,TE,8,DET,95,2,2.1,0,0,0,0,100.0
Samson Ebukam,11880,ED,1,LA,1,1,100.0,0,0,0,0,100.0
Tarik Cohen,11874,HB,16,CHI,316,8,2.5,0,0,0,0,100.0
Josh Reynolds,11872,WR,16,LA,342,19,5.6,0,0,0,0,100.0
Samaje Perine,11869,HB,3,WAS,20,1,5.0,0,0,0,0,100.0
Gino Gradkowski,7098,C,1,DEN,13,13,100.0,0,0,0,0,100.0
Dede Westbrook,11865,WR,16,JAX,556,1,0.2,0,0,0,0,100.0
Robert Turbin,7106,HB,2,IND,16,1,6.3,0,0,0,0,100.0
Vince Biegel,11863,ED,1,NO,1,1,100.0,0,0,0,0,100.0
Orson Charles,7116,TE,12,CLV,38,11,28.9,0,0,0,0,100.0
Chad Williams,11853,WR,10,ARZ,284,1,0.4,0,0,0,0,100.0
D'Onta Foreman,11844,HB,1,HST,23,3,13.0,0,0,0,0,100.0
Kareem Hunt,11841,HB,11,KC,269,15,5.6,0,0,0,0,100.0
Greg Zuerlein,7163,K,1,LA,1,1,100.0,0,0,0,0,100.0
Alex Anzalone,11831,LB,1,NO,1,1,100.0,0,0,0,0,100.0
Cooper Kupp,11824,WR,8,LA,257,7,2.7,0,0,0,0,100.0
Alvin Kamara,11822,HB,15,NO,360,26,7.2,0,0,0,0,100.0
Forrest Lamp,11793,G,2,LAC,2,2,100.0,0,0,0,0,100.0
Zay Jones,11792,WR,16,BUF,555,9,1.6,0,0,0,0,100.0
Zach Wood,11414,LS,1,NO,1,1,100.0,0,0,0,0,100.0
Julian Stanford,7372,LB,1,BUF,1,1,100.0,0,0,0,0,100.0
Derrick Coleman,7377,FB,7,ARZ,12,2,16.7,0,0,0,0,100.0
Derek Carrier,7406,TE,16,OAK,106,11,10.4,0,0,0,0,100.0
Beau Brinkley,7418,LS,1,TEN,1,1,100.0,0,0,0,0,100.0
C.J. Ham,11347,FB,13,MIN,67,8,11.9,0,0,0,0,100.0
Travaris Cadet,7457,HB,1,CAR,11,2,18.2,0,0,0,0,100.0
Josh Bellamy,7472,WR,15,CHI,154,2,1.3,0,0,0,0,100.0
Alex Erickson,11107,WR,15,CIN,221,1,0.5,0,0,0,0,100.0
Tra Carson,11104,FB,1,GB,1,1,100.0,0,0,0,0,100.0
Patrick Onwuasor,11100,LB,1,BLT,1,1,100.0,0,0,0,0,100.0
Joshua Perkins,11051,TE,7,PHI,54,5,9.3,0,0,0,0,100.0
Austin Pasztor,7689,T,1,TEN,1,1,100.0,0,0,0,0,100.0
Bradley Sowell,7693,T,8,CHI,12,8,66.7,0,0,0,0,100.0
Eddie Yarbrough,11033,ED,1,BUF,1,1,100.0,0,0,0,0,100.0
Reid Ferguson,10965,LS,2,BUF,2,2,100.0,0,0,0,0,100.0
Kameron Canaday,10949,LS,1,PIT,1,1,100.0,0,0,0,0,100.0
Isaiah Johnson,10935,S,1,TB,1,1,100.0,0,0,0,0,100.0
Chance Warmack,7791,G,1,PHI,1,1,100.0,0,0,0,0,100.0
Derek Watt,10832,FB,13,LAC,28,4,14.3,0,0,0,0,100.0
Danny Vitale,10831,FB,3,GB,8,4,50.0,0,0,0,0,100.0
Blake Countess,10830,S,4,LA,4,4,100.0,0,0,0,0,100.0
Devante Bond,10817,LB,1,TB,1,1,100.0,0,0,0,0,100.0
Temarrick Hemingway,10811,TE,2,DEN,3,1,33.3,0,0,0,0,100.0
Robert Woods,7822,WR,16,LA,605,11,1.8,0,0,0,0,100.0
Marqui Christian,10801,S,4,LA,4,3,75.0,0,0,0,0,100.0
Jonathan Williams,10790,HB,3,IND,11,1,9.1,0,0,0,0,100.0
Antonio Gates,1609,TE,16,LAC,263,14,5.3,0,0,0,0,100.0
Jordan Reed,7866,TE,13,WAS,352,14,4.0,0,0,0,0,100.0
Tajae Sharpe,10774,WR,16,TEN,330,2,0.6,0,0,0,0,100.0
Seth DeValve,10772,TE,10,CLV,52,5,9.6,0,0,0,0,100.0
Dean Lowry,10771,DI,1,GB,1,1,100.0,0,0,0,0,100.0
Levine Toilolo,7915,TE,16,DET,246,66,26.8,0,0,0,0,100.0
A.J. Klein,7930,LB,1,NO,1,1,100.0,0,0,0,0,100.0
Tyler Ervin,10753,HB,5,HST,38,1,2.6,0,0,0,0,100.0
Jonathan Bullard,10706,DI,1,CHI,1,1,100.0,0,0,0,0,100.0
Mike Gillislee,7946,HB,4,NO,9,1,11.1,0,0,0,0,100.0
Sam Martin,7947,P,1,DET,1,1,100.0,0,0,0,0,100.0
Kenjon Barner,7963,HB,6,CAR,21,2,9.5,0,0,0,0,100.0
Michael Thomas,10681,WR,16,NO,529,1,0.2,0,0,0,0,100.0
Derrick Henry,10679,HB,16,TEN,145,27,18.6,0,0,0,0,100.0
Will Fuller V,10655,WR,7,HST,223,1,0.4,0,0,0,0,100.0
Tommy Bohanon,7997,FB,14,JAX,39,11,28.2,0,0,0,0,100.0
Rodney Hudson,6207,C,16,OAK,609,609,100.0,0,1,4,5,99.6
Mitch Morse,9482,C,11,KC,413,413,100.0,0,1,3,4,99.5
Jordan Devey,8268,C,2,KC,80,80,100.0,0,0,1,1,99.4
Jason Kelce,6343,C,16,PHI,617,617,100.0,0,2,8,10,99.2
Eric Kush,7952,G,7,CHI,199,199,100.0,0,0,3,3,99.2
Ty Sambrailo,9492,T,6,ATL,159,158,99.4,0,0,3,3,99.1
Cody Whitehair,10690,C,16,CHI,585,585,100.0,0,0,11,11,99.1
Matt Paradis,8841,C,9,DEN,330,330,100.0,1,1,3,5,99.1
Jake Brendel,11117,C,3,MIA,96,96,100.0,0,1,1,2,99.0
David Morgan,10822,TE,11,MIN,89,50,56.2,0,1,0,1,99.0
Brandon Brooks,7078,G,16,PHI,650,650,100.0,1,2,10,13,98.9
Evan Boehm,10762,C,7,IND,219,219,100.0,0,2,3,5,98.9
Joel Bitonio,8670,G,16,CLV,638,638,100.0,1,0,12,13,98.9
Kevin Zeitler,7032,G,16,CLV,638,638,100.0,3,1,7,11,98.9
Brandon Linder,8728,C,9,JAX,357,357,100.0,1,3,3,7,98.9
Ryan Kelly,10652,C,12,IND,460,460,100.0,1,2,6,9,98.9
Dakota Dozier,8772,G,5,NYJ,49,46,93.9,0,0,1,1,98.9
Marshal Yanda,3702,G,16,BLT,601,601,100.0,0,3,11,14,98.8
Austin Reiter,9655,C,5,KC,163,163,100.0,1,1,1,3,98.8
Matt Slauson,5117,G,5,IND,261,261,100.0,0,3,4,7,98.7
Alex Mack,4944,C,16,ATL,676,676,100.0,3,4,7,14,98.7
Jordan Howard,10784,HB,16,CHI,289,79,27.3,0,0,2,2,98.7
Vladimir Ducasse,5586,G,9,BUF,335,335,100.0,0,1,8,9,98.7
J.C. Tretter,7904,C,16,CLV,638,638,100.0,2,1,11,14,98.7
Jeremy Sprinkle,11909,TE,16,WAS,151,40,26.5,0,0,1,1,98.7
Durham Smythe,47257,TE,15,MIA,80,36,45.0,0,0,1,1,98.6
Jesse James,9593,TE,16,PIT,320,35,10.9,0,1,0,1,98.6
Dennis Kelly,7146,T,9,TEN,174,174,100.0,1,0,3,4,98.6
Russell Bodine,8746,C,9,BUF,315,315,100.0,0,1,8,9,98.6
B.J. Finney,9875,G,5,PIT,109,109,100.0,0,1,2,3,98.6
Kyle Rudolph,6195,TE,16,MIN,614,71,11.6,0,0,2,2,98.6
Maurkice Pouncey,5543,C,16,PIT,721,721,100.0,2,3,13,18,98.6
T.J. Lang,5032,G,6,DET,174,174,100.0,1,0,3,4,98.6
Corey Linsley,8796,C,16,GB,728,728,100.0,4,2,12,18,98.5
David Andrews,9948,C,16,NE,597,597,100.0,2,3,11,16,98.5
Mark Ingram II,6180,HB,12,NO,167,34,20.4,0,0,1,1,98.5
Royce Freeman,45747,HB,14,DEN,152,33,21.7,0,0,1,1,98.5
Nick Martin,10684,C,16,HST,623,623,100.0,2,3,12,17,98.5
Tyron Smith,6161,T,13,DAL,489,489,100.0,0,2,13,15,98.5
Kerryon Johnson,34455,HB,10,DET,201,32,15.9,0,0,1,1,98.4
Jon Feliciano,9561,G,8,OAK,127,126,99.2,0,0,4,4,98.4
Wyatt Teller,46131,G,8,BUF,251,251,100.0,0,2,6,8,98.4
Virgil Green,6356,TE,16,LAC,299,64,21.4,0,0,2,2,98.4
Billy Price,46795,C,10,CIN,323,323,100.0,1,1,8,10,98.3
Shaq Mason,9564,G,14,NE,502,502,100.0,1,6,9,16,98.3
Chase Roullier,11954,C,16,WAS,594,594,100.0,1,3,15,19,98.3
David DeCastro,7640,G,14,PIT,620,620,100.0,0,2,19,21,98.3
Max Unger,4972,C,16,NO,530,530,100.0,4,1,9,14,98.3
Mark Glowinski,9567,G,10,IND,329,328,99.7,0,1,10,11,98.3
Andrew Norwell,9126,G,11,JAX,457,457,100.0,2,1,11,14,98.2
Quenton Nelson,12954,G,16,IND,682,682,100.0,2,4,17,23,98.2
Rob Gronkowski,5567,TE,13,NE,453,55,12.1,0,0,2,2,98.2
Terron Armstead,7856,T,10,NO,329,329,100.0,1,3,7,11,98.2
Ryan Jensen,7985,C,16,TB,725,725,100.0,1,10,14,25,98.2
Mike Pouncey,6167,C,16,LAC,545,545,100.0,2,3,13,18,98.2
Brandon Scherff,9438,G,8,WAS,281,281,100.0,1,1,7,9,98.2
J'Marcus Webb,5741,T,1,IND,55,55,100.0,0,0,2,2,98.2
Ryan Groy,9221,C,11,BUF,306,306,100.0,0,3,8,11,98.2
Graham Glasgow,10729,C,16,DET,628,628,100.0,1,5,15,21,98.2
Ronnie Stanley,10640,T,15,BLT,539,539,100.0,2,2,13,17,98.2
Larry Warford,7846,G,15,NO,516,516,100.0,1,5,13,19,98.1
Ramon Foster,5229,G,16,PIT,726,726,100.0,1,2,23,26,98.1
Jermaine Gresham,5546,TE,13,ARZ,188,77,41.0,0,0,3,3,98.1
Doug Martin,7035,HB,16,OAK,162,27,16.7,0,1,0,1,98.1
Mitchell Schwartz,7041,T,16,KC,641,641,100.0,3,7,11,21,98.1
Quinton Spain,10110,G,15,TEN,441,441,100.0,1,1,14,16,98.1
Brett Jones,10247,C,3,MIN,135,135,100.0,0,1,4,5,98.1
Joe Thuney,10712,G,16,NE,598,598,100.0,0,5,18,23,98.1
Christian Westerman,10795,G,3,CIN,52,52,100.0,0,0,2,2,98.1
Marshawn Lynch,3628,HB,6,OAK,104,25,24.0,0,0,1,1,98.0
Trey Burton,9185,TE,16,CHI,514,25,4.9,0,0,1,1,98.0
Derek Newton,6366,T,1,NO,25,25,100.0,0,0,1,1,98.0
Demar Dotson,5410,T,15,TB,660,660,100.0,2,2,21,25,98.0
David Johnson,9519,HB,16,ARZ,433,74,17.1,0,1,2,3,98.0
Maxx Williams,9488,TE,12,BLT,131,49,37.4,0,0,2,2,98.0
Justin Britt,8699,C,15,SEA,465,465,100.0,2,0,15,17,98.0
Erik Magnuson,12280,C,4,SF,49,49,100.0,1,0,0,1,98.0
Jake Matthews,8641,T,16,ATL,676,676,100.0,2,7,18,27,97.9
Ike Boettger,46918,G,4,BUF,48,48,100.0,0,0,2,2,97.9
David Bakhtiari,7891,T,16,GB,691,691,100.0,4,3,18,25,97.9
Joe Looney,7117,C,16,DAL,612,612,100.0,1,3,21,25,97.9
Stefen Wisniewski,6200,G,13,PHI,380,380,100.0,1,0,14,15,97.9
Demetrius Harris,8524,TE,15,KC,213,48,22.5,0,1,1,2,97.9
Jonotthan Harrison,9132,C,10,NYJ,312,312,100.0,0,2,11,13,97.9
Alejandro Villanueva,9091,T,16,PIT,726,725,99.9,5,3,17,25,97.9
Wes Schweitzer,10829,G,14,ATL,574,574,100.0,2,1,19,22,97.9
Kyle Long,7801,G,8,CHI,289,289,100.0,2,2,6,10,97.9
D.J. Fluker,7792,G,10,SEA,264,264,100.0,1,1,8,10,97.9
Ted Karras,10855,G,3,NE,96,96,100.0,1,0,2,3,97.9
Spencer Pulley,10998,C,11,NYG,331,330,99.7,2,3,7,12,97.9
Daniel Kilgore,6315,C,4,MIA,95,95,100.0,0,1,3,4,97.9
Nyheim Hines,48103,HB,16,IND,367,23,6.3,0,0,1,1,97.8
Joe Barksdale,6244,T,10,ARZ,232,232,100.0,0,4,6,10,97.8
Zach Ertz,7816,TE,16,PHI,619,45,7.3,0,2,0,2,97.8
Tyler Shatley,9257,C,11,JAX,293,293,100.0,3,1,6,10,97.8
Bobby Massie,7112,T,16,CHI,585,585,100.0,1,2,22,25,97.8
Zack Martin,8651,G,14,DAL,492,492,100.0,3,4,12,19,97.8
Tyler Conklin,47124,TE,16,MIN,70,22,31.4,0,0,1,1,97.7
Trai Turner,8727,G,13,CAR,448,448,100.0,3,0,15,18,97.7
Alex Light,31454,G,2,GB,22,22,100.0,0,0,1,1,97.7
Luke Willson,7940,TE,14,DET,218,22,10.1,0,0,1,1,97.7
Rodger Saffold,5558,G,16,LA,608,608,100.0,3,5,17,25,97.7
Ali Marpet,9494,G,16,TB,725,725,100.0,3,11,17,31,97.7
Zac Kerin,8960,G,2,WAS,22,22,100.0,0,1,0,1,97.7
Mo Alie-Cox,12078,TE,9,IND,75,21,28.0,0,1,0,1,97.6
Kelechi Osemele,7062,G,11,OAK,418,418,100.0,3,1,13,17,97.6
Rob Havenstein,9490,T,16,LA,617,617,100.0,2,2,23,27,97.6
George Fant,11282,T,14,SEA,117,104,88.9,2,0,1,3,97.6
Nick Boyle,9604,TE,16,BLT,253,84,33.2,0,1,3,4,97.6
Orlando Brown Jr.,46227,T,13,BLT,340,340,100.0,0,1,15,16,97.6
Taylor Moton,11819,T,16,CAR,626,626,100.0,2,1,25,28,97.6
Damien Williams,9205,HB,12,KC,138,21,15.2,0,0,1,1,97.6
Jonathan Cooper,7788,G,4,WAS,126,126,100.0,2,0,2,4,97.6
Taylor Lewan,8646,T,15,TEN,453,453,100.0,2,2,16,20,97.6
Cam Robinson,11789,T,2,JAX,42,42,100.0,0,0,2,2,97.6
Trey Hopkins,9276,C,11,CIN,359,359,100.0,4,0,9,13,97.6
Matt Skura,11102,C,16,BLT,606,606,100.0,2,3,22,27,97.6
Garett Bolles,11775,T,16,DEN,622,621,99.8,2,6,21,29,97.5
Ryan Ramczyk,11787,T,15,NO,518,518,100.0,4,2,16,22,97.5
Ryan Kalil,3675,C,16,CAR,611,611,100.0,2,4,23,29,97.5
Ben Jones,7099,C,16,TEN,519,519,100.0,5,1,15,21,97.5
Duane Brown,4340,T,16,SEA,501,501,100.0,4,2,15,21,97.5
Austin Blythe,10882,G,16,LA,617,617,100.0,0,6,25,31,97.5
Zane Beadles,5570,G,5,ATL,163,163,100.0,1,0,6,7,97.5
James Daniels,45576,G,13,CHI,399,399,100.0,0,3,17,20,97.5
Matt LaCosse,9840,TE,13,DEN,241,39,16.2,0,0,2,2,97.4
Jermaine Eluemunor,11914,T,5,BLT,58,58,100.0,0,0,3,3,97.4
Duke Johnson Jr.,9510,HB,16,CLV,356,57,16.0,0,1,2,3,97.4
Bryan Bulaga,5548,T,14,GB,525,525,100.0,5,3,14,22,97.4
