year,player,player_id,position,player_game_count,team_name,dropbacks,percent_pa,comp_pct_diff,ypa_diff,pa_dropbacks,pa_attempts,pa_completions,pa_touchdowns,pa_interceptions,pa_comp_percent,pa_yards,pa_ypa,pa_qb_rating,npa_dropbacks,npa_attempts,npa_completions,npa_touchdowns,npa_interceptions,npa_comp_percent,npa_yards,npa_ypa,npa_qb_rating
2015,Geno Smith,7820,QB,1,NYJ,47,2.1,36.59,-5.44,1,1,1,1,0,100,1,1,118.8,46,41,26,1,1,63.4,264,6.4,79.7
2015,Dan Orlovsky,2362,QB,2,DET,40,15,33.33,-1.01,6,6,5,0,0,83.3,25,4.2,84,34,34,17,1,1,50,176,5.2,62.9
2015,Luke McCown,1827,QB,2,NO,40,20,-12.95,-2.11,8,7,5,0,0,71.4,48,6.9,90.2,32,32,27,0,1,84.4,287,9,91
2015,Charlie Whitehurst,3026,QB,4,IND,37,27,23.19,1.05,10,9,6,0,0,66.7,49,5.4,80.3,27,23,10,0,1,43.5,101,4.4,38.5
2015,Matt McGloin,8374,QB,2,OAK,34,5.9,30,0.07,2,2,2,0,0,100,9,4.5,85.4,32,30,21,2,1,70,133,4.4,87.2
2015,Josh Freeman,4940,QB,1,IND,32,18.8,-40.87,-5.75,6,5,1,0,0,20,3,0.6,39.6,26,23,14,1,1,60.9,146,6.3,75.6
2015,Drew Stanton,3659,QB,5,ARZ,27,7.4,60.87,9.61,2,2,2,0,0,100,26,13,118.8,25,23,9,0,2,39.1,78,3.4,12.6
2015,Alex Tanney,7610,QB,1,TEN,17,5.9,30.77,9.62,1,1,1,0,0,100,16,16,118.8,16,13,9,1,0,69.2,83,6.4,112
2015,Colt McCoy,5609,QB,1,WAS,12,16.7,44.44,-3.83,2,2,2,0,0,100,17,8.5,102.1,10,9,5,1,0,55.6,111,12.3,136.8
2015,Ryan Lindley,7174,QB,1,IND,10,20,-12.5,4,2,2,1,0,0,50,18,9,81.3,8,8,5,1,0,62.5,40,5,114.6
2015,Sean Renfree,8032,QB,1,ATL,9,11.1,66.67,-6.5,1,1,1,0,0,100,-4,-4,79.2,8,6,2,0,1,33.3,15,2.5,2.8
2015,Shaun Hill,1255,QB,2,MIN,8,25,83.33,4.5,2,1,1,0,0,100,6,6,91.7,6,6,1,0,0,16.7,9,1.5,39.6
2015,Tarvaris Jackson,3009,QB,3,SEA,7,28.6,-100,-9.25,2,2,0,0,0,0,0,0,39.6,5,4,4,0,0,100,37,9.3,105.2
2015,Sean Mannion,9522,QB,1,SL,7,0,-85.71,-4.43,0,0,0,0,0,,0,,0,7,7,6,0,0,85.7,31,4.4,85.1
2015,Derek Anderson,2430,QB,1,CAR,6,16.7,-80,-7.2,1,1,0,0,0,0,0,0,39.6,5,5,4,0,0,80,36,7.2,96.7
2015,Kellen Clemens,2994,QB,1,SD,6,16.7,20,4.2,1,1,1,0,0,100,14,14,118.8,5,5,4,1,0,80,49,9.8,147.1
2015,Ryan Nassib,7892,QB,1,NYG,5,0,-100,-13.6,0,0,0,0,0,,0,,0,5,5,5,1,0,100,68,13.6,158.3
2015,Jimmy Garoppolo,8697,QB,1,NE,4,0,-25,-1.5,0,0,0,0,0,,0,,0,4,4,1,0,0,25,6,1.5,39.6
2015,Johnny Hekker,7252,P,4,SL,4,0,-25,-5,0,0,0,0,0,,0,,0,4,4,1,0,0,25,20,5,47.9
2015,Jarvis Landry,8698,WR,2,MIA,2,50,-100,-9,1,0,0,0,0,,0,,0,1,1,1,0,0,100,9,9,104.2
2015,Scott Tolzien,6749,QB,1,GB,2,0,-100,-4,0,0,0,0,0,,0,,0,2,1,1,0,0,100,4,4,83.3
2015,B.J. Daniels,8020,WR,1,HST,2,50,100,7,1,1,1,0,0,100,7,7,95.8,1,1,0,0,0,0,0,0,39.6
2015,Chase Daniel,5214,QB,1,KC,2,100,100,2,2,2,2,0,0,100,4,2,79.2,0,0,0,0,0,,0,,0
2015,Chris Hogan,6468,WR,2,BUF,2,0,-100,-4,0,0,0,0,0,,0,,0,2,1,1,0,0,100,4,4,83.3
2015,Tre Mason,8710,HB,1,SL,1,0,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,0
2015,Marc Mariani,5745,WR,1,CHI,1,0,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,0
2015,Cairo Santos,8932,K,1,KC,1,0,-100,-3,0,0,0,0,0,,0,,0,1,1,1,0,0,100,3,3,79.2
2015,Antonio Andrews,9014,HB,1,TEN,1,0,-100,-41,0,0,0,0,0,,0,,0,1,1,1,1,0,100,41,41,158.3
2015,Antonio Brown,5718,WR,1,PIT,1,0,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,0
2015,Charles Woodson,330,S,1,OAK,1,0,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,0
2015,Jamison Crowder,9538,WR,1,WAS,1,0,0,0,0,0,0,0,0,,0,,0,1,1,0,0,0,0,0,0,39.6
2015,Mohamed Sanu,7084,WR,1,CIN,1,100,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,,0
2015,Travaris Cadet,7457,HB,1,NO,1,0,0,0,0,0,0,0,0,,0,,0,1,1,0,0,0,0,0,0,39.6
2015,Jonathan Grimes,7585,HB,1,HST,1,0,0,0,0,0,0,0,0,,0,,0,1,1,0,0,0,0,0,0,39.6
2015,Sam Koch,3148,P,1,BLT,1,0,-100,3,0,0,0,0,0,,0,,0,1,1,1,0,0,100,-3,-3,79.2
2015,Marshawn Lynch,3628,HB,1,SEA,1,100,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,,0
2015,Matt Moore,4018,QB,1,MIA,1,0,-100,-14,0,0,0,0,0,,0,,0,1,1,1,0,0,100,14,14,118.8
2015,Cecil Shorts,6266,WR,1,HST,1,0,-100,-21,0,0,0,0,0,,0,,0,1,1,1,1,0,100,21,21,158.3
2015,Darren McFadden,4318,HB,1,DAL,1,0,0,0,0,0,0,0,0,,0,,0,1,1,0,0,0,0,0,0,39.6
2015,Danny Amendola,4717,WR,1,NE,1,0,-100,-36,0,0,0,0,0,,0,,0,1,1,1,0,0,100,36,36,118.8
2015,Jeremy Maclin,4942,WR,1,KC,1,100,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,,0
2015,Bryan Walters,6139,WR,1,JAX,1,0,0,0,0,0,0,0,0,,0,,0,1,1,0,0,0,0,0,0,39.6
