year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
2019,Alex Erickson,11107,WR,1,CIN,1,1,100,1,1,1,100,0,0,0,26,0,0,100,118.8
2019,Bilal Powell,6278,HB,1,NYJ,1,1,100,1,1,0,0,0,0,1,0,0,0,100,39.6
2019,Randall Cobb,6216,WR,1,DAL,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,John Brown,8726,WR,1,BUF,1,1,100,1,1,1,100,0,0,0,28,1,0,100,158.3
2019,Emmanuel Sanders,5606,WR,1,SF,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Michael Palardy,9277,P,1,CAR,1,1,100,1,1,1,100,0,0,0,12,0,0,100,116.7
2019,Danny Amendola,4717,WR,1,DET,1,1,100,1,1,1,100,0,0,0,19,1,0,100,158.3
2019,Steven Sims,48341,WR,1,WAS,1,1,100,1,1,0,0,1,0,0,0,0,0,,39.6
2019,Sam Koch,3148,P,1,BLT,1,1,100,1,1,1,100,0,0,0,-2,0,0,100,79.2
2019,Dustin Colquitt,2316,P,1,KC,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Andy Lee,1906,P,1,ARZ,1,1,100,1,1,1,100,0,0,0,26,0,0,100,118.8
2019,James White,8765,HB,1,NE,1,1,100,1,1,1,100,0,0,0,35,0,0,100,118.8
2019,Andrew Beck,47121,TE,1,DEN,1,1,100,1,1,1,100,0,0,0,6,0,0,100,91.7
2019,Stefon Diggs,9579,WR,2,MIN,2,1,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Kelvin Harmon,47931,WR,1,WAS,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Zach Pascal,12303,WR,1,IND,1,1,100,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Jake Elliott,11908,K,1,PHI,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Cooper Kupp,11824,WR,1,LA,1,1,100,1,1,0,0,0,0,0,0,0,0,0,39.6
