player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Laremy Tunsil,10647,T,15,MIA,933,0,600,333,950,0,0,0,0,60.0,77.1,47.9,5,7,20,32,11,0
Corey Coleman,10649,WR,9,CLV,138,0,1,137,0,0,0,0,0,60.3,61.6,60.6,0,0,0,0,5,0
Taylor Decker,10650,T,8,DET,471,0,311,160,476,0,0,0,0,65.3,73.2,58.7,2,3,16,21,6,3
Ryan Kelly,10652,C,7,IND,394,0,244,150,0,0,407,0,0,59.4,50.2,61.4,0,2,9,11,0,0
Darron Lee,10654,LB,1,NYJ,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,7,1
Will Fuller V,10655,WR,10,HST,199,0,0,199,0,0,0,0,0,67.2,,54.4,0,0,0,0,2,1
Josh Doctson,10656,WR,16,WAS,282,0,1,281,0,0,0,0,0,62.5,60.5,60.3,0,0,0,0,2,0
Laquon Treadwell,10657,WR,16,MIN,176,0,0,176,0,0,0,0,0,53.9,,68.3,0,0,0,0,4,0
Paxton Lynch,10660,QB,2,DEN,98,60,0,38,0,0,0,0,0,43.3,,60.0,1,0,0,1,1,0
Germain Ifedi,10665,T,16,SEA,1068,0,715,353,0,0,0,0,1087,51.7,67.6,46.9,4,3,45,52,19,3
Hunter Henry,10669,TE,14,LAC,297,0,32,265,4,0,0,0,1,87.2,68.9,69.5,0,1,0,1,0,0
Sterling Shepard,10674,WR,11,NYG,216,0,0,216,0,0,0,0,0,70.7,,73.1,0,0,0,0,2,0
Kamalei Correa,10676,LB,2,BLT,2,0,2,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Derrick Henry,10679,HB,16,TEN,88,0,52,36,0,0,0,0,0,72.0,69.9,56.4,1,0,3,4,0,0
Michael Thomas,10681,WR,16,NO,307,0,0,307,0,0,0,0,0,90.6,,50.3,0,0,0,0,4,1
Jason Spriggs,10682,T,6,GB,278,0,186,92,0,0,0,0,281,64.0,60.8,62.4,3,3,11,17,0,0
Nick Martin,10684,C,14,HST,971,0,597,374,0,0,993,0,0,62.7,68.5,57.6,2,4,17,23,3,0
Tyler Boyd,10689,WR,10,CIN,88,0,0,88,0,0,0,0,0,62.0,,59.6,0,0,0,0,0,0
Cody Whitehair,10690,C,16,CHI,964,0,556,408,0,87,722,182,0,70.9,47.0,80.8,1,7,18,26,9,1
Sean Davis,10692,S,1,PIT,1,0,1,0,0,0,0,0,0,60.0,62.1,,0,0,0,0,4,0
Max Tuerk,10700,C,1,ARZ,1,0,0,1,0,0,0,1,0,60.0,,60.0,0,0,0,0,0,0
Kenyan Drake,10707,HB,15,MIA,64,0,53,11,0,0,0,0,0,74.7,78.4,60.0,1,0,0,1,2,1
Shon Coleman,10710,T,16,CLV,1043,0,708,335,2,0,0,0,1048,61.4,64.0,57.7,6,9,49,64,14,4
Joe Thuney,10712,G,16,NE,1134,0,681,453,0,1155,0,0,0,73.5,74.1,68.1,5,10,21,36,3,0
Isaac Seumalo,10713,G,10,PHI,283,0,175,108,3,195,32,0,31,42.7,41.3,45.6,6,2,5,13,2,0
Austin Hooper,10715,TE,16,ATL,384,0,65,319,0,0,0,0,0,62.5,63.9,71.2,0,1,6,7,6,0
Le'Raven Clark,10716,G,10,IND,323,0,209,114,0,0,0,323,0,50.9,39.7,54.6,2,3,11,16,3,1
Braxton Miller,10719,WR,11,HST,157,0,0,157,0,0,0,0,0,55.2,,61.6,0,0,0,0,1,0
