year,player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
2019,Marcus Mariota,9435,QB,7,TEN,8,0,8,8.25,5,0,515.6
2019,Dwayne Haskins,41897,QB,9,WAS,8,0,8,8.38,2,0,209.4
2019,Ryan Switzer,11888,WR,7,PIT,0,8,8,,0,0,0
2019,Dan Arnold,51842,TE,5,ARZ,0,8,8,,0,0,0
2019,Patrick Ricard,48862,DI,16,BLT,0,8,8,,0,1,12.5
2019,Blake Bell,9550,TE,15,KC,0,8,8,,0,1,12.5
2019,Mo Alie-Cox,12078,TE,16,IND,0,8,8,,0,2,25
2019,Luke Willson,7940,TE,8,SEA,0,8,8,,0,0,0
2019,Danny Vitale,10831,FB,15,GB,1,7,8,2,1,0,25
2019,Antonio Callaway,48101,WR,4,CLV,0,8,8,,0,1,12.5
2019,Marvin Hall,11440,WR,9,DET,1,7,8,3,0,0,0
2019,Devontae Booker,10770,HB,8,DEN,2,6,8,6.5,1,1,162.5
2019,Luke Stocker,6256,TE,15,ATL,0,8,8,,0,0,0
2019,Richie James Jr.,28991,WR,15,SF,2,6,8,1,2,0,25
2019,Tommy Sweeney,47216,TE,6,BUF,0,8,8,,0,1,12.5
2019,Hale Hentges,47150,TE,11,WAS,0,8,8,,0,0,0
2019,Tyler Conklin,47124,TE,15,MIN,0,8,8,,0,0,0
2019,Alex Armah,11948,FB,16,CAR,6,2,8,1.17,0,0,0
2019,Brandon Zylstra,66438,WR,7,CAR,0,8,8,,0,0,0
2019,Jesper Horsted,91465,TE,6,CHI,0,8,8,,0,1,12.5
2019,Chris Hogan,6468,WR,7,CAR,0,8,8,,0,0,0
2019,Patrick DiMarco,6997,FB,16,BUF,3,5,8,1.33,0,1,16.7
2019,Tony Brooks-James,45764,HB,3,PIT,8,0,8,2.25,1,0,28.1
2019,Josh Adams,45662,HB,2,NYJ,8,0,8,1.13,0,0,0
2019,Joe Flacco,4332,QB,8,DEN,7,0,7,1,1,0,14.3
2019,J.P. Holtz,11062,TE,14,CHI,0,7,7,,0,0,0
2019,Drew Lock,39517,QB,5,DEN,7,0,7,2.14,2,0,61.2
