player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Asa Jackson,7161,CB,4,DET,86,32,0,0,0,0,,54,4,0,1,2,5.0,5.0
Ryan Shazier,8650,LB,13,PIT,730,255,33,9,11,25,4.8,475,36,6,10,17,5.2,5.0
Audie Cole,7195,LB,4,MIN,36,27,3,1,1,2,5.0,9,0,0,0,0,,5.0
L.J. Fort,7292,LB,4,PIT,39,17,1,1,0,1,1.0e3,22,2,0,1,1,3.0,5.0
Emmanuel Lamur,7561,LB,8,MIN,35,7,1,0,0,1,1.0e3,28,3,0,1,1,4.0,5.0
Darius Kilgo,9636,DI,9,NE,79,50,4,0,1,3,5.0,29,0,0,0,0,,5.0
Barkevious Mingo,7787,ED,6,NE,46,15,3,0,0,3,1.0e3,31,1,0,1,0,2.0,5.0
Jerry Hughes,5556,ED,16,BUF,813,326,20,9,8,12,4.6,487,7,4,2,8,6.5,5.0
Deji Olatoye,9061,CB,4,ATL,83,15,1,0,0,1,1.0e3,68,3,0,1,0,4.0,5.0
Ben Heeney,9573,LB,4,OAK,128,50,6,1,2,2,4.5,78,4,1,1,1,6.0,5.0
Gabe Wright,9546,DI,5,CLV,74,29,3,0,0,3,1.0e3,45,1,0,1,1,2.0,5.0
Mario Williams,2946,ED,13,MIA,425,182,11,1,2,10,7.0,243,0,0,1,1,1.0,5.0
Duke Williams,7887,S,8,IND,89,30,1,0,1,0,2.0,59,3,0,0,0,1.0e3,5.0
Cameron Wake,4907,ED,16,MIA,552,161,11,3,2,8,8.0,391,1,1,2,14,2.0,5.0
Nate Orchard,9484,ED,3,CLV,82,41,3,1,0,3,1.0e3,41,0,0,1,0,1.0,5.0
Tourek Williams,7960,ED,13,SD,135,48,2,2,1,2,5.0,87,0,0,0,1,,5.0
Ufomba Kamalu,11164,DI,4,HST,83,35,3,1,0,3,1.0e3,48,0,0,1,1,1.0,5.0
Stephen Tulloch,3061,LB,12,PHI,68,34,1,0,0,1,1.0e3,34,3,0,1,1,4.0,5.0
Corey White,7652,CB,11,BUF,391,141,5,3,4,2,3.0,250,17,2,3,3,7.3,4.9
Eli Harold,9512,ED,16,SF,660,336,19,5,7,16,4.4,324,5,2,1,4,8.0,4.9
Duke Ihenacho,7297,S,14,WAS,608,234,30,6,10,13,4.6,374,21,1,5,4,5.4,4.9
Philip Wheeler,4407,LB,16,ATL,320,152,14,4,1,9,19.0,168,6,3,6,4,2.5,4.9
Mario Addison,6558,ED,14,CAR,415,95,8,1,1,7,10.0,320,5,1,3,11,3.0,4.8
Jonathan Babineaux,2276,DI,16,ATL,402,146,14,3,4,11,5.3,256,2,0,1,1,3.0,4.8
Tracy Howard,11063,S,13,CLV,272,119,6,3,3,1,4.0,153,5,1,1,3,7.0,4.8
Earl Thomas III,5539,S,11,SEA,656,264,8,7,4,2,4.8,392,26,5,8,3,4.9,4.8
Dan McCullers,8849,DI,16,PIT,170,86,13,2,2,12,8.5,84,0,0,2,1,1.0,4.8
