player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Alterraun Verner,5628,CB,4,MIA,9,3,2,23,0,0,0,89.6,2.56,3.0,4.5
Kemal Ishmael,8026,LB,5,ATL,9,2,2,17,0,0,0,102.1,1.89,4.5,4.5
Marcus Cooper,8035,CB,7,CHI,9,2,2,29,18,0,0,118.8,3.22,4.5,4.5
Kenneth Acker,8815,CB,3,KC,9,3,2,30,15,0,0,99.3,3.33,3.0,4.5
Jourdan Lewis,11846,CB,12,DAL,31,8,7,80,23,2,0,147.9,2.58,3.9,4.4
Ryan Shazier,8650,LB,7,PIT,30,9,7,57,29,0,1,53.5,1.9,3.3,4.3
Darius Butler,4964,S,7,IND,17,4,4,59,38,0,0,118.8,3.47,4.3,4.3
Robert Nelson,8989,CB,1,NYJ,17,4,4,50,12,0,0,118.8,2.94,4.3,4.3
Anthony Barr,8644,LB,14,MIN,38,9,9,71,63,0,0,99.5,1.87,4.2,4.2
Bruce Irvin,7021,ED,6,OAK,21,5,5,26,17,0,0,88.3,1.24,4.2,4.2
Jake Ryan,9562,LB,10,GB,20,5,5,17,6,0,0,80.8,0.85,4.0,4.0
DeAngelo Hall,1729,S,3,WAS,8,2,2,40,8,0,0,118.8,5.0,4.0,4.0
Tyrell Adams,10140,LB,2,OAK,4,1,1,10,13,0,0,108.3,2.5,4.0,4.0
Leonard Floyd,10643,ED,6,CHI,12,3,3,60,15,0,0,118.8,5.0,4.0,4.0
James Cowser,11351,ED,4,OAK,4,1,1,4,5,0,0,83.3,1.0,4.0,4.0
Tony McRae,11358,CB,1,CIN,4,1,1,20,0,1,0,158.3,5.0,4.0,4.0
Kyle Wilber,7113,LB,4,DAL,4,1,1,5,4,0,0,87.5,1.25,4.0,4.0
Ramik Wilson,9551,LB,2,KC,4,1,1,16,20,0,0,118.8,4.0,4.0,4.0
Josh Hawkins,11149,CB,5,GB,8,2,2,20,6,1,0,147.9,2.5,4.0,4.0
Jordan Evans,11947,LB,6,CIN,12,4,3,33,14,0,0,99.0,2.75,3.0,4.0
Marquel Lee,11923,LB,4,OAK,4,1,1,5,10,0,0,87.5,1.25,4.0,4.0
Reggie Ragland,10675,LB,4,KC,4,2,1,14,-2,0,0,72.9,3.5,2.0,4.0
