year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2017,Chris Harris Jr.,6457,CB,16,DEN,501,15,3,0,0,2,2,6.7,11,73.3,0,0,1,1,4.5,4,26.7,0,0,1,1,12.5
2017,T.J. Carrie,8853,CB,16,OAK,578,15,2.6,0,1,1,2,6.7,11,73.3,0,1,1,2,9.1,4,26.7,0,0,0,0,0
2017,LaTroy Lewis,12250,ED,2,HST,35,30,85.7,1,0,2,3,6.7,18,60,0,0,2,2,5.6,12,40,1,0,0,1,8.3
2017,Wes Horton,8484,ED,16,CAR,214,203,94.9,6,2,13,21,6.7,87,42.9,4,1,7,12,9.2,116,57.1,2,1,6,9,4.7
2017,Kyle Emanuel,9586,LB,16,LAC,121,38,31.4,2,0,1,3,6.6,13,34.2,1,0,1,2,11.5,25,65.8,1,0,0,1,4
2017,Preston Smith,9471,ED,16,WAS,406,340,83.7,7,13,18,38,6.6,44,12.9,1,0,3,4,5.7,296,87.1,6,13,15,34,6.8
2017,Christian Covington,9649,DI,7,HST,91,91,100,1,2,8,11,6.6,39,55.7,1,1,3,5,7.7,31,44.3,0,1,1,2,3.2
2017,Stephon Tuitt,8681,DI,12,PIT,330,329,99.7,3,11,26,40,6.5,266,81.1,3,10,19,32,6.6,62,18.9,0,1,7,8,6.5
2017,Tarell Basham,11835,ED,15,IND,129,107,82.9,2,3,7,12,6.5,57,53.8,1,2,4,7,7,49,46.2,1,1,3,5,6.1
2017,Olivier Vernon,7074,ED,12,NYG,385,363,94.3,9,5,24,38,6.5,24,6.6,1,1,0,2,6.3,339,93.4,8,4,24,36,6.5
2017,Kyler Fackrell,10722,ED,16,GB,254,230,90.6,3,3,21,27,6.5,98,42.6,1,2,9,12,6.6,132,57.4,2,1,12,15,6.4
2017,Markus Golden,9491,ED,4,ARZ,136,123,90.4,0,3,13,16,6.5,110,89.4,0,2,13,15,6.8,13,10.6,0,1,0,1,3.8
2017,Jordan Phillips,9485,DI,13,MIA,218,214,98.2,3,4,18,25,6.5,30,14.5,0,1,5,6,10,177,85.5,3,3,13,19,6.2
2017,Quinton Jefferson,10781,DI,6,SEA,77,77,100,1,3,5,9,6.5,33,45.2,0,2,1,3,4.5,40,54.8,1,1,4,6,8.8
2017,Garrison Smith,9310,DI,8,SEA,54,54,100,0,3,4,7,6.5,36,69.2,0,1,4,5,6.9,16,30.8,0,1,0,1,3.1
2017,Darius Latham,11356,DI,3,OAK,23,23,100,0,2,1,3,6.5,6,26.1,0,0,1,1,8.3,17,73.9,0,2,0,2,5.9
2017,Bruce Irvin,7021,ED,16,OAK,504,383,76,9,7,24,40,6.4,59,15.4,1,2,5,8,7.6,324,84.6,8,5,19,32,6.2
2017,James Burgess,11202,LB,14,CLV,357,102,28.6,2,3,6,11,6.4,62,63.3,2,3,3,8,8.1,36,36.7,0,0,3,3,4.2
2017,Kevin Dodd,10667,ED,9,TEN,58,47,81,0,1,5,6,6.4,41,87.2,0,1,4,5,6.1,6,12.8,0,0,1,1,8.3
2017,Nick Perry,7033,ED,12,GB,329,320,97.3,6,8,21,35,6.4,64,20.1,0,2,5,7,5.5,254,79.9,6,6,16,28,6.7
2017,Will Parks,10853,S,16,DEN,368,39,10.6,0,2,3,5,6.4,22,56.4,0,1,3,4,9.1,17,43.6,0,1,0,1,2.9
2017,Charles Harris,11777,ED,16,MIA,296,288,97.3,2,9,23,34,6.3,39,13.6,0,1,2,3,3.8,247,86.4,2,8,21,31,6.7
2017,Ejuan Price,11989,ED,1,LA,12,8,66.7,0,0,1,1,6.3,2,25,0,0,1,1,25,6,75,0,0,0,0,0
2017,Willie Young,5736,ED,4,CHI,73,63,86.3,2,2,2,6,6.3,20,31.7,0,1,0,1,2.5,43,68.3,2,1,2,5,8.1
2017,Anthony Zettel,10836,ED,16,DET,417,397,95.2,7,5,31,43,6.3,186,47,3,3,16,22,6.7,210,53,4,2,15,21,6
2017,John Jenkins,7863,DI,8,CHI,40,40,100,0,0,5,5,6.3,18,56.3,0,0,3,3,8.3,14,43.8,0,0,2,2,7.1
2017,Lavonte David,7060,LB,13,TB,449,64,14.3,0,2,6,8,6.3,31,48.4,0,1,3,4,6.5,33,51.6,0,1,3,4,6.1
2017,Roy Robertson-Harris,11341,DI,12,CHI,120,119,99.2,4,2,5,11,6.3,22,19.1,1,0,1,2,6.8,93,80.9,3,2,4,9,6.5
2017,Blake Martinez,10765,LB,16,GB,518,71,13.7,1,1,6,8,6.3,32,51.6,0,0,5,5,7.8,30,48.4,1,0,1,2,5
2017,J.J. Watt,6163,DI,5,HST,119,119,100,0,5,10,15,6.3,92,77.3,0,5,10,15,8.2,27,22.7,0,0,0,0,0
2017,Robert Quinn,6166,ED,15,LA,394,374,94.9,9,6,23,38,6.3,55,14.7,1,2,6,9,9.1,319,85.3,8,4,17,29,5.8
2017,Alex Okafor,7885,ED,10,NO,295,284,96.3,5,4,21,30,6.2,30,10.6,0,0,2,2,3.3,253,89.4,5,4,19,28,6.5
2017,Tim Williams,11833,ED,8,BLT,72,65,90.3,0,2,6,8,6.2,36,55.4,0,1,3,4,5.6,29,44.6,0,1,3,4,6.9
2017,Isaac Rochell,11980,ED,3,LAC,33,33,100,1,0,2,3,6.1,9,29,0,0,1,1,5.6,22,71,1,0,1,2,6.8
2017,Manti Te'o,7819,LB,15,NO,233,33,14.2,0,0,4,4,6.1,16,59.3,0,0,1,1,3.1,11,40.7,0,0,1,1,4.5
