player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Za'Darius Smith,9555,ED,14,BLT,6,1,1,5,4,0,0,87.5,0.83,6.0,6.0
De'Vante Harris,11227,CB,6,NO,114,27,19,320,81,3,0,147.1,2.81,4.2,6.0
Brian Price,11157,DI,8,DAL,6,1,1,11,6,0,0,112.5,1.83,6.0,6.0
David Onyemata,10754,DI,16,NO,6,1,1,6,1,0,0,91.7,1.0,6.0,6.0
Jonathan Freeny,6633,LB,3,NO,18,3,3,21,9,0,0,95.8,1.17,6.0,6.0
Danny Shelton,9445,DI,14,CLV,12,2,2,26,15,0,0,118.8,2.17,6.0,6.0
Tyler Matakevich,10880,LB,7,PIT,30,7,5,44,26,1,0,127.4,1.47,4.3,6.0
Earl Mitchell,5605,DI,16,SF,6,1,1,11,4,0,0,112.5,1.83,6.0,6.0
Dante Fowler Jr.,9436,ED,16,JAX,12,2,2,25,28,0,0,118.8,2.08,6.0,6.0
Brennan Scarlett,11169,ED,10,HST,41,7,7,61,40,0,0,103.0,1.49,5.9,5.9
Hayes Pullard,9652,LB,13,LAC,220,45,37,302,174,3,1,107.6,1.37,4.9,5.9
Curtis Grant,10130,LB,5,NYG,41,9,7,107,88,0,0,116.2,2.61,4.6,5.9
Christian Kirksey,8706,LB,16,CLV,449,97,80,602,364,5,0,109.7,1.34,4.6,5.6
Kevin Dodd,10667,ED,9,TEN,11,2,2,21,15,0,0,110.4,1.91,5.5,5.5
Bene Benwikere,8783,CB,2,DAL,11,3,2,9,0,0,0,70.1,0.82,3.7,5.5
Joe Thomas,9272,LB,6,GB,43,9,8,89,43,0,0,107.9,2.07,4.8,5.4
Tyrell Adams,10140,LB,3,OAK,54,13,10,125,55,0,0,106.3,2.31,4.2,5.4
Jamal Agnew,11920,CB,3,DET,37,7,7,69,66,0,0,107.7,1.86,5.3,5.3
Trey Flowers,9534,ED,14,NE,48,10,9,80,61,0,0,100.0,1.67,4.8,5.3
Jerrell Freeman,4888,LB,1,CHI,31,7,6,57,15,0,0,100.6,1.84,4.4,5.2
Vic Beasley Jr.,9441,ED,14,ATL,31,6,6,44,40,0,0,97.2,1.42,5.2,5.2
Derrick Morgan,5541,ED,14,TEN,51,12,10,163,127,1,0,146.5,3.2,4.3,5.1
Nathan Gerry,11940,LB,1,PHI,5,2,1,6,10,0,0,56.3,1.2,2.5,5.0
Kyle Wilber,7113,LB,5,DAL,10,2,2,29,6,0,0,118.8,2.9,5.0,5.0
Aaron Lynch,8785,ED,7,SF,5,1,1,10,4,0,0,108.3,2.0,5.0,5.0
