player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Justin March-Lillard,10065,LB,10,DAL,25,29,19,15,0,0,54.0,,,,,,0,0,2,0,1
Will Tye,10070,TE,1,NYJ,4,3,6,4,0,0,57.6,,,,,,0,0,0,0,0
Quinton Dunbar,10073,CB,15,WAS,25,52,61,56,28,0,61.7,,,,,,2,1,5,0,2
Adam Humphries,10075,WR,7,TB,0,0,24,0,0,0,60.9,,,,68.8,,0,0,0,0,0
Curtis Riley,10109,S,7,TEN,35,40,25,3,0,0,56.4,,,,,,0,0,0,1,0
Quinton Spain,10110,G,14,TEN,0,0,0,0,0,62,63.2,,,,,,0,0,0,0,0
Mack Brown,10115,HB,4,MIN,18,17,10,10,0,0,61.3,,59.9,,,,0,0,0,0,0
Corey Moore,10117,S,14,HST,63,50,46,74,20,0,66.8,,,,,,1,0,5,0,0
Tyreek Burwell,10124,T,1,IND,0,0,0,0,0,4,60.5,,,,,,0,0,0,0,0
Nick Dzubnar,10127,LB,13,LAC,42,65,58,63,0,0,83.2,,,,,,2,0,14,5,4
Curtis Grant,10130,LB,10,NYG,48,38,37,48,42,0,71.1,,,,,,0,0,5,0,2
Josh Lambo,10133,K,10,JAX,0,58,0,0,0,44,60.8,39.1,,,,78.5,0,0,0,0,1
Tyrell Adams,10140,LB,6,OAK,27,13,19,28,30,0,67.7,,,,,,0,0,3,1,0
Daniel Brown,10144,TE,14,CHI,57,27,32,50,0,12,57.3,,,,,,1,0,1,0,0
Tyrell Williams,10154,WR,5,LAC,7,2,1,1,0,0,49.0,,,,,,0,0,0,0,1
T.Y. McGill,10156,DI,1,CLV,0,0,1,0,0,0,60.0,,,,,,0,0,0,0,0
Kasen Williams,10195,WR,4,CLV,10,3,3,0,0,0,59.7,,,,,,0,0,0,0,0
Jason Myers,10207,K,6,JAX,0,35,0,0,0,34,60.6,59.0,,,,33.7,0,0,0,0,0
Chris Manhertz,10211,TE,16,CAR,66,12,3,0,0,33,62.6,,,,,,0,0,0,0,1
Jordan Berry,10236,P,16,PIT,0,0,0,66,0,78,56.2,,,76.2,,,4,1,0,0,0
Brett Jones,10247,C,7,NYG,0,0,0,0,0,17,61.0,,,,,,0,0,0,0,0
Brian Peters,10248,LB,16,HST,97,76,80,93,8,0,56.7,,,,,,3,0,6,2,6
Roosevelt Nix,10269,FB,16,PIT,70,89,79,66,0,0,84.3,,,,,,1,0,5,3,2
Bronson Hill,10292,HB,2,ARZ,4,3,7,0,0,0,68.3,,,,,,0,0,1,0,0
Ross Travis,10320,TE,9,IND,39,15,0,1,0,0,70.8,,,,,,1,0,0,0,0
Freddie Bishop,10338,ED,2,NYJ,3,5,8,0,0,0,65.6,,,,,,0,0,0,0,0
Dexter McCoil,10341,S,10,SF,44,52,37,38,10,0,55.8,,,,,,1,0,3,0,0
Erik Harris,10346,S,15,OAK,81,61,62,65,14,0,71.5,,,,,,0,0,3,3,2
Derrick Mathews,10348,LB,1,NYG,2,0,9,0,0,0,60.8,,,,,,0,0,0,0,0
Joey Bosa,10637,ED,1,LAC,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0
Ezekiel Elliott,10638,HB,2,DAL,2,0,0,0,0,0,59.0,,,,,,0,0,0,0,0
Jalen Ramsey,10639,CB,14,JAX,1,0,1,0,48,0,60.6,,,,,,0,0,0,0,0
Ronnie Stanley,10640,T,11,BLT,0,0,0,0,0,37,62.5,,,,,,0,0,0,0,0
DeForest Buckner,10641,DI,16,SF,0,0,12,0,71,5,59.5,,,,,,0,0,0,0,0
Jack Conklin,10642,T,16,TEN,0,0,0,0,0,75,63.7,,,,,,0,0,0,0,0
Leonard Floyd,10643,ED,1,CHI,0,0,1,0,0,0,59.9,,,,,,0,0,0,0,0
Eli Apple,10644,CB,10,NYG,0,5,30,3,37,0,39.2,,,,,,3,0,0,0,0
Vernon Hargreaves III,10645,CB,9,TB,0,6,13,3,25,0,64.1,,,,,,0,0,0,0,0
Sheldon Rankins,10646,DI,8,NO,0,0,8,0,6,0,60.6,,,,,,0,0,0,0,0
Laremy Tunsil,10647,T,14,MIA,0,0,0,0,0,47,61.8,,,,,,0,0,0,0,0
Karl Joseph,10648,S,15,OAK,0,59,0,0,0,0,58.6,,,,,,0,0,1,0,1
Taylor Decker,10650,T,5,DET,0,0,0,0,0,20,62.2,,,,,,0,0,0,0,0
Keanu Neal,10651,S,14,ATL,0,29,9,0,26,0,59.5,,,,,,0,0,2,0,1
Shaq Lawson,10653,ED,8,BUF,0,0,3,0,36,0,59.5,,,,,,0,0,0,0,0
Darron Lee,10654,LB,15,NYJ,1,0,12,69,2,0,53.5,,,,,,0,0,0,0,1
Will Fuller V,10655,WR,6,HST,0,0,25,0,0,0,60.9,,,,69.9,,0,0,0,0,0
Laquon Treadwell,10657,WR,8,MIN,14,0,32,0,0,0,63.5,,,,,,0,0,0,0,0
William Jackson III,10658,CB,12,CIN,0,28,53,14,1,0,53.3,,,,58.4,,2,1,1,0,1
Artie Burns,10659,CB,16,PIT,0,0,76,0,55,0,48.5,,,,,,3,1,0,0,0
Kenny Clark,10661,DI,15,GB,0,0,1,0,67,1,76.7,,,,,,0,0,0,0,0
Robert Nkemdiche,10663,DI,3,ARZ,0,0,0,0,8,0,34.3,,,,,,1,0,0,0,0
Vernon Butler,10664,DI,13,CAR,0,0,0,0,61,0,58.8,,,,,,0,0,0,0,0
Germain Ifedi,10665,T,16,SEA,0,0,0,0,0,69,64.6,,,,,,0,0,0,0,0
Emmanuel Ogbah,10666,ED,10,CLV,0,0,2,0,44,29,82.9,,,,,,0,0,0,0,0
Kevin Dodd,10667,ED,3,TEN,0,0,0,0,6,0,59.7,,,,,,0,0,0,0,0
Jaylon Smith,10668,LB,1,DAL,0,0,0,0,9,0,60.3,,,,,,0,0,0,0,0
Hunter Henry,10669,TE,7,LAC,3,0,0,0,0,20,61.1,,61.2,,,,0,0,0,0,0
Myles Jack,10670,LB,16,JAX,2,0,30,0,52,0,61.4,,,,,,0,0,0,0,0
Chris Jones,10671,DI,8,KC,0,0,0,0,21,0,43.2,,,,,,1,1,0,0,0
Xavien Howard,10672,CB,11,MIA,0,0,11,0,16,0,60.4,,,,,,0,0,0,0,0
