player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
George Fant,11282,T,8,SEA,1,1,0,1,0.0
Tom Brady,698,QB,2,NE,1,1,0,1,0.0
Tommylee Lewis,11231,WR,6,NO,3,3,0,3,0.0
Michael Burton,9601,FB,3,CHI,1,1,0,1,0.0
Cameron Artis-Payne,9607,HB,2,CAR,4,3,0,3,0.0
Nick O'Leary,9627,TE,12,MIA,10,8,0,8,0.0
A.J. Derby,9635,TE,4,MIA,5,3,0,3,0.0
Darren Waller,9637,TE,4,OAK,6,6,0,6,0.0
Neal Sterling,9653,TE,5,NYJ,7,6,0,6,0.0
Byron Marshall,11076,HB,6,WAS,6,4,0,4,0.0
Geoff Swaim,9679,TE,9,DAL,30,26,0,26,0.0
Raheem Mostert,9783,HB,8,SF,7,6,0,6,0.0
Hakeem Valles,10960,TE,3,DET,3,2,0,2,0.0
Corey Grant,9827,HB,5,JAX,10,9,0,9,0.0
DeAndre Carter,9859,WR,11,HST,24,22,0,22,0.0
Eli Rogers,9878,WR,3,PIT,13,12,0,12,0.0
Jake Kumerow,9883,WR,5,GB,10,8,0,8,0.0
Matt Lengel,9884,TE,9,CIN,7,3,0,3,0.0
Malcolm Brown,9902,HB,10,LA,6,5,0,5,0.0
Damiere Byrd,9964,WR,6,CAR,2,1,0,1,0.0
Rod Smith,9996,HB,15,DAL,11,9,0,9,0.0
Cameron Meredith,10008,WR,6,NO,10,9,0,9,0.0
Khari Lee,10018,TE,2,BUF,1,1,0,1,0.0
Rico Gathers,10851,TE,14,DAL,7,3,0,3,0.0
Brian Parker,10135,TE,9,DEN,8,5,0,5,0.0
Derek Watt,10832,FB,9,LAC,1,1,0,1,0.0
Chris Manhertz,10211,TE,15,CAR,5,2,0,2,0.0
Roosevelt Nix,10269,FB,13,PIT,5,4,0,4,0.0
Danny Vitale,10831,FB,2,GB,2,1,0,1,0.0
Taylor Decker,10650,T,1,DET,1,1,0,1,0.0
Will Fuller V,10655,WR,7,HST,42,32,0,32,0.0
David Morgan,10822,TE,11,MIN,6,5,0,5,0.0
Andy Janovich,10810,FB,16,DEN,8,7,0,7,0.0
Derrick Henry,10679,HB,16,TEN,18,15,0,15,0.0
Leonte Carroo,10720,WR,3,MIA,4,2,0,2,0.0
C.J. Prosise,10724,HB,3,SEA,3,3,0,3,0.0
Chris Moore,10741,WR,16,BLT,25,19,0,19,0.0
Jonathan Williams,10790,HB,3,IND,1,1,0,1,0.0
Tyler Ervin,10753,HB,5,HST,3,3,0,3,0.0
Jordan Howard,10784,HB,16,CHI,26,20,0,20,0.0
Kenneth Dixon,10768,HB,6,BLT,7,6,0,6,0.0
DeAndre Washington,10777,HB,8,OAK,1,1,0,1,0.0
Frank Gore,2282,HB,14,MIA,16,12,0,12,0.0
Jalen Tolliver,66933,WR,3,ARZ,6,3,0,3,0.0
J.J. Jones,66921,WR,2,NYJ,1,1,0,1,0.0
Marcedes Lewis,2973,TE,14,GB,3,3,0,3,0.0
Justin Watson,66915,WR,10,TB,2,1,0,1,0.0
Kyle Williams,3079,DI,1,BUF,1,1,0,1,0.0
Delanie Walker,3120,TE,1,TEN,7,4,0,4,0.0
Brandon Zylstra,66438,WR,7,MIN,2,1,0,1,0.0
Anthony Firkser,51837,TE,12,TEN,20,19,0,19,0.0
Joe Staley,3644,T,1,SF,1,1,0,1,0.0
Matt Ryan,4317,QB,2,ATL,1,1,0,1,0.0
Derrick Willies,48345,WR,3,CLV,5,3,0,3,0.0
J'Mon Moore,48316,WR,6,GB,3,2,0,2,0.0
Darrius Heyward-Bey,4930,WR,9,PIT,2,1,0,1,0.0
Allen Lazard,48135,WR,1,GB,1,1,0,1,0.0
Malik Turner,48078,WR,3,SEA,2,2,0,2,0.0
John Phillips,5132,TE,8,ARZ,3,3,0,3,0.0
Brandon Powell,48036,WR,5,DET,17,11,0,11,0.0
Chase Daniel,5214,QB,3,CHI,1,1,0,1,0.0
Equanimeous St. Brown,47967,WR,11,GB,34,21,0,21,0.0
Cameron Batson,47669,WR,10,TEN,11,8,0,8,0.0
Ed Dickson,5595,TE,10,SEA,12,11,0,11,0.0
Brandon LaFell,5602,WR,6,OAK,16,12,0,12,0.0
Cam Phillips,47593,WR,2,BUF,1,1,0,1,0.0
Joe Webb III,5722,WR,2,HST,3,2,0,2,0.0
Logan Paulsen,5795,TE,15,ATL,9,9,0,9,0.0
River Cracraft,47417,WR,6,DEN,2,1,0,1,0.0
Sam Shields,5943,CB,3,LA,1,1,0,1,0.0
Dalton Schultz,47304,TE,11,DAL,16,12,0,12,0.0
James Develin,6142,FB,16,NE,17,12,0,12,0.0
Matt Flanagan,47298,TE,3,WAS,1,1,0,1,0.0
Jaylen Samuels,47297,HB,11,PIT,29,26,0,26,0.0
Hayden Hurst,47294,TE,12,BLT,21,13,0,13,0.0
Durham Smythe,47257,TE,13,MIA,8,6,0,6,0.0
Jordan Franks,47206,TE,5,CIN,3,2,0,2,0.0
Stevan Ridley,6225,HB,8,PIT,4,3,0,3,0.0
Luke Stocker,6256,TE,16,TEN,21,15,0,15,0.0
Bilal Powell,6278,HB,7,NYJ,17,11,0,11,0.0
Mike Gesicki,47153,TE,16,MIA,31,22,0,22,0.0
Jacquizz Rodgers,6297,HB,16,TB,43,38,0,38,0.0
Jeremy Kerley,6305,WR,1,BUF,4,2,0,2,0.0
Ricky Ortiz,47053,FB,12,ATL,3,3,0,3,0.0
Lee Smith,6311,TE,15,OAK,11,10,0,10,0.0
Jordan Akins,47050,TE,16,HST,24,17,0,17,0.0
Dwayne Harris,6328,WR,10,OAK,6,6,0,6,0.0
Gus Edwards,46027,HB,9,BLT,2,2,0,2,0.0
Shaun Wilson,45993,HB,5,TB,5,3,0,3,0.0
Ito Smith,45932,HB,13,ATL,30,27,0,27,0.0
Nick Bellore,6515,FB,13,DET,4,4,0,4,0.0
Kamar Aiken,6671,WR,5,PHI,7,6,0,6,0.0
Patrick DiMarco,6997,FB,12,BUF,4,3,0,3,0.0
Andrew Luck,7007,QB,2,IND,2,1,0,1,0.0
Ryan Tannehill,7014,QB,2,MIA,1,1,0,1,0.0
Detrez Newsome,45695,HB,3,LAC,2,2,0,2,0.0
Brian Quick,7037,WR,5,WAS,3,3,0,3,0.0
Dontrell Hilliard,45691,HB,8,CLV,10,9,0,9,0.0
Dwayne Allen,7066,TE,12,NE,4,3,0,3,0.0
Nick Foles,7089,QB,1,PHI,1,1,0,1,0.0
Taquan Mizzell Sr.,45675,HB,8,CHI,10,8,0,8,0.0
Robert Turbin,7106,HB,2,IND,1,1,0,1,0.0
Javon Wims,41406,WR,3,CHI,5,4,0,4,0.0
Trey Quinn,38276,WR,3,WAS,10,9,0,9,0.0
Alfred Morris,7165,HB,10,SF,10,8,0,8,0.0
Rishard Matthews,7211,WR,7,NYJ,9,5,0,5,0.0
Kerryon Johnson,34455,HB,10,DET,37,32,0,32,0.0
Derrick Coleman,7377,FB,7,ARZ,3,2,0,2,0.0
Derek Carrier,7406,TE,16,OAK,11,7,0,7,0.0
Travaris Cadet,7457,HB,1,CAR,1,1,0,1,0.0
Brandon Bolden,7469,HB,3,MIA,3,3,0,3,0.0
Will Dissly,30762,TE,4,SEA,12,8,0,8,0.0
Justin Jackson,29539,HB,8,LAC,17,15,0,15,0.0
Roc Thomas,27875,HB,5,MIN,3,2,0,2,0.0
Jordan Wilkins,26618,HB,13,IND,16,16,0,16,0.0
Bradley Sowell,7693,T,4,CHI,2,1,0,1,0.0
Tavon Austin,7789,WR,7,DAL,12,8,0,8,0.0
KhaDarel Hodge,26104,WR,9,LA,3,2,0,2,0.0
DeAndre Hopkins,7808,WR,16,HST,159,115,0,115,0.0
De'Lance Turner,25681,HB,2,BLT,2,2,0,2,0.0
Dane Cruikshank,25546,S,1,TEN,1,1,0,1,0.0
Antony Auclair,24606,TE,15,TB,8,7,0,7,0.0
Terrance Williams,7855,WR,3,DAL,2,2,0,2,0.0
Darvin Kidsy,23254,WR,1,WAS,2,1,0,1,0.0
Levine Toilolo,7915,TE,16,DET,24,21,0,21,0.0
Jawill Davis,22489,WR,5,NYG,8,4,0,4,0.0
Chad Beebe,21528,WR,3,MIN,4,4,0,4,0.0
Ross Dwelley,20994,TE,4,SF,2,2,0,2,0.0
Mike Gillislee,7946,HB,4,NO,1,1,0,1,0.0
Latavius Murray,7962,HB,16,MIN,25,22,0,22,0.0
Kenjon Barner,7963,HB,5,CAR,1,1,0,1,0.0
Rex Burkhead,7971,HB,8,NE,19,14,0,14,0.0
Justin Hardee,18348,CB,1,NO,1,1,0,1,0.0
Darrel Williams,13014,HB,4,KC,3,3,0,3,0.0
Brice Butler,7991,WR,8,MIA,10,6,0,6,0.0
Tommy Bohanon,7997,FB,12,JAX,8,6,0,6,0.0
Matt Breida,12271,HB,13,SF,31,27,0,27,0.0
Victor Bolden Jr.,12269,WR,4,BUF,4,1,0,1,0.0
Jaron Brown,8128,WR,16,SEA,18,14,0,14,0.0
Tyrone Swoopes,12267,TE,1,SEA,1,1,0,1,0.0
Corey Clement,12253,HB,11,PHI,25,22,0,22,0.0
Benny Cunningham,8283,HB,4,CHI,2,1,0,1,0.0
Keon Hatcher,12249,WR,2,OAK,2,1,0,1,0.0
Jack Doyle,8520,TE,6,IND,32,26,0,26,0.0
Austin Carr,12215,WR,14,NO,13,9,0,9,0.0
Darren Fells,8549,TE,16,CLV,12,11,0,11,0.0
Johnny Mundt,12206,TE,2,LA,1,1,0,1,0.0
Antonio Brown,5718,WR,15,PIT,164,104,1,105,1.0
Stefon Diggs,9579,WR,15,MIN,141,102,1,103,1.0
Brandin Cooks,8655,WR,16,LA,110,80,1,81,1.2
Jalen Richard,11395,HB,16,OAK,77,68,1,69,1.4
Tarik Cohen,11874,HB,16,CHI,87,71,1,72,1.4
Kyle Rudolph,6195,TE,16,MIN,76,64,1,65,1.5
Mohamed Sanu,7084,WR,16,ATL,91,66,1,67,1.5
Jordy Nelson,4350,WR,15,OAK,86,63,1,64,1.6
Chris Godwin,11839,WR,16,TB,90,59,1,60,1.7
Doug Baldwin,6615,WR,13,SEA,73,50,1,51,2.0
Michael Thomas,10681,WR,16,NO,146,125,3,128,2.3
Robert Woods,7822,WR,16,LA,127,86,2,88,2.3
Devontae Booker,10770,HB,16,DEN,47,37,1,38,2.6
Austin Hooper,10715,TE,16,ATL,85,71,2,73,2.7
Javorius Allen,9558,HB,11,BLT,39,34,1,35,2.9
Taylor Gabriel,9002,WR,16,CHI,91,67,2,69,2.9
Gerald Everett,11799,TE,16,LA,48,33,1,34,2.9
Cole Beasley,7330,WR,16,DAL,85,65,2,67,3.0
Keenan Allen,7857,WR,16,LAC,125,97,3,100,3.0
Kyle Juszczyk,7912,FB,16,SF,37,30,1,31,3.2
Nick Vannett,10728,TE,15,SEA,40,29,1,30,3.3
Danny Amendola,4717,WR,15,MIA,75,59,2,61,3.3
Maurice Harris,11035,WR,11,WAS,44,28,1,29,3.4
Allen Robinson II,8696,WR,13,CHI,94,55,2,57,3.5
Jimmy Graham,5619,TE,16,GB,83,55,2,57,3.5
Zach Pascal,12303,WR,16,IND,44,27,1,28,3.6
Greg Olsen,3647,TE,9,CAR,39,27,1,28,3.6
Dante Pettis,48113,WR,11,SF,40,27,1,28,3.6
Alvin Kamara,11822,HB,15,NO,98,81,3,84,3.6
Jordan Reed,7866,TE,13,WAS,77,53,2,55,3.6
Robert Foster,48230,WR,13,BUF,44,27,1,28,3.6
Albert Wilson,8943,WR,7,MIA,36,26,1,27,3.7
Lamar Miller,7097,HB,14,HST,34,25,1,26,3.8
Odell Beckham Jr.,8647,WR,12,NYG,119,77,3,80,3.8
Tyler Boyd,10689,WR,14,CIN,103,76,3,79,3.8
Ty Montgomery,9527,HB,13,BLT,36,25,1,26,3.8
Adam Humphries,10075,WR,16,TB,103,76,3,79,3.8
Tyler Higbee,10744,TE,16,LA,29,24,1,25,4.0
James O'Shaughnessy,9606,TE,14,JAX,35,24,1,25,4.0
Matt LaCosse,9840,TE,13,DEN,34,24,1,25,4.0
DeVante Parker,9447,WR,11,MIA,43,24,1,25,4.0
Rob Gronkowski,5567,TE,13,NE,71,47,2,49,4.1
Kenny Golladay,11851,WR,15,DET,115,70,3,73,4.1
Marquise Goodwin,7859,WR,11,SF,41,23,1,24,4.2
Larry Fitzgerald,1724,WR,16,ARZ,107,69,3,72,4.2
Adam Thielen,8288,WR,16,MIN,149,113,5,118,4.2
Davante Adams,8688,WR,15,GB,162,111,5,116,4.3
Leonard Fournette,11759,HB,8,JAX,25,22,1,23,4.3
Mike Williams,11762,WR,16,LAC,64,43,2,45,4.4
Mark Ingram II,6180,HB,12,NO,25,21,1,22,4.5
Jakeem Grant,10820,WR,10,MIA,31,21,1,22,4.5
Cordarrelle Patterson,7810,WR,15,NE,27,21,1,22,4.5
DeSean Jackson,4363,WR,12,TB,72,41,2,43,4.7
Jordan Thomas,42062,TE,16,HST,23,20,1,21,4.8
Jordan Matthews,8677,WR,14,PHI,26,20,1,21,4.8
Adrian Peterson,3623,HB,16,WAS,25,20,1,21,4.8
Cooper Kupp,11824,WR,8,LA,49,40,2,42,4.8
Chris Carson,12004,HB,14,SEA,22,20,1,21,4.8
Alex Erickson,11107,WR,15,CIN,28,20,1,21,4.8
Alfred Blue,8816,HB,16,HST,24,20,1,21,4.8
Allen Hurns,8931,WR,16,DAL,33,20,1,21,4.8
Dion Lewis,6301,HB,16,TEN,67,59,3,62,4.8
Chase Edmonds,45851,HB,16,ARZ,23,20,1,21,4.8
Sammy Watkins,8639,WR,10,KC,53,40,2,42,4.8
Zach Ertz,7816,TE,16,PHI,154,116,6,122,4.9
Chris Herndon,47164,TE,16,NYJ,54,39,2,41,4.9
Austin Ekeler,12164,HB,14,LAC,47,39,2,41,4.9
Ezekiel Elliott,10638,HB,15,DAL,91,77,4,81,4.9
T.Y. Hilton,7092,WR,14,IND,116,76,4,80,5.0
Trent Sherfield,48021,WR,8,ARZ,27,19,1,20,5.0
Jermaine Kearse,7428,WR,14,NYJ,72,37,2,39,5.1
Zay Jones,11792,WR,16,BUF,99,56,3,59,5.1
JuJu Smith-Schuster,11817,WR,16,PIT,161,111,6,117,5.1
Saquon Barkley,45791,HB,16,NYG,114,91,5,96,5.2
Ryan Switzer,11888,WR,16,PIT,44,36,2,38,5.3
Trey Burton,9185,TE,16,CHI,73,54,3,57,5.3
Emmanuel Sanders,5606,WR,12,DEN,97,71,4,75,5.3
Isaiah McKenzie,11927,WR,8,BUF,29,18,1,19,5.3
Doug Martin,7035,HB,16,OAK,23,18,1,19,5.3
Marvin Jones Jr.,7158,WR,9,DET,59,35,2,37,5.4
Chris Hogan,6468,WR,16,NE,51,35,2,37,5.4
Tyreek Hill,10799,WR,16,KC,129,87,5,92,5.4
Giovani Bernard,7818,HB,12,CIN,41,35,2,37,5.4
James White,8765,HB,16,NE,116,87,5,92,5.4
O.J. Howard,11774,TE,10,TB,47,34,2,36,5.6
Benjamin Watson,1753,TE,16,NO,43,34,2,36,5.6
Mike Davis,9559,HB,15,SEA,41,34,2,36,5.6
Robby Anderson,11254,WR,14,NYJ,87,50,3,53,5.7
Dallas Goedert,47272,TE,16,PHI,43,33,2,35,5.7
Corey Davis,11760,WR,16,TEN,108,65,4,69,5.8
Nelson Agholor,9453,WR,16,PHI,90,64,4,68,5.9
James Washington,47792,WR,14,PIT,36,16,1,17,5.9
Kapri Bibbs,8906,HB,9,GB,21,16,1,17,5.9
Tevin Coleman,9506,HB,16,ATL,40,32,2,34,5.9
Bennie Fowler,8914,WR,10,NYG,25,16,1,17,5.9
Phillip Dorsett,9462,WR,16,NE,43,32,2,34,5.9
Duke Johnson Jr.,9510,HB,16,CLV,61,47,3,50,6.0
Nyheim Hines,48103,HB,16,IND,78,63,4,67,6.0
Jesse James,9593,TE,16,PIT,39,30,2,32,6.3
Evan Engram,11778,TE,11,NYG,63,45,3,48,6.3
Tyler Eifert,7802,TE,4,CIN,18,15,1,16,6.3
Seth Roberts,9079,WR,15,OAK,60,45,3,48,6.3
DaeSean Hamilton,45416,WR,14,DEN,45,30,2,32,6.3
Amari Cooper,9437,WR,15,DAL,102,75,5,80,6.3
Alex Collins,10805,HB,10,BLT,17,15,1,16,6.3
George Kittle,11901,TE,16,SF,128,88,6,94,6.4
Josh Doctson,10656,WR,15,WAS,75,44,3,47,6.4
Jarius Wright,7118,WR,16,CAR,57,43,3,46,6.5
Christian Kirk,47546,WR,12,ARZ,65,43,3,46,6.5
Julio Jones,6158,WR,16,ATL,166,113,8,121,6.6
Justin Hardy,9540,WR,16,ATL,20,14,1,15,6.7
Tre'Quan Smith,48228,WR,15,NO,43,28,2,30,6.7
Jordan Leggett,11905,TE,15,NYJ,22,14,1,15,6.7
Josh Bellamy,7472,WR,15,CHI,25,14,1,15,6.7
Chris Thompson,7936,HB,10,WAS,52,41,3,44,6.8
Jared Cook,5012,TE,16,OAK,99,68,5,73,6.8
Tyrell Williams,10154,WR,16,LAC,63,41,3,44,6.8
James Conner,11860,HB,13,PIT,67,55,4,59,6.8
Jarvis Landry,8698,WR,16,CLV,137,81,6,87,6.9
D.J. Moore,48267,WR,16,CAR,76,54,4,58,6.9
Dalvin Cook,11796,HB,11,MIN,48,40,3,43,7.0
Eric Ebron,8645,TE,16,IND,108,66,5,71,7.0
Aaron Jones,11937,HB,12,GB,32,26,2,28,7.1
David Moore,11981,WR,16,SEA,50,26,2,28,7.1
Tajae Sharpe,10774,WR,16,TEN,46,26,2,28,7.1
Rashard Higgins,10806,WR,13,CLV,51,39,3,42,7.1
Keith Kirkwood,48017,WR,8,NO,21,13,1,14,7.1
Alshon Jeffery,7048,WR,13,PHI,90,65,5,70,7.1
Curtis Samuel,11795,WR,13,CAR,62,39,3,42,7.1
Trent Taylor,11932,WR,14,SF,38,26,2,28,7.1
Travis Kelce,7844,TE,16,KC,139,103,8,111,7.2
Rhett Ellison,7128,TE,14,NYG,32,25,2,27,7.4
Vernon Davis,2951,TE,14,WAS,35,25,2,27,7.4
Kenny Stills,7926,WR,15,MIA,60,37,3,40,7.5
Vance McDonald,7836,TE,15,PIT,66,49,4,53,7.5
Mike Evans,8642,WR,16,TB,135,86,7,93,7.5
Willie Snead IV,8999,WR,16,BLT,91,62,5,67,7.5
Theo Riddick,7980,HB,14,DET,74,61,5,66,7.6
Ryan Griffin,7982,TE,14,HST,42,24,2,26,7.7
Donte Moncrief,8725,WR,16,JAX,85,48,4,52,7.7
Logan Thomas,8755,TE,12,BUF,16,12,1,13,7.7
Dan Arnold,51842,TE,10,NO,19,12,1,13,7.7
Jeff Wilson Jr.,29413,HB,6,SF,15,12,1,13,7.7
Ryan Grant,8777,WR,14,IND,52,35,3,38,7.9
Mark Andrews,47436,TE,16,BLT,48,34,3,37,8.1
LeSean McCoy,4976,HB,13,BUF,41,34,3,37,8.1
C.J. Ham,11347,FB,13,MIN,14,11,1,12,8.3
Austin Seferian-Jenkins,8673,TE,5,JAX,17,11,1,12,8.3
Demarcus Robinson,10760,WR,16,KC,30,22,2,24,8.3
Darius Jennings,10038,WR,16,TEN,15,11,1,12,8.3
Dede Westbrook,11865,WR,16,JAX,96,66,6,72,8.3
Michael Gallup,26075,WR,16,DAL,66,33,3,36,8.3
Jason Croom,12145,TE,15,BUF,33,22,2,24,8.3
C.J. Uzomah,9590,TE,16,CIN,63,43,4,47,8.5
Joe Mixon,11803,HB,14,CIN,54,43,4,47,8.5
Kenyan Drake,10707,HB,16,MIA,66,53,5,58,8.6
Golden Tate,5585,WR,15,PHI,105,74,7,81,8.6
Charles Clay,6326,TE,13,BUF,32,21,2,23,8.7
Isaiah Crowell,9295,HB,13,NYJ,26,21,2,23,8.7
Bruce Ellington,8741,WR,7,DET,42,31,3,34,8.8
Peyton Barber,10927,HB,16,TB,27,20,2,22,9.1
Deontay Burnett,47477,WR,5,NYJ,15,10,1,11,9.1
Marvin Hall,11440,WR,16,ATL,19,10,1,11,9.1
Jeff Heuerman,9525,TE,11,DEN,43,30,3,33,9.1
Russell Shepard,8254,WR,10,NYG,18,10,1,11,9.1
Cameron Brate,9207,TE,16,TB,48,30,3,33,9.1
Spencer Ware,7975,HB,13,KC,22,20,2,22,9.1
Jamison Crowder,9538,WR,9,WAS,44,29,3,32,9.4
Marquez Valdes-Scantling,47809,WR,16,GB,67,38,4,42,9.5
Martavis Bryant,8753,WR,8,OAK,26,19,2,21,9.5
Randall Cobb,6216,WR,9,GB,57,38,4,42,9.5
Dontrelle Inman,6597,WR,9,IND,38,28,3,31,9.7
Keke Coutee,47698,WR,6,HST,38,28,3,31,9.7
Wendell Smallwood,10787,HB,14,PHI,32,28,3,31,9.7
A.J. Green,6156,WR,9,CIN,77,46,5,51,9.8
Julian Edelman,5156,WR,12,NE,105,74,8,82,9.8
Richie James Jr.,28991,WR,10,SF,13,9,1,10,10.0
Michael Roberts,11882,TE,8,DET,18,9,1,10,10.0
Blake Jarwin,12320,TE,16,DAL,35,27,3,30,10.0
Ian Thomas,42130,TE,12,CAR,47,36,4,40,10.0
Kalen Ballage,45741,HB,8,MIA,11,9,1,10,10.0
Jermaine Gresham,5546,TE,13,ARZ,12,9,1,10,10.0
Phillip Lindsay,12660,HB,15,DEN,44,35,4,39,10.3
Kareem Hunt,11841,HB,11,KC,33,26,3,29,10.3
Ted Ginn Jr.,3625,WR,5,NO,29,17,2,19,10.5
Deonte Thompson,7513,WR,13,BUF,30,17,2,19,10.5
Torrey Smith,6210,WR,11,CAR,28,17,2,19,10.5
Aldrick Robinson,6330,WR,14,MIN,32,17,2,19,10.5
Ricky Seals-Jones,12020,TE,15,ARZ,66,34,4,38,10.5
Todd Gurley II,9443,HB,14,LA,76,59,7,66,10.6
Kendrick Bourne,12270,WR,16,SF,60,42,5,47,10.6
Demaryius Thomas,5547,WR,15,HST,87,59,7,66,10.6
David Johnson,9519,HB,16,ARZ,69,50,6,56,10.7
Anthony Miller,48160,WR,14,CHI,54,33,4,37,10.8
Sterling Shepard,10674,WR,16,NYG,102,66,8,74,10.8
Josh Gordon,7618,WR,12,NE,67,41,5,46,10.9
Josh Hill,8200,TE,16,NO,23,16,2,18,11.1
Calvin Ridley,48262,WR,16,ATL,91,64,8,72,11.1
Anthony Sherman,6288,FB,15,KC,9,8,1,9,11.1
Terrelle Pryor Sr.,6944,WR,8,BUF,27,16,2,18,11.1
Nick Boyle,9604,TE,16,BLT,31,23,3,26,11.5
Chester Rogers,10918,WR,15,IND,71,53,7,60,11.7
Marcell Ateman,23670,WR,7,OAK,30,15,2,17,11.8
Darren Sproles,2347,HB,6,PHI,22,15,2,17,11.8
Taywan Taylor,11827,WR,13,TEN,55,37,5,42,11.9
Devin Funchess,9474,WR,14,CAR,77,44,6,50,12.0
Antonio Callaway,48101,WR,16,CLV,78,43,6,49,12.2
Melvin Gordon III,9448,HB,12,LAC,61,50,7,57,12.3
J.J. Nelson,9592,WR,12,ARZ,19,7,1,8,12.5
Laquon Treadwell,10657,WR,15,MIN,47,35,5,40,12.5
Wayne Gallman,11895,HB,15,NYG,21,14,2,16,12.5
Sony Michel,27589,HB,13,NE,11,7,1,8,12.5
David Njoku,11784,TE,16,CLV,83,56,8,64,12.5
T.J. Yeldon,9469,HB,14,JAX,70,55,8,63,12.7
Geronimo Allison,11141,WR,5,GB,28,20,3,23,13.0
Jonnu Smith,11855,TE,13,TEN,29,20,3,23,13.0
Nick Chubb,45783,HB,14,CLV,28,20,3,23,13.0
Damion Ratley,48182,WR,5,CLV,20,13,2,15,13.3
Luke Willson,7940,TE,14,DET,19,13,2,15,13.3
Chris Conley,9509,WR,16,KC,47,32,5,37,13.5
Lance Kendricks,6199,TE,16,GB,24,19,3,22,13.6
Quincy Enunwa,8843,WR,11,NYJ,62,38,6,44,13.6
Keelan Cole,51593,WR,16,JAX,64,38,6,44,13.6
John Brown,8726,WR,16,BLT,91,42,7,49,14.3
Marcus Johnson,11074,WR,5,IND,8,6,1,7,14.3
David Grinnage,11148,TE,3,JAX,8,6,1,7,14.3
Travis Benjamin,7100,WR,12,LAC,23,12,2,14,14.3
Pierre Garcon,4519,WR,8,SF,41,24,4,28,14.3
Rashad Greene Sr.,9572,WR,8,JAX,9,6,1,7,14.3
Tim Patrick,12087,WR,16,DEN,40,23,4,27,14.8
Chad Williams,11853,WR,10,ARZ,42,17,3,20,15.0
Marlon Mack,11898,HB,12,IND,24,17,3,20,15.0
Marcus Murphy,9663,HB,9,BUF,17,11,2,13,15.4
Andy Jones,11123,WR,8,DET,22,11,2,13,15.4
Keith Smith,9302,FB,15,OAK,7,5,1,6,16.7
Corey Coleman,10649,WR,8,NYG,8,5,1,6,16.7
