player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
A.J. Derby,9635,TE,4,MIA,5,1,1,0,19,1,1,20.0,0.0,100.0
Zach Ertz,7816,TE,16,PHI,154,6,5,0,134,5,0,3.9,0.0,83.3
Michael Thomas,10681,WR,16,NO,146,9,7,0,246,7,2,6.2,0.0,77.8
Tyler Lockett,9502,WR,16,SEA,65,18,14,0,520,14,7,27.7,0.0,77.8
Deontay Burnett,47477,WR,5,NYJ,15,4,3,0,76,3,0,26.7,0.0,75.0
Vance McDonald,7836,TE,15,PIT,66,4,3,0,72,3,2,6.1,0.0,75.0
Mo Alie-Cox,12078,TE,9,IND,13,4,3,0,87,3,1,30.8,0.0,75.0
Cooper Kupp,11824,WR,8,LA,49,7,5,1,193,6,3,14.3,16.7,71.4
Rashard Higgins,10806,WR,13,CLV,51,13,9,1,231,10,3,25.5,10.0,69.2
Jordan Matthews,8677,WR,14,PHI,26,3,2,0,92,2,1,11.5,0.0,66.7
O.J. Howard,11774,TE,10,TB,47,3,2,0,55,2,0,6.4,0.0,66.7
Austin Ekeler,12164,HB,14,LAC,47,3,2,0,52,2,1,6.4,0.0,66.7
Dan Arnold,51842,TE,10,NO,19,6,4,0,96,4,1,31.6,0.0,66.7
Kyle Rudolph,6195,TE,16,MIN,76,6,4,0,104,4,2,7.9,0.0,66.7
Jordan Akins,47050,TE,16,HST,24,3,2,0,49,2,0,12.5,0.0,66.7
Jared Cook,5012,TE,16,OAK,99,11,7,0,190,7,2,11.1,0.0,63.6
Tyler Boyd,10689,WR,14,CIN,103,11,7,0,208,7,1,10.7,0.0,63.6
Corey Davis,11760,WR,16,TEN,108,13,8,0,238,8,2,12.0,0.0,61.5
Terrelle Pryor Sr.,6944,WR,8,BUF,27,5,3,1,67,4,0,18.5,25.0,60.0
Cordarrelle Patterson,7810,WR,15,NE,27,5,3,0,121,3,2,18.5,0.0,60.0
Christian Kirk,47546,WR,12,ARZ,65,10,6,1,227,7,1,15.4,14.3,60.0
Danny Amendola,4717,WR,15,MIA,75,5,3,0,70,3,1,6.7,0.0,60.0
Evan Engram,11778,TE,11,NYG,63,5,3,0,81,3,1,7.9,0.0,60.0
Blake Jarwin,12320,TE,16,DAL,35,5,3,1,88,4,2,14.3,25.0,60.0
T.Y. Hilton,7092,WR,14,IND,116,24,14,1,535,15,1,20.7,6.7,58.3
Benjamin Watson,1753,TE,16,NO,43,7,4,1,110,5,0,16.3,20.0,57.1
Tarik Cohen,11874,HB,16,CHI,87,7,4,0,136,4,0,8.0,0.0,57.1
Sammy Watkins,8639,WR,10,KC,53,7,4,1,137,5,0,13.2,20.0,57.1
Emmanuel Sanders,5606,WR,12,DEN,97,16,9,1,310,10,1,16.5,10.0,56.3
Keelan Cole,51593,WR,16,JAX,64,9,5,0,145,5,1,14.1,0.0,55.6
Adam Thielen,8288,WR,16,MIN,149,20,11,1,359,12,4,13.4,8.3,55.0
Tyrell Williams,10154,WR,16,LAC,63,17,9,1,348,10,3,27.0,10.0,52.9
Jake Kumerow,9883,WR,5,GB,10,2,1,0,49,1,1,20.0,0.0,50.0
Duke Johnson Jr.,9510,HB,16,CLV,61,2,1,0,23,1,0,3.3,0.0,50.0
MyCole Pruitt,9576,TE,11,TEN,11,2,1,0,27,1,0,18.2,0.0,50.0
Cameron Meredith,10008,WR,6,NO,10,2,1,0,46,1,0,20.0,0.0,50.0
Austin Carr,12215,WR,14,NO,13,2,1,0,25,1,0,15.4,0.0,50.0
Corey Coleman,10649,WR,8,NYG,8,2,1,0,30,1,0,25.0,0.0,50.0
Leonte Carroo,10720,WR,3,MIA,4,2,1,0,74,1,1,50.0,0.0,50.0
Demarcus Robinson,10760,WR,16,KC,30,6,3,0,150,3,1,20.0,0.0,50.0
Rico Gathers,10851,TE,14,DAL,7,2,1,0,32,1,0,28.6,0.0,50.0
Jordan Franks,47206,TE,5,CIN,3,2,1,0,32,1,0,66.7,0.0,50.0
Jordy Nelson,4350,WR,15,OAK,86,10,5,0,176,5,1,11.6,0.0,50.0
Joshua Perkins,11051,TE,7,PHI,11,2,1,0,30,1,0,18.2,0.0,50.0
Pierre Garcon,4519,WR,8,SF,41,6,3,1,65,4,0,14.6,25.0,50.0
Marcus Johnson,11074,WR,5,IND,8,2,1,0,34,1,1,25.0,0.0,50.0
Hayden Hurst,47294,TE,12,BLT,21,2,1,0,26,1,1,9.5,0.0,50.0
Rob Gronkowski,5567,TE,13,NE,71,12,6,0,178,6,1,16.9,0.0,50.0
Brandon LaFell,5602,WR,6,OAK,16,2,1,0,24,1,0,12.5,0.0,50.0
Ben Braunecker,11335,TE,13,CHI,5,2,1,0,20,1,0,40.0,0.0,50.0
River Cracraft,47417,WR,6,DEN,2,2,1,0,44,1,0,100.0,0.0,50.0
Marvin Hall,11440,WR,16,ATL,19,4,2,0,77,2,1,21.1,0.0,50.0
Mark Andrews,47436,TE,16,BLT,48,8,4,0,199,4,1,16.7,0.0,50.0
Dontrelle Inman,6597,WR,9,IND,38,6,3,1,69,4,1,15.8,25.0,50.0
Gerald Everett,11799,TE,16,LA,48,2,1,0,40,1,1,4.2,0.0,50.0
Alvin Kamara,11822,HB,15,NO,98,2,1,0,37,1,1,2.0,0.0,50.0
Tavon Austin,7789,WR,7,DAL,12,4,2,0,108,2,1,33.3,0.0,50.0
Tyler Eifert,7802,TE,4,CIN,18,2,1,0,15,1,1,11.1,0.0,50.0
Keenan Allen,7857,WR,16,LAC,125,8,4,0,143,4,0,6.4,0.0,50.0
Vyncint Smith,66957,WR,6,HST,9,4,2,0,63,2,1,44.4,0.0,50.0
Cameron Batson,47669,WR,10,TEN,11,2,1,0,26,1,0,18.2,0.0,50.0
Rex Burkhead,7971,HB,8,NE,19,2,1,0,18,1,1,10.5,0.0,50.0
Russell Shepard,8254,WR,10,NYG,18,8,4,0,140,4,1,44.4,0.0,50.0
D.J. Chark Jr.,47702,WR,11,JAX,31,4,2,0,68,2,0,12.9,0.0,50.0
Demetrius Harris,8524,TE,15,KC,25,8,4,0,89,4,2,32.0,0.0,50.0
Cody Latimer,8691,WR,6,NYG,16,8,4,0,128,4,1,50.0,0.0,50.0
T.J. Jones,8824,WR,15,DET,25,4,2,0,49,2,1,16.0,0.0,50.0
Jordan Thomas,42062,TE,16,HST,23,2,1,0,27,1,0,8.7,0.0,50.0
Ian Thomas,42130,TE,12,CAR,47,4,2,1,54,3,0,8.5,33.3,50.0
Seth Roberts,9079,WR,15,OAK,60,8,4,0,134,4,2,13.3,0.0,50.0
Russell Gage,44771,WR,8,ATL,10,2,1,0,22,1,0,20.0,0.0,50.0
Trey Burton,9185,TE,16,CHI,73,8,4,0,137,4,1,11.0,0.0,50.0
Keith Kirkwood,48017,WR,8,NO,21,6,3,0,93,3,1,28.6,0.0,50.0
Shelton Gibson,11921,WR,9,PHI,3,2,1,0,48,1,0,66.7,0.0,50.0
Breshad Perriman,9459,WR,10,CLV,25,8,4,0,188,4,2,32.0,0.0,50.0
Tyreek Hill,10799,WR,16,KC,129,41,20,1,754,21,7,31.8,4.8,48.8
DeAndre Hopkins,7808,WR,16,HST,159,25,12,0,387,12,3,15.7,0.0,48.0
Travis Kelce,7844,TE,16,KC,139,19,9,1,243,10,2,13.7,10.0,47.4
Brandin Cooks,8655,WR,16,LA,110,24,11,0,370,11,2,21.8,0.0,45.8
A.J. Green,6156,WR,9,CIN,77,11,5,0,161,5,1,14.3,0.0,45.5
Allen Robinson II,8696,WR,13,CHI,94,20,9,0,272,9,2,21.3,0.0,45.0
David Moore,11981,WR,16,SEA,50,18,8,0,265,8,3,36.0,0.0,44.4
Tre'Quan Smith,48228,WR,15,NO,43,9,4,0,161,4,2,20.9,0.0,44.4
Golden Tate,5585,WR,15,PHI,105,9,4,0,166,4,1,8.6,0.0,44.4
Julian Edelman,5156,WR,12,NE,105,9,4,1,110,5,1,8.6,20.0,44.4
Calvin Ridley,48262,WR,16,ATL,91,16,7,0,297,7,4,17.6,0.0,43.8
Mike Evans,8642,WR,16,TB,135,32,14,1,543,15,5,23.7,6.7,43.8
Doug Baldwin,6615,WR,13,SEA,73,16,7,0,224,7,2,21.9,0.0,43.8
Austin Hooper,10715,TE,16,ATL,85,7,3,0,98,3,0,8.2,0.0,42.9
