year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2018,Jordan Akins,47050,TE,16,HST,24,17,225,194,1.16
2018,Jarius Wright,7118,WR,16,CAR,57,43,447,387,1.16
2018,De'Anthony Thomas,8759,WR,5,KC,5,3,29,25,1.16
2018,Kelvin Benjamin,8663,WR,15,KC,64,25,380,331,1.15
2018,Mike Davis,9559,HB,15,SEA,41,34,214,186,1.15
2018,Demarcus Robinson,10760,WR,16,KC,30,22,288,252,1.14
2018,Lance Kendricks,6199,TE,16,GB,24,19,170,149,1.14
2018,Jimmy Graham,5619,TE,16,GB,83,55,636,559,1.14
2018,Durham Smythe,47257,TE,13,MIA,8,6,50,44,1.14
2018,Ben Braunecker,11335,TE,13,CHI,5,3,42,37,1.14
2018,Jeff Heuerman,9525,TE,11,DEN,43,30,279,246,1.13
2018,Tyler Kroft,9518,TE,5,CIN,5,4,36,32,1.13
2018,Randall Cobb,6216,WR,9,GB,57,38,383,339,1.13
2018,Mike Gillislee,7946,HB,4,NO,1,1,9,8,1.13
2018,Benny Cunningham,8283,HB,4,CHI,2,1,9,8,1.13
2018,Bilal Powell,6278,HB,7,NYJ,17,11,110,98,1.12
2018,Giovani Bernard,7818,HB,12,CIN,41,35,218,195,1.12
2018,Jaron Brown,8128,WR,16,SEA,18,14,166,149,1.11
2018,Paul Richardson Jr.,8680,WR,7,WAS,33,20,262,237,1.11
2018,Malcolm Brown,9902,HB,10,LA,6,5,52,47,1.11
2018,Rhett Ellison,7128,TE,14,NYG,32,25,272,245,1.11
2018,Rico Gathers,10851,TE,14,DAL,7,3,45,41,1.1
2018,Javorius Allen,9558,HB,11,BLT,39,34,197,183,1.08
2018,Richie James Jr.,28991,WR,10,SF,13,9,130,120,1.08
2018,Joe Mixon,11803,HB,14,CIN,54,43,296,274,1.08
2018,Michael Roberts,11882,TE,8,DET,18,9,100,93,1.08
2018,Chris Hogan,6468,WR,16,NE,51,35,532,495,1.07
2018,Maurice Harris,11035,WR,11,WAS,44,28,304,288,1.06
2018,Marshawn Lynch,3628,HB,6,OAK,19,15,84,79,1.06
2018,Ian Thomas,42130,TE,12,CAR,47,36,333,315,1.06
2018,LeSean McCoy,4976,HB,13,BUF,41,34,238,225,1.06
2018,Nick Chubb,45783,HB,14,CLV,28,20,149,142,1.05
2018,Logan Paulsen,5795,TE,15,ATL,9,9,91,87,1.05
2018,Isaiah Crowell,9295,HB,13,NYJ,26,21,152,145,1.05
2018,Chad Beebe,21528,WR,3,MIN,4,4,39,37,1.05
2018,Ryan Switzer,11888,WR,16,PIT,44,36,253,242,1.05
2018,Kenneth Dixon,10768,HB,6,BLT,7,6,51,49,1.04
2018,Keelan Cole,51593,WR,16,JAX,64,38,491,473,1.04
2018,Josh Doctson,10656,WR,15,WAS,75,44,532,512,1.04
2018,Eli Rogers,9878,WR,3,PIT,13,12,79,77,1.03
2018,Travis Benjamin,7100,WR,12,LAC,23,12,186,181,1.03
2018,Byron Marshall,11076,HB,6,WAS,6,4,30,29,1.03
2018,Trey Quinn,38276,WR,3,WAS,10,9,75,73,1.03
2018,Brandon LaFell,5602,WR,6,OAK,16,12,135,131,1.03
2018,Jawill Davis,22489,WR,5,NYG,8,4,40,39,1.03
2018,Jonnu Smith,11855,TE,13,TEN,29,20,258,252,1.02
2018,Zach Pascal,12303,WR,16,IND,44,27,268,266,1.01
2018,Dalton Schultz,47304,TE,11,DAL,16,12,116,115,1.01
2018,Darius Jennings,10038,WR,16,TEN,15,11,101,100,1.01
2018,Aaron Jones,11937,HB,12,GB,32,26,206,204,1.01
2018,Michael Burton,9601,FB,3,CHI,1,1,6,6,1
2018,Ross Dwelley,20994,TE,4,SF,2,2,14,14,1
2018,Jake Kumerow,9883,WR,5,GB,10,8,103,103,1
2018,Rashaad Penny,27414,HB,11,SEA,12,9,75,76,0.99
2018,Demetrius Harris,8524,TE,15,KC,25,12,164,165,0.99
2018,Corey Coleman,10649,WR,8,NYG,8,5,71,72,0.99
2018,Geoff Swaim,9679,TE,9,DAL,30,26,242,244,0.99
2018,C.J. Uzomah,9590,TE,16,CIN,63,43,439,450,0.98
2018,Ed Dickson,5595,TE,10,SEA,12,11,144,147,0.98
2018,Rashad Greene Sr.,9572,WR,8,JAX,9,6,60,62,0.97
2018,Frank Gore,2282,HB,14,MIA,16,12,124,128,0.97
2018,C.J. Prosise,10724,HB,3,SEA,3,3,22,23,0.96
2018,Tajae Sharpe,10774,WR,16,TEN,46,26,316,328,0.96
2018,Chris Manhertz,10211,TE,15,CAR,5,2,52,54,0.96
2018,Jermaine Kearse,7428,WR,14,NYJ,72,37,371,386,0.96
2018,Chris Moore,10741,WR,16,BLT,25,19,196,207,0.95
2018,Terrance Williams,7855,WR,3,DAL,2,2,18,19,0.95
2018,Tyler Ervin,10753,HB,5,HST,3,3,35,37,0.95
2018,Trent Sherfield,48021,WR,8,ARZ,27,19,210,224,0.94
2018,Ricky Seals-Jones,12020,TE,15,ARZ,66,34,343,366,0.94
2018,Matt Flanagan,47298,TE,3,WAS,1,1,14,15,0.93
2018,Ito Smith,45932,HB,13,ATL,30,27,152,164,0.93
2018,Tevin Coleman,9506,HB,16,ATL,40,32,276,296,0.93
2018,Mike Gesicki,47153,TE,16,MIA,31,22,202,218,0.93
2018,Josh Hill,8200,TE,16,NO,23,16,185,198,0.93
2018,David Morgan,10822,TE,11,MIN,6,5,36,39,0.92
2018,Andre Holmes,6489,WR,14,DEN,23,13,162,176,0.92
2018,Torrey Smith,6210,WR,11,CAR,28,17,190,207,0.92
2018,Jeff Wilson Jr.,29413,HB,6,SF,15,12,98,106,0.92
2018,Marcedes Lewis,2973,TE,14,GB,3,3,39,43,0.91
2018,Scott Simonson,8954,TE,13,NYG,13,9,86,95,0.91
2018,Kapri Bibbs,8906,HB,9,GB,21,16,115,128,0.9
2018,D.J. Chark Jr.,47702,WR,11,JAX,31,14,174,193,0.9
2018,Chase Edmonds,45851,HB,16,ARZ,23,20,103,114,0.9
2018,Trent Taylor,11932,WR,14,SF,38,26,215,241,0.89
2018,Virgil Green,6356,TE,16,LAC,27,19,210,235,0.89
2018,Adam Shaheen,11800,TE,6,CHI,6,5,48,54,0.89
2018,Darvin Kidsy,23254,WR,1,WAS,2,1,8,9,0.89
2018,DaeSean Hamilton,45416,WR,14,DEN,45,30,243,277,0.88
2018,Sony Michel,27589,HB,13,NE,11,7,50,57,0.88
2018,A.J. Derby,9635,TE,4,MIA,5,3,48,56,0.86
2018,Derrick Henry,10679,HB,16,TEN,18,15,99,115,0.86
2018,Doug Martin,7035,HB,16,OAK,23,18,116,135,0.86
2018,Jordan Wilkins,26618,HB,13,IND,16,16,85,100,0.85
2018,Orson Charles,7116,TE,12,CLV,4,3,23,27,0.85
2018,Alex Collins,10805,HB,10,BLT,17,15,105,123,0.85
2018,Jermaine Gresham,5546,TE,13,ARZ,12,9,94,111,0.85
2018,Nick O'Leary,9627,TE,12,MIA,10,8,86,101,0.85
2018,Ryan Griffin,7982,TE,14,HST,42,24,305,364,0.84
2018,Ryan Grant,8777,WR,14,IND,52,35,334,396,0.84
2018,Brice Butler,7991,WR,8,MIA,10,6,60,72,0.83
2018,Jordan Leggett,11905,TE,15,NYJ,22,14,114,139,0.82
2018,Bennie Fowler,8914,WR,10,NYG,25,16,199,244,0.82
2018,LeGarrette Blount,5863,HB,16,DET,14,10,67,82,0.82
2018,C.J. Anderson,8101,HB,9,LA,7,5,41,50,0.82
2018,Laquon Treadwell,10657,WR,15,MIN,47,35,302,368,0.82
2018,Cody Core,10833,WR,14,CIN,28,13,160,197,0.81
2018,Rod Smith,9996,HB,15,DAL,11,9,60,75,0.8
2018,Cameron Brate,9207,TE,16,TB,48,30,289,368,0.79
2018,Josh Bellamy,7472,WR,15,CHI,25,14,117,152,0.77
2018,Charles Clay,6326,TE,13,BUF,32,21,184,239,0.77
2018,Eric Tomlinson,9786,TE,14,NYJ,13,8,72,94,0.77
2018,Jamaal Williams,11889,HB,16,GB,33,27,210,274,0.77
2018,Neal Sterling,9653,TE,5,NYJ,7,6,47,61,0.77
2018,James O'Shaughnessy,9606,TE,14,JAX,35,24,214,279,0.77
2018,Vyncint Smith,66957,WR,6,HST,9,5,91,120,0.76
2018,Austin Seferian-Jenkins,8673,TE,5,JAX,17,11,90,118,0.76
2018,Stevan Ridley,6225,HB,8,PIT,4,3,18,24,0.75
2018,Cameron Batson,47669,WR,10,TEN,11,8,82,109,0.75
2018,Alex Erickson,11107,WR,15,CIN,28,20,167,222,0.75
2018,Alfred Blue,8816,HB,16,HST,24,20,154,208,0.74
2018,Alfred Morris,7165,HB,10,SF,10,8,73,99,0.74
2018,Mark Walton,45996,HB,6,CIN,7,5,41,57,0.72
2018,Eric Saubert,11929,TE,14,ATL,9,5,48,67,0.72
2018,Derek Carrier,7406,TE,16,OAK,11,7,67,95,0.71
2018,Jalen Tolliver,66933,WR,3,ARZ,6,3,37,54,0.69
2018,Marcell Ateman,23670,WR,7,OAK,30,15,154,222,0.69
2018,Jordan Howard,10784,HB,16,CHI,26,20,145,211,0.69
