year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Jim Leonhard,2694,S,16,CLV,54.5,5,60,1,5,5,5,0,0,0,52,4,26,12,6.5,0,15,0
2014,Santonio Holmes,2970,WR,9,CHI,52.6,9,,0,0,0,,0,0,0,50.2,9,50,22,5.6,0,5,0
2014,Danieal Manning,2987,S,16,HST,55.3,13,55.7,13,263,41,20.2,0,0,0,,0,0,0,,0,0,0
2014,Devin Hester,3002,WR,16,ATL,90.1,64,78.4,46,1136,66,24.7,0,0,0,85,18,240,68,13.3,1,11,0
2014,Brad Smith,3048,WR,13,PHI,59.9,1,59.9,1,21,21,21,0,0,0,,0,0,0,,0,0,0
2014,Leon Washington,3062,HB,16,TEN,57.8,37,62.2,30,743,52,24.8,0,0,0,49.6,7,47,10,6.7,0,4,0
2014,Fred Jackson,3368,HB,14,BUF,54.5,3,,0,0,0,,0,0,0,52.7,3,5,5,1.7,0,6,0
2014,Micheal Spurlock,3517,WR,1,CHI,60.1,0,,0,0,0,,0,0,0,60.1,0,0,0,,0,1,0
2014,Tramon Williams,3558,CB,16,GB,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Ted Ginn Jr.,3625,WR,16,ARZ,67.4,54,53,29,422,43,14.6,0,0,0,81.6,25,277,71,11.1,1,25,0
2014,Michael Griffin,3635,S,16,TEN,60.2,1,,0,0,0,,0,0,0,60.1,1,5,5,5,0,0,0
2014,Dwayne Bowe,3639,WR,15,KC,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Jacoby Jones,3689,WR,16,BLT,58,59,66.1,31,962,108,31,1,0,0,47.4,28,305,45,10.9,0,17,0
2014,Dante Rosario,3771,TE,16,CHI,,3,,3,6,10,2,0,0,0,,0,0,0,,0,0,0
2014,Jackie Battle,3885,FB,16,TEN,,2,,2,43,22,21.5,0,0,0,,0,0,0,,0,0,0
2014,Jason Trusnik,4083,LB,16,MIA,,0,,0,0,0,,0,1,0,,0,0,0,,0,0,0
2014,Eric Weems,4097,WR,16,ATL,58.8,2,58.8,2,34,17,17,0,0,0,60,0,0,0,,0,0,0
2014,Akeem Jordan,4270,LB,2,WAS,,1,,1,5,5,5,0,0,0,,0,0,0,,0,0,0
2014,Darren McFadden,4318,HB,16,OAK,63.3,3,63,3,59,23,19.7,0,0,0,,0,0,0,,0,0,0
2014,Leodis McKelvin,4325,CB,10,BUF,61.1,25,58,4,64,30,16,0,0,0,62.1,21,183,24,8.7,0,8,0
2014,Jordy Nelson,4350,WR,16,GB,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Eddie Royal,4356,WR,16,SD,73,11,60,0,0,0,,0,1,0,77.6,11,100,58,9.1,0,6,0
2014,DeSean Jackson,4363,WR,15,WAS,60.6,1,,0,0,0,,0,0,0,60.7,1,0,0,0,0,2,0
2014,Harry Douglas,4398,WR,12,ATL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Andre Caldwell,4411,WR,16,DEN,67.4,13,66.6,13,278,54,21.4,0,0,0,,0,0,0,,0,0,0
2014,Quintin Demps,4431,S,16,NYG,50.1,14,51,14,255,29,18.2,0,0,0,,0,0,0,,0,0,0
2014,Jerome Felton,4460,FB,16,MIN,,3,,3,36,14,12,0,0,0,,0,0,0,,0,0,0
2014,Matthew Slater,4467,WR,16,NE,59.9,2,59.9,2,44,26,22,0,0,0,,0,0,0,,0,0,0
2014,Nate Garner,4525,G,10,MIA,,1,,1,13,13,13,0,0,0,,0,0,0,,0,0,0
2014,Steve Johnson,4538,WR,13,SF,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Danny Amendola,4717,WR,16,NE,73,37,69.8,20,482,81,24.1,0,0,0,67.9,17,144,39,8.5,0,5,0
2014,Mike Tolbert,4740,FB,8,CAR,,1,,1,2,2,2,0,0,0,,0,0,0,,0,0,0
2014,Jeremy Maclin,4942,WR,16,PHI,61.7,2,,0,0,0,,0,0,0,62.2,2,25,18,12.5,0,4,0
2014,Percy Harvin,4945,WR,13,NYJ,54.5,32,55,32,778,65,24.3,0,0,0,,0,0,0,,0,0,0
2014,Donald Brown,4950,HB,13,SD,56.8,2,57.1,2,8,8,4,0,0,0,,0,0,0,,0,0,0
2014,Patrick Chung,4957,S,16,NE,56.1,7,56.5,7,150,30,21.4,0,0,0,,0,0,0,,0,0,0
