year,player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
2019,Dan Arnold,51842,TE,5,ARZ,13,4,2,0,60,2,1,30.8,0,50
2019,Jarvis Landry,8698,WR,16,CLV,130,22,11,1,320,12,2,16.9,8.3,50
2019,Tevin Jones,11163,WR,5,PIT,10,2,1,0,28,1,0,20,0,50
2019,Rashaad Penny,27414,HB,10,SEA,10,2,1,0,30,1,0,20,0,50
2019,Hunter Henry,10669,TE,12,LAC,74,8,4,1,97,5,1,10.8,20,50
2019,DaeSean Hamilton,45416,WR,16,DEN,48,2,1,0,28,1,0,4.2,0,50
2019,Robert Tonyan,12193,TE,11,GB,15,4,2,0,35,2,1,26.7,0,50
2019,Deebo Samuel,48274,WR,15,SF,77,6,3,2,98,5,1,7.8,40,50
2019,Rhett Ellison,7128,TE,10,NYG,25,2,1,0,28,1,1,8,0,50
2019,Kendrick Bourne,12270,WR,16,SF,44,2,1,0,26,1,0,4.5,0,50
2019,Anthony Miller,48160,WR,16,CHI,81,14,7,0,216,7,0,17.3,0,50
2019,A.J. Brown,48327,WR,16,TEN,84,16,8,0,378,8,1,19,0,50
2019,Allen Robinson II,8696,WR,16,CHI,153,29,14,0,393,14,2,19,0,48.3
2019,DeVante Parker,9447,WR,16,MIA,119,29,14,0,478,14,5,24.4,0,48.3
2019,Courtland Sutton,48164,WR,16,DEN,115,23,11,1,427,12,3,20,8.3,47.8
2019,Julio Jones,6158,WR,15,ATL,149,23,11,0,375,11,0,15.4,0,47.8
2019,Calvin Ridley,48262,WR,13,ATL,91,21,10,2,266,12,4,23.1,16.7,47.6
2019,Marquise Brown,61568,WR,14,BLT,65,15,7,0,266,7,4,23.1,0,46.7
2019,Tyler Lockett,9502,WR,16,SEA,108,28,13,1,379,14,4,25.9,7.1,46.4
2019,Marvin Jones Jr.,7158,WR,13,DET,90,18,8,0,208,8,1,20,0,44.4
2019,Kenny Golladay,11851,WR,16,DET,113,36,16,2,628,18,5,31.9,11.1,44.4
2019,Mark Andrews,47436,TE,15,BLT,97,18,8,1,224,9,4,18.6,11.1,44.4
2019,Terry McLaurin,48229,WR,14,WAS,91,27,12,2,366,14,4,29.7,14.3,44.4
2019,Kelvin Harmon,47931,WR,16,WAS,43,7,3,0,75,3,0,16.3,0,42.9
2019,Allen Hurns,8931,WR,14,MIA,46,7,3,0,68,3,1,15.2,0,42.9
2019,Mike Williams,11762,WR,15,LAC,85,28,12,2,471,14,1,32.9,14.3,42.9
2019,Julian Edelman,5156,WR,16,NE,147,14,6,0,161,6,2,9.5,0,42.9
2019,Larry Fitzgerald,1724,WR,16,ARZ,104,14,6,0,226,6,0,13.5,0,42.9
2019,Cody Latimer,8691,WR,15,NYG,39,7,3,0,108,3,0,17.9,0,42.9
2019,Tyler Boyd,10689,WR,16,CIN,142,14,6,0,225,6,2,9.9,0,42.9
2019,Hunter Renfrow,47509,WR,13,OAK,67,7,3,0,94,3,0,10.4,0,42.9
2019,Michael Gallup,26075,WR,14,DAL,112,19,8,3,259,11,1,17,27.3,42.1
2019,Darren Waller,9637,TE,16,OAK,115,12,5,2,160,7,0,10.4,28.6,41.7
2019,Golden Tate,5585,WR,11,NYG,81,17,7,1,230,8,4,21,12.5,41.2
2019,Davante Adams,8688,WR,12,GB,124,22,9,0,293,9,3,17.7,0,40.9
2019,Robert Woods,7822,WR,15,LA,129,15,6,0,177,6,0,11.6,0,40
2019,Dontrelle Inman,6597,WR,7,IND,21,5,2,0,48,2,0,23.8,0,40
2019,Tyler Eifert,7802,TE,16,CIN,62,5,2,1,49,3,1,8.1,33.3,40
2019,Willie Snead IV,8999,WR,16,BLT,45,5,2,0,56,2,1,11.1,0,40
2019,Jake Kumerow,9883,WR,13,GB,20,5,2,1,71,3,1,25,33.3,40
2019,JuJu Smith-Schuster,11817,WR,12,PIT,68,10,4,0,125,4,1,14.7,0,40
2019,D.K. Metcalf,47864,WR,16,SEA,97,25,10,3,362,13,4,25.8,23.1,40
2019,Breshad Perriman,9459,WR,14,TB,65,28,11,1,335,12,3,43.1,8.3,39.3
2019,Will Fuller V,10655,WR,11,HST,70,23,9,6,347,15,2,32.9,40,39.1
2019,Scotty Miller,47481,WR,9,TB,23,8,3,0,109,3,1,34.8,0,37.5
2019,Eric Ebron,8645,TE,11,IND,50,8,3,1,111,4,1,16,25,37.5
2019,Taylor Gabriel,9002,WR,9,CHI,48,8,3,0,113,3,2,16.7,0,37.5
2019,Zach Ertz,7816,TE,15,PHI,128,8,3,0,75,3,0,6.3,0,37.5
2019,Preston Williams,38855,WR,8,MIA,59,16,6,1,143,7,1,27.1,14.3,37.5
2019,John Brown,8726,WR,15,BUF,114,27,10,1,332,11,4,23.7,9.1,37
2019,Sammy Watkins,8639,WR,14,KC,88,11,4,0,137,4,1,12.5,0,36.4
2019,Mike Evans,8642,WR,13,TB,114,25,9,2,407,11,3,21.9,18.2,36
2019,Diontae Johnson,33441,WR,16,PIT,86,14,5,0,161,5,3,16.3,0,35.7
2019,DeAndre Hopkins,7808,WR,15,HST,146,20,7,1,237,8,3,13.7,12.5,35
2019,Darius Slayton,25578,WR,14,NYG,80,20,7,1,265,8,3,25,12.5,35
2019,Mike Gesicki,47153,TE,16,MIA,80,15,5,1,130,6,2,18.8,16.7,33.3
2019,Demetrius Harris,8524,TE,15,CLV,27,3,1,0,21,1,1,11.1,0,33.3
2019,Blake Jarwin,12320,TE,16,DAL,43,6,2,0,63,2,1,14,0,33.3
2019,Duke Williams,11366,WR,4,BUF,19,3,1,0,41,1,0,15.8,0,33.3
2019,Adam Thielen,8288,WR,10,MIN,47,12,4,0,118,4,2,25.5,0,33.3
2019,Ryan Griffin,7982,TE,13,NYJ,39,3,1,1,45,2,0,7.7,50,33.3
2019,Laquon Treadwell,10657,WR,13,MIN,16,3,1,0,58,1,1,18.8,0,33.3
2019,Steven Mitchell Jr.,47508,WR,2,HST,6,3,1,0,21,1,0,50,0,33.3
2019,Keke Coutee,47698,WR,9,HST,35,3,1,0,51,1,0,8.6,0,33.3
2019,Ben Braunecker,11335,TE,7,CHI,11,3,1,1,18,2,1,27.3,50,33.3
2019,Jason Witten,1384,TE,16,DAL,82,3,1,0,33,1,0,3.7,0,33.3
2019,Allen Lazard,48135,WR,15,GB,51,15,5,1,169,6,3,29.4,16.7,33.3
2019,Devin Singletary,40485,HB,12,BUF,39,3,1,0,28,1,1,7.7,0,33.3
2019,Auden Tate,48192,WR,12,CIN,78,15,5,0,141,5,0,19.2,0,33.3
2019,T.J. Hockenson,40912,TE,12,DET,56,6,2,0,47,2,1,10.7,0,33.3
2019,Albert Wilson,8943,WR,13,MIA,61,3,1,0,24,1,0,4.9,0,33.3
2019,Emmanuel Sanders,5606,WR,17,SF,96,12,4,0,194,4,1,12.5,0,33.3
2019,Danny Amendola,4717,WR,15,DET,94,9,3,0,118,3,1,9.6,0,33.3
2019,Tajae Sharpe,10774,WR,15,TEN,35,9,3,0,90,3,0,25.7,0,33.3
2019,Jason Moore,91472,WR,8,LAC,5,3,1,0,32,1,0,60,0,33.3
2019,Hale Hentges,47150,TE,10,WAS,14,3,1,1,22,2,0,21.4,50,33.3
2019,KhaDarel Hodge,26104,WR,9,CLV,10,3,1,0,41,1,0,30,0,33.3
2019,Robby Anderson,11254,WR,16,NYJ,92,28,9,0,329,9,3,30.4,0,32.1
2019,John Ross,11764,WR,8,CIN,55,16,5,1,161,6,1,29.1,16.7,31.3
2019,James Washington,47792,WR,15,PIT,77,26,8,1,335,9,2,33.8,11.1,30.8
2019,Alshon Jeffery,7048,WR,10,PHI,69,13,4,1,115,5,0,18.8,20,30.8
2019,Sterling Shepard,10674,WR,10,NYG,83,13,4,0,89,4,2,15.7,0,30.8
2019,Ted Ginn Jr.,3625,WR,16,NO,53,20,6,2,204,8,1,37.7,25,30
2019,Phillip Dorsett,9462,WR,14,NE,56,17,5,0,192,5,3,30.4,0,29.4
2019,Damiere Byrd,9964,WR,11,ARZ,45,7,2,0,91,2,0,15.6,0,28.6
2019,D.J. Moore,48267,WR,15,CAR,130,21,6,0,218,6,1,16.2,0,28.6
2019,Jordan Akins,47050,TE,16,HST,53,7,2,0,38,2,1,13.2,0,28.6
2019,Josh Reynolds,11872,WR,16,LA,39,7,2,1,61,3,1,17.9,33.3,28.6
2019,Gerald Everett,11799,TE,12,LA,54,7,2,0,53,2,0,13,0,28.6
2019,Dallas Goedert,47272,TE,15,PHI,78,7,2,1,56,3,1,9,33.3,28.6
2019,T.Y. Hilton,7092,WR,10,IND,67,11,3,1,84,4,0,16.4,25,27.3
2019,Tyrell Williams,10154,WR,14,OAK,64,15,4,1,108,5,1,23.4,20,26.7
2019,Marquez Valdes-Scantling,47809,WR,16,GB,54,19,5,1,220,6,1,35.2,16.7,26.3
2019,Geronimo Allison,11141,WR,16,GB,54,8,2,0,50,2,1,14.8,0,25
2019,Cole Beasley,7330,WR,15,BUF,99,8,2,1,76,3,0,8.1,33.3,25
2019,David Moore,11981,WR,14,SEA,34,12,3,1,120,4,1,35.3,25,25
2019,Damion Ratley,48182,WR,10,CLV,22,4,1,0,46,1,1,18.2,0,25
2019,Miles Boykin,48209,WR,16,BLT,22,8,2,0,89,2,0,36.4,0,25
2019,Jarius Wright,7118,WR,16,CAR,56,8,2,1,48,3,0,14.3,33.3,25
2019,Tre'Quan Smith,48228,WR,11,NO,25,4,1,0,21,1,1,16,0,25
2019,Marcus Johnson,11074,WR,8,IND,32,8,2,0,96,2,1,25,0,25
2019,Evan Engram,11778,TE,8,NYG,65,4,1,1,33,2,0,6.2,50,25
2019,Benjamin Watson,1753,TE,10,NE,23,4,1,1,26,2,0,17.4,50,25
2019,Trent Sherfield,48021,WR,12,ARZ,13,4,1,1,38,2,0,30.8,50,25
2019,Odell Beckham Jr.,8647,WR,16,CLV,130,33,8,2,263,10,2,25.4,20,24.2
2019,Brandin Cooks,8655,WR,14,LA,67,17,4,2,130,6,0,25.4,33.3,23.5
2019,Christian Kirk,47546,WR,13,ARZ,99,17,4,1,167,5,2,17.2,20,23.5
2019,Jamison Crowder,9538,WR,16,NYJ,118,9,2,0,70,2,1,7.6,0,22.2
2019,Chris Conley,9509,WR,16,JAX,88,19,4,1,167,5,2,21.6,20,21.1
2019,Greg Olsen,3647,TE,14,CAR,81,5,1,0,41,1,0,6.2,0,20
2019,Tarik Cohen,11874,HB,16,CHI,102,5,1,0,31,1,0,4.9,0,20
2019,Jimmy Graham,5619,TE,16,GB,58,10,2,0,77,2,0,17.2,0,20
2019,Zach Pascal,12303,WR,16,IND,69,10,2,1,43,3,0,14.5,33.3,20
2019,Keenan Allen,7857,WR,16,LAC,147,20,4,1,118,5,2,13.6,20,20
2019,KeeSean Johnson,39587,WR,10,ARZ,40,5,1,0,31,1,0,12.5,0,20
2019,Duke Johnson Jr.,9510,HB,16,HST,62,5,1,0,21,1,0,8.1,0,20
2019,Nelson Agholor,9453,WR,11,PHI,65,15,3,2,90,5,0,23.1,40,20
2019,Hayden Hurst,47294,TE,16,BLT,38,5,1,0,20,1,0,13.2,0,20
2019,Curtis Samuel,11795,WR,16,CAR,103,27,5,0,163,5,0,26.2,0,18.5
2019,Demaryius Thomas,5547,WR,11,NYJ,55,6,1,2,23,3,0,10.9,66.7,16.7
2019,Tavon Austin,7789,WR,14,DAL,23,6,1,0,59,1,1,26.1,0,16.7
2019,Tyler Higbee,10744,TE,15,LA,86,7,1,1,33,2,0,8.1,50,14.3
