year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Jakob Johnson,32565,FB,3,NE,2,1,50,5,0,62.2,51.1,64.7,61.2,81,5,1,1,5,0,0,0,0,0,56.3,0,0
2019,Jalen Guyton,34164,WR,3,LAC,2,0,0,0,0,52.7,52.9,,,,,0,,0,0,0,0,0,0,39.6,0,0
2019,Levine Toilolo,7915,TE,12,SF,2,2,100,10,0,58.3,52,68.3,64,69.4,5,15,7.5,8,0,0,0,0,1,87.5,1,0
2019,Chad Beebe,21528,WR,3,MIN,2,2,100,70,0,66.3,71.1,68.3,78.7,,35,68,34,61,2,0,0,0,0,118.8,1,0
2019,Jordan Thomas,42062,TE,5,HST,2,1,50,8,0,37.4,40.1,28.8,61.2,12.9,8,3,3,8,0,0,0,0,0,60.4,0,0
2019,Bo Scarbrough,45731,HB,6,DET,2,1,50,5,0,72.1,48.2,64.7,61.7,48.3,5,8,8,5,0,0,0,0,0,56.3,0,0
2019,Cody Hollister,12052,WR,1,TEN,2,2,100,13,0,60.9,61.8,68.3,64,,6.5,2,1,11,0,0,0,0,0,93.8,0,0
2019,Sean Culkin,12037,TE,4,LAC,2,1,50,12,0,50.7,47.3,28.8,61.2,35.6,12,3,3,12,1,1,0,0,0,68.8,0,0
2019,Alex Armah,11948,FB,15,CAR,2,2,100,6,0,51.1,55.3,68.3,72.3,77.6,3,8,4,4,0,0,0,0,0,79.2,0,0
2019,Qadree Ollison,45934,HB,4,ATL,2,1,50,7,0,55.6,50.5,64.7,26.7,78.8,7,3,3,7,1,0,0,0,0,58.3,0,0
2019,De'Anthony Thomas,8759,WR,6,BLT,2,1,50,6,0,48.1,45.8,28.8,54.4,,6,3,3,6,0,1,0,0,0,56.3,0,0
2019,Jamal Agnew,11920,CB,4,DET,2,1,50,-2,0,60,55.9,64.7,87.7,,-2,2,2,0,0,0,0,0,0,56.3,0,0
2019,Ashton Dulin,91479,WR,9,IND,2,2,100,17,0,59.3,59.2,72.1,71.3,,8.5,23,11.5,13,0,0,0,0,1,102.1,0,0
2019,Nick Bellore,6515,FB,5,SEA,2,2,100,23,1,76.8,89.5,68.3,64,71.5,11.5,20,10,20,2,0,0,0,0,154.2,0,0
2019,Chris Herndon,47164,TE,1,NYJ,2,1,50,7,0,61.3,64.9,68.3,64,3.9,7,5,5,7,0,0,0,0,0,58.3,0,0
2019,Scott Simonson,8954,TE,5,NYG,2,2,100,11,0,51.7,58.2,68.3,64,75.9,5.5,3,1.5,10,1,0,0,0,0,89.6,1,0
2019,Dalton Schultz,47304,TE,13,DAL,2,1,50,6,0,69.4,51.7,68.3,66.8,65.3,6,0,0,6,0,0,0,0,0,56.3,2,0
2019,Keith Smith,9302,FB,16,ATL,2,1,50,13,0,58.2,51,64.7,70.3,48.5,13,13,13,13,1,0,0,0,0,70.8,0,0
2019,Javorius Allen,9558,HB,5,NYG,2,1,50,9,0,71.8,58.8,68.3,73.9,82.9,9,5,5,9,0,0,0,0,0,62.5,0,0
2019,Jeff Smith,48055,WR,1,NYJ,2,1,50,12,0,59.6,59.4,64.7,61.2,,12,0,0,12,1,0,0,0,0,68.8,0,0
2019,Elijhaa Penny,11300,HB,14,NYG,2,2,100,9,0,57.7,52.3,70.5,76.7,57.8,4.5,21,10.5,9,0,0,0,0,0,85.4,0,0
2019,Ben Koyack,9662,TE,11,JAX,2,1,50,9,0,55.7,48.2,70.5,65.8,78.7,9,3,3,9,0,0,0,0,0,62.5,1,1
2019,Roosevelt Nix,10269,FB,2,PIT,2,2,100,4,0,50.8,64.4,68.3,64,,2,10,5,4,0,0,0,0,0,79.2,0,0
2019,Rico Gafford,29622,WR,4,OAK,2,2,100,66,1,62.2,62.6,68.3,64,,33,17,8.5,49,2,0,0,0,0,158.3,0,0
2019,Darrius Shepherd,29347,WR,4,GB,2,1,50,1,0,44.5,44.6,28.8,28.1,,1,4,4,1,0,1,1,0,0,16.7,0,0
2019,Taywan Taylor,11827,WR,3,CLV,1,0,0,0,0,52.5,52.7,,68.7,,,0,,0,0,0,0,0,0,39.6,0,0
2019,Dwayne Harris,6328,WR,2,OAK,1,1,100,7,0,58.3,58.5,64.7,75.8,,7,8,8,7,0,0,0,0,0,95.8,0,0
