year,player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
2018,Nathan Peterman,11926,QB,4,BUF,96,30,7,19,6,4,3,1,37,0,1,31.3,23.3,31.6,63.6,19
2018,Taylor Heinicke,9896,QB,5,CAR,60,22,2,19,9,1,2,0,93,0,1,36.7,9.1,47.4,56.3,40
2018,Blaine Gabbert,6162,QB,6,TEN,106,23,5,18,8,2,0,0,99,0,1,21.7,21.7,44.4,50,38.9
2018,Derek Anderson,2430,QB,2,BUF,75,22,5,17,10,1,0,0,86,0,0,29.3,22.7,58.8,62.5,72.2
2018,Colt McCoy,5609,QB,3,WAS,67,23,6,13,8,0,0,1,106,1,0,34.3,26.1,61.5,69.2,113
2018,Kyle Allen,26152,QB,2,CAR,34,13,0,12,5,1,2,0,56,0,0,38.2,0,41.7,55.6,56.3
2018,Mark Sanchez,4928,QB,2,WAS,43,19,7,12,3,1,1,2,26,0,1,44.2,36.8,25,62.5,4.9
2018,DeShone Kizer,11807,QB,2,GB,50,15,4,9,3,2,0,0,41,0,2,30,26.7,33.3,42.9,9.3
2018,Teddy Bridgewater,8667,QB,2,NO,28,12,2,8,2,1,0,0,17,0,0,42.9,16.7,25,28.6,39.6
2018,Joshua Dobbs,11890,QB,3,PIT,14,5,0,5,2,0,1,0,22,0,0,35.7,0,40,50,53.8
2018,Mike Glennon,7854,QB,2,ARZ,22,6,1,5,5,0,0,0,47,0,0,27.3,16.7,100,100,105.8
2018,Kyle Lauletta,46452,QB,1,NYG,5,4,0,4,0,0,0,0,0,0,0,80,0,0,0,39.6
2018,Matt Barkley,7880,QB,1,BUF,26,5,1,4,1,0,0,0,5,0,0,19.2,20,25,25,39.6
2018,Robert Griffin III,7008,QB,2,BLT,6,4,0,4,0,1,0,0,0,0,0,66.7,0,0,0,39.6
2018,Matt Cassel,2447,QB,2,DET,19,5,1,3,1,0,0,1,11,0,0,26.3,20,33.3,66.7,45.1
2018,Geno Smith,7820,QB,3,LAC,6,3,1,2,0,1,0,0,0,0,0,50,33.3,0,,39.6
2018,Jacoby Brissett,10725,QB,3,IND,4,2,0,2,0,0,0,1,0,0,0,50,0,0,50,39.6
2018,Taysom Hill,12112,QB,7,NO,10,5,1,2,1,0,0,0,44,0,1,50,20,50,50,56.3
2018,A.J. McCarron,8799,QB,1,OAK,4,3,1,2,0,2,0,0,0,0,0,75,33.3,0,,39.6
2018,Julian Edelman,5156,WR,2,NE,2,2,0,2,2,0,0,0,43,0,0,100,0,100,100,118.8
2018,Anthony Miller,48160,WR,1,CHI,1,1,0,1,1,0,0,0,8,0,0,100,0,100,100,100
2018,Garrett Gilbert,8848,QB,1,CAR,4,2,1,1,0,1,0,0,0,0,0,50,50,0,,39.6
2018,Odell Beckham Jr.,8647,WR,2,NYG,2,1,0,1,1,0,0,0,57,1,0,50,0,100,100,158.3
2018,Darius Jennings,10038,WR,1,TEN,1,1,0,1,1,0,0,0,21,0,0,100,0,100,100,118.8
2018,Tyler Boyd,10689,WR,1,CIN,1,1,0,1,0,0,0,0,0,0,0,100,0,0,0,39.6
2018,Cole Beasley,7330,WR,1,DAL,1,1,0,1,0,0,0,0,0,0,0,100,0,0,0,39.6
2018,Nate Sudfeld,10821,QB,2,PHI,2,1,0,1,1,0,0,0,22,1,0,50,0,100,100,158.3
2018,Bryan Anger,7072,P,1,TB,1,1,0,1,0,0,0,0,0,0,0,100,0,0,0,39.6
2018,Zay Jones,11792,WR,1,BUF,1,1,0,1,0,0,0,0,0,0,0,100,0,0,0,39.6
2018,Antonio Brown,5718,WR,1,PIT,1,1,0,1,0,0,0,0,0,0,0,100,0,0,0,39.6
2018,Dede Westbrook,11865,WR,1,JAX,1,1,0,1,0,1,0,0,0,0,0,100,0,0,,39.6
2018,Corey Bojorquez,27626,P,1,BUF,1,1,0,1,0,0,0,0,0,0,0,100,0,0,,39.6
2018,Bruce Ellington,8741,WR,1,DET,1,1,0,1,0,1,0,0,0,0,0,100,0,0,,39.6
