player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Philip Rivers,1725,QB,16,LAC,544,508,347,68.3,4308,8.5,32,12,90.8,90.3,54.5,90.4,32,12,23,16,7,105.5,4,211
Deshaun Watson,11767,QB,16,HST,628,505,345,68.3,4165,8.2,26,9,82.7,81.1,70.2,38.6,61,6,11,18,7,103.1,60,221
Drew Brees,802,QB,15,NO,510,489,364,74.4,3992,8.2,32,5,94.7,94.0,77.4,83.2,17,6,20,13,3,115.7,4,199
Baker Mayfield,46518,QB,14,CLV,531,486,310,63.8,3725,7.7,27,14,83.7,80.5,75.8,70.2,25,9,28,15,2,93.7,18,175
Cam Newton,6153,QB,14,CAR,531,471,320,67.9,3395,7.2,24,13,70.9,70.0,66.5,78.6,29,8,24,18,1,94.2,27,187
Mitchell Trubisky,11757,QB,14,CHI,497,434,289,66.6,3223,7.4,24,12,63.0,56.5,88.2,52.5,24,2,10,10,2,95.4,36,167
Russell Wilson,7077,QB,16,SEA,509,427,280,65.6,3448,8.1,35,7,87.2,84.6,73.1,45.1,51,7,13,26,4,110.9,30,168
Sam Darnold,29048,QB,13,NYJ,460,414,239,57.7,2865,6.9,17,15,64.7,62.9,62.7,71.5,30,7,25,25,2,77.6,16,137
Blake Bortles,8638,QB,13,JAX,476,403,243,60.3,2718,6.7,13,11,64.1,64.7,54.6,40.4,31,14,31,13,8,79.8,40,146
Carson Wentz,10636,QB,11,PHI,448,401,279,69.6,3074,7.7,21,7,79.4,78.5,60.3,44.9,31,3,21,5,10,102.2,16,163
Josh Rosen,35460,QB,14,ARZ,453,393,217,55.2,2278,5.8,11,14,49.1,48.2,60.6,34.6,45,10,22,24,6,66.7,14,119
Jameis Winston,9434,QB,11,TB,443,380,244,64.2,2992,7.9,19,14,69.9,68.3,69.2,60.2,27,5,12,5,4,89.7,36,165
Joe Flacco,4332,QB,9,BLT,400,379,232,61.2,2465,6.5,12,6,72.0,70.6,71.2,76.8,16,13,24,17,4,84.2,4,124
Andy Dalton,6187,QB,11,CIN,398,365,226,61.9,2566,7.0,21,11,81.9,79.3,69.7,86.4,21,6,21,11,4,89.6,12,135
Marcus Mariota,9435,QB,14,TEN,409,331,228,68.9,2528,7.6,11,8,76.8,70.3,83.0,48.9,42,3,15,13,0,92.3,35,134
Alex Smith,2218,QB,10,WAS,374,328,205,62.5,2180,6.6,10,5,70.2,69.0,61.6,75.6,22,5,9,21,6,85.7,23,114
Josh Allen,46601,QB,12,BUF,396,320,169,52.8,2074,6.5,10,12,65.3,58.0,81.4,50.2,28,1,20,23,4,67.9,47,114
Ryan Tannehill,7014,QB,11,MIA,318,274,176,64.2,1979,7.2,17,9,45.3,42.4,65.8,38.2,35,10,9,11,3,92.7,8,97
Nick Mullens,12282,QB,8,SF,292,274,176,64.2,2277,8.3,13,10,64.6,66.7,37.9,69.9,17,8,11,8,15,90.8,1,105
Ryan Fitzpatrick,2467,QB,8,TB,285,246,164,66.7,2366,9.6,17,12,84.4,82.9,65.4,68.0,14,4,11,6,2,100.4,24,116
Nick Foles,7089,QB,5,PHI,206,195,141,72.3,1413,7.2,7,4,73.8,71.1,70.5,41.3,9,1,7,3,0,96.0,2,60
Brock Osweiler,7059,QB,7,MIA,200,178,113,63.5,1247,7.0,6,4,52.7,53.4,50.9,90.1,17,3,5,11,4,86.0,4,58
Jeff Driskel,10841,QB,8,CIN,203,176,105,59.7,1003,5.7,6,2,52.7,51.1,60.8,59.8,15,6,13,6,1,82.2,12,56
Lamar Jackson,46416,QB,12,BLT,203,170,99,58.2,1201,7.1,6,3,59.1,60.0,58.1,25.1,15,2,7,8,1,84.5,18,67
C.J. Beathard,11859,QB,5,SF,198,169,102,60.4,1252,7.4,8,7,64.9,65.5,52.7,61.4,18,9,11,4,2,81.8,11,63
Cody Kessler,10727,QB,5,JAX,169,131,85,64.9,709,5.4,2,2,55.7,52.1,70.0,23.6,22,0,8,10,1,77.4,15,42
Josh McCown,1085,QB,4,NYJ,122,110,60,54.5,539,4.9,1,4,47.0,45.5,65.9,86.6,7,8,8,2,2,55.8,5,30
Blaine Gabbert,6162,QB,6,TEN,106,101,61,60.4,626,6.2,4,4,33.6,35.2,49.8,86.4,5,1,4,2,0,74.9,0,31
Josh Johnson,4474,QB,4,WAS,114,91,52,57.1,590,6.5,3,4,47.6,42.3,68.2,39.1,10,1,2,5,1,69.4,13,33
Jimmy Garoppolo,8697,QB,3,SF,107,89,53,59.6,718,8.1,5,3,62.6,60.5,63.2,33.3,13,2,2,3,0,90.0,5,36
Tyrod Taylor,6332,QB,4,CLV,108,85,42,49.4,473,5.6,2,2,47.0,44.9,61.4,60.0,13,3,4,6,1,64.5,10,21
Nathan Peterman,11926,QB,4,BUF,96,81,44,54.3,296,3.7,1,7,32.9,31.6,58.9,85.5,7,2,4,6,3,30.7,8,15
Sam Bradford,5526,QB,3,ARZ,88,80,50,62.5,400,5.0,2,4,41.4,42.6,64.3,23.7,6,1,2,1,0,62.5,1,17
Chase Daniel,5214,QB,2,CHI,87,76,53,69.7,515,6.8,3,2,57.6,67.7,26.3,25.1,9,1,4,0,2,90.6,2,25
Derek Anderson,2430,QB,2,BUF,75,70,42,60.0,465,6.6,0,4,47.5,47.4,60.0,26.6,5,3,3,1,0,56.0,0,22
Taylor Heinicke,9896,QB,5,CAR,60,57,35,61.4,320,5.6,1,3,46.2,43.8,70.6,82.6,2,0,1,1,2,60.6,1,20
Colt McCoy,5609,QB,3,WAS,67,54,34,63.0,372,6.9,3,3,60.1,51.2,87.4,46.0,6,1,1,0,0,78.6,7,20
DeShone Kizer,11807,QB,2,GB,50,42,20,47.6,187,4.5,0,2,34.2,29.6,76.8,31.5,4,0,4,3,1,40.5,4,11
Mark Sanchez,4928,QB,2,WAS,43,35,19,54.3,138,3.9,0,3,41.8,41.7,63.9,28.8,7,2,6,1,1,28.0,1,4
Kyle Allen,26152,QB,2,CAR,34,31,20,64.5,266,8.6,2,0,73.8,73.2,61.5,79.2,0,0,0,1,2,113.1,3,12
Matt Barkley,7880,QB,1,BUF,26,25,15,60.0,232,9.3,2,0,61.6,61.3,57.9,77.4,1,0,0,0,0,117.4,0,11
Teddy Bridgewater,8667,QB,2,NO,28,23,14,60.9,118,5.1,1,1,58.4,59.4,55.6,79.1,2,1,0,1,0,70.6,3,9
Mike Glennon,7854,QB,2,ARZ,22,21,15,71.4,174,8.3,1,0,57.5,57.4,,75.6,1,1,0,0,0,112.0,0,8
Matt Cassel,2447,QB,2,DET,19,17,7,41.2,59,3.5,0,1,48.6,46.4,64.5,75.7,1,0,1,1,0,26.3,1,3
Joshua Dobbs,11890,QB,3,PIT,14,12,6,50.0,43,3.6,0,1,66.7,59.1,72.6,74.2,0,0,0,0,1,24.0,2,4
Matt Schaub,1811,QB,1,ATL,7,7,5,71.4,20,2.9,0,0,40.1,55.0,45.9,17.7,0,0,2,0,0,74.1,0,1
Taysom Hill,12112,QB,7,NO,10,7,3,42.9,64,9.1,0,1,64.4,44.3,75.9,87.1,1,0,2,0,0,36.3,2,4
Robert Griffin III,7008,QB,2,BLT,6,6,2,33.3,21,3.5,0,0,34.9,33.9,,69.6,0,0,0,1,0,44.4,0,1
Kyle Lauletta,46452,QB,1,NYG,5,5,0,0.0,0,0.0,0,1,27.0,26.8,60.0,69.2,0,0,0,0,0,0.0,0,0
Johnny Hekker,7252,P,5,LA,5,4,2,50.0,19,4.8,0,0,49.4,56.4,55.3,68.0,0,0,0,0,0,63.5,1,2
Geno Smith,7820,QB,3,LAC,6,4,1,25.0,8,2.0,0,0,20.6,17.2,59.2,13.9,1,1,0,1,0,39.6,1,0
Jacoby Brissett,10725,QB,3,IND,4,4,2,50.0,2,0.5,0,0,57.8,54.8,61.9,73.2,0,0,1,0,0,56.3,0,1
Derrick Henry,10679,HB,3,TEN,3,3,2,66.7,14,4.7,0,0,86.7,64.7,87.6,82.4,0,0,0,0,0,77.1,0,1
Garrett Gilbert,8848,QB,1,CAR,4,3,2,66.7,40,13.3,0,0,52.5,52.1,,66.9,1,0,0,1,0,109.7,0,1
Sean Mannion,9522,QB,1,LA,3,3,2,66.7,23,7.7,0,0,62.4,62.8,58.5,72.8,0,0,1,0,0,89.6,0,1
Chad Henne,4371,QB,1,KC,3,3,2,66.7,29,9.7,0,0,53.7,56.1,58.3,67.4,0,0,1,0,0,97.9,0,2
A.J. McCarron,8799,QB,1,OAK,4,3,1,33.3,8,2.7,0,0,37.2,54.2,40.9,18.7,1,0,0,2,0,42.4,0,0
Odell Beckham Jr.,8647,WR,2,NYG,2,2,2,100.0,106,53.0,2,0,90.0,83.3,49.8,84.6,0,0,0,0,0,158.3,0,2
Julian Edelman,5156,WR,2,NE,2,2,2,100.0,43,21.5,0,0,75.2,61.6,78.3,86.6,0,0,0,0,0,118.8,0,1
Brian Hoyer,5277,QB,2,NE,2,2,1,50.0,7,3.5,0,0,64.9,55.5,67.3,74.4,0,0,0,0,0,58.3,0,0
Mohamed Sanu,7084,WR,2,ATL,2,2,1,50.0,5,2.5,1,0,71.6,53.4,67.7,31.2,0,0,0,0,0,95.8,0,1
Jarvis Landry,8698,WR,2,CLV,2,2,1,50.0,63,31.5,0,0,74.7,87.2,77.0,56.3,0,0,0,0,0,95.8,0,1
Nate Sudfeld,10821,QB,2,PHI,2,2,1,50.0,22,11.0,1,0,49.4,47.5,60.0,67.8,0,0,0,0,0,129.2,0,1
Tyler Boyd,10689,WR,1,CIN,1,1,0,0.0,0,0.0,0,0,84.5,59.7,53.6,82.3,0,0,0,0,0,39.6,0,0
Darius Jennings,10038,WR,1,TEN,1,1,1,100.0,21,21.0,0,0,55.5,72.9,59.3,82.1,0,0,0,0,0,118.8,0,1
Anthony Miller,48160,WR,1,CHI,1,1,1,100.0,8,8.0,0,0,60.4,60.0,56.9,80.9,0,0,0,0,0,100.0,0,1
Nelson Agholor,9453,WR,1,PHI,1,1,1,100.0,15,15.0,0,0,64.8,68.5,62.7,49.4,0,0,0,0,0,118.8,0,1
Chris Boswell,8990,K,1,PIT,1,1,1,100.0,2,2.0,1,0,82.8,71.3,,60.4,0,0,0,0,0,118.8,0,1
Christian McCaffrey,11763,HB,1,CAR,1,1,1,100.0,50,50.0,1,0,82.8,71.3,77.2,58.7,0,0,0,0,0,158.3,0,1
Albert Wilson,8943,WR,1,MIA,1,1,1,100.0,52,52.0,1,0,82.5,71.0,50.4,78.8,0,0,0,0,0,158.3,0,1
Logan Thomas,8755,TE,1,BUF,1,1,1,100.0,15,15.0,0,0,51.7,67.2,,73.4,0,0,0,0,0,118.8,0,1
Zay Jones,11792,WR,1,BUF,1,1,0,0.0,0,0.0,0,0,62.2,56.0,56.2,43.7,0,0,0,0,0,39.6,0,0
Bruce Ellington,8741,WR,1,DET,1,1,0,0.0,0,0.0,0,0,68.3,60.0,56.6,77.8,0,0,0,1,0,39.6,0,0
Eric Ebron,8645,TE,1,IND,1,1,0,0.0,0,0.0,0,0,67.5,54.8,34.6,47.8,0,0,0,0,0,39.6,0,0
Dede Westbrook,11865,WR,1,JAX,1,1,0,0.0,0,0.0,0,0,71.3,60.0,84.9,37.9,0,0,0,1,0,39.6,0,0
Tarik Cohen,11874,HB,1,CHI,1,1,1,100.0,1,1.0,1,0,73.2,69.7,59.6,28.9,0,0,0,0,0,118.8,0,1
Tress Way,8358,P,1,WAS,1,1,1,100.0,7,7.0,0,0,70.7,67.2,,60.4,0,0,0,0,0,95.8,0,1
Kenny Stills,7926,WR,1,MIA,1,1,1,100.0,3,3.0,1,0,64.4,57.1,,78.7,0,0,0,0,0,118.8,0,1
DeAndre Hopkins,7808,WR,1,HST,1,1,0,0.0,0,0.0,0,0,92.4,48.9,59.2,40.5,0,0,0,0,0,39.6,0,0
Cole Beasley,7330,WR,1,DAL,1,1,0,0.0,0,0.0,0,0,74.8,55.1,,84.1,0,0,0,0,0,39.6,0,0
Bryan Anger,7072,P,1,TB,1,1,0,0.0,0,0.0,0,0,31.0,53.3,60.0,13.3,0,0,0,0,0,39.6,0,0
Corey Bojorquez,27626,P,1,BUF,1,1,0,0.0,0,0.0,0,0,28.7,60.0,60.0,13.3,0,1,0,0,0,39.6,0,0
Antonio Brown,5718,WR,1,PIT,1,1,0,0.0,0,0.0,0,0,79.3,48.9,,84.1,0,0,0,0,0,39.6,0,0
Logan Cooke,29214,P,1,JAX,1,1,1,100.0,4,4.0,0,0,61.5,60.4,,60.4,0,0,0,0,0,83.3,0,1
Emmanuel Sanders,5606,WR,1,DEN,1,1,1,100.0,28,28.0,1,0,81.1,73.4,60.5,82.2,0,0,0,0,0,158.3,0,1
Colby Wadman,38062,P,1,DEN,1,1,1,100.0,12,12.0,0,0,60.8,60.3,,60.4,0,0,0,0,0,116.7,0,1
J.K. Scott,38809,P,1,GB,1,1,0,0.0,0,0.0,0,0,57.6,60.0,,,0,0,0,1,0,39.6,0,0
Dontrell Hilliard,45691,HB,1,CLV,1,1,0,0.0,0,0.0,0,1,55.8,26.1,,77.8,0,0,0,0,0,0.0,0,0
Danny Amendola,4717,WR,1,MIA,1,1,1,100.0,28,28.0,1,0,66.6,81.0,56.6,52.8,0,0,0,0,0,158.3,0,1
Matt Prater,3471,K,1,DET,1,1,1,100.0,8,8.0,1,0,88.9,73.8,,60.4,0,0,0,0,0,139.6,0,1
Sam Koch,3148,P,1,BLT,1,1,1,100.0,21,21.0,0,0,71.6,68.8,,60.4,0,0,0,0,0,118.8,0,1
Larry Fitzgerald,1724,WR,1,ARZ,1,1,1,100.0,32,32.0,1,0,73.2,79.9,,81.4,0,0,0,0,0,158.3,0,1
Kevin Byard,10698,S,1,TEN,1,1,1,100.0,66,66.0,1,0,73.1,68.8,,60.4,0,0,0,0,0,158.3,0,1
