year,player,player_id,position,player_game_count,team_name,dropbacks,avg_time_to_throw,avg_time_in_pocket,avg_time_to_sack,avg_time_to_run,less_dropbacks,less_percent,less_sacks,less_attempts,less_completions,less_completion_percent,less_touchdowns,less_interceptions,less_qb_rating,more_dropbacks,more_percent,more_sacks,more_attempts,more_completions,more_completion_percent,more_touchdowns,more_interceptions,more_qb_rating
2018,Antonio Brown,5718,WR,1,PIT,1,2.9,2.9,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Bryan Anger,7072,P,1,TB,1,3.2,3.2,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Cole Beasley,7330,WR,1,DAL,1,5.1,5.1,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Brandon Bolden,7469,HB,1,MIA,1,,5.9,,5.9,0,0,0,0,0,,0,0,0,1,100,0,0,0,,0,0,0
2018,DeAndre Hopkins,7808,WR,1,HST,1,2.4,2.4,,,1,100,0,1,0,0,0,0,39.6,0,0,0,0,0,,0,0,0
2018,Kenny Stills,7926,WR,1,MIA,1,3.2,3.2,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,118.8
2018,Tress Way,8358,P,1,WAS,1,1.9,1.9,,,1,100,0,1,1,100,0,0,95.8,0,0,0,0,0,,0,0,0
2018,Eric Ebron,8645,TE,1,IND,1,2.8,2.8,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Bruce Ellington,8741,WR,1,DET,1,4.3,4.3,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Logan Thomas,8755,TE,1,BUF,1,2,2,,,1,100,0,1,1,100,0,0,118.8,0,0,0,0,0,,0,0,0
2018,Albert Wilson,8943,WR,1,MIA,1,3.7,3.7,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,158.3
2018,Chris Boswell,8990,K,1,PIT,1,2.1,2.1,,,1,100,0,1,1,100,1,0,118.8,0,0,0,0,0,,0,0,0
2018,Nelson Agholor,9453,WR,1,PHI,1,3.2,3.2,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,0,0,118.8
2018,Tyler Lockett,9502,WR,1,SEA,1,,5.5,,5.5,0,0,0,0,0,,0,0,0,1,100,0,0,0,,0,0,0
2018,Darius Jennings,10038,WR,1,TEN,1,3.5,3.5,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,0,0,118.8
2018,Tyler Boyd,10689,WR,1,CIN,1,3.4,3.4,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Kevin Byard,10698,S,1,TEN,1,0.41,0.41,,,1,100,0,1,1,100,1,0,158.3,0,0,0,0,0,,0,0,0
2018,Christian McCaffrey,11763,HB,1,CAR,1,2.4,2.4,,,1,100,0,1,1,100,1,0,158.3,0,0,0,0,0,,0,0,0
2018,Zay Jones,11792,WR,1,BUF,1,4.7,4.7,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Joe Mixon,11803,HB,1,CIN,1,,8.4,8.4,,0,0,0,0,0,,0,0,0,1,100,1,0,0,,0,0,0
2018,Dede Westbrook,11865,WR,1,JAX,1,4.4,4.4,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Tarik Cohen,11874,HB,1,CHI,1,3.2,3.2,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,118.8
2018,Elijah McGuire,11943,HB,1,NYJ,1,,4.5,4.5,,0,0,0,0,0,,0,0,0,1,100,1,0,0,,0,0,0
2018,Corey Bojorquez,27626,P,1,BUF,1,3.7,3.7,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Logan Cooke,29214,P,1,JAX,1,2.1,2.1,,,1,100,0,1,1,100,0,0,83.3,0,0,0,0,0,,0,0,0
2018,Colby Wadman,38062,P,1,DEN,1,2.3,2.3,,,1,100,0,1,1,100,0,0,116.7,0,0,0,0,0,,0,0,0
2018,J.K. Scott,38809,P,1,GB,1,3,3,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,0,39.6
2018,Dontrell Hilliard,45691,HB,1,CLV,1,2.9,2.9,,,0,0,0,0,0,,0,0,0,1,100,0,1,0,0,0,1,0
