player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Jeff Driskel,10841,QB,8,CIN,203,176,105,13,6,6,0,1,7.4,72.4
Lamar Jackson,46416,QB,12,BLT,203,170,99,7,8,2,0,1,4.1,66.7
C.J. Beathard,11859,QB,5,SF,198,169,102,11,4,9,0,2,6.5,73.4
Cody Kessler,10727,QB,5,JAX,169,131,85,8,10,0,0,1,6.1,77.5
Josh McCown,1085,QB,4,NYJ,122,110,60,8,2,8,1,2,7.3,70.1
Blaine Gabbert,6162,QB,6,TEN,106,101,61,4,2,1,0,0,4.0,66.3
Josh Johnson,4474,QB,4,WAS,114,91,52,2,5,1,0,1,2.2,64.3
Jimmy Garoppolo,8697,QB,3,SF,107,89,53,2,3,2,0,0,2.2,65.5
Tyrod Taylor,6332,QB,4,CLV,108,85,42,4,6,3,1,1,4.7,62.2
Nathan Peterman,11926,QB,4,BUF,96,81,44,4,6,2,0,3,4.9,68.6
Sam Bradford,5526,QB,3,ARZ,88,80,50,2,1,1,0,0,2.5,66.7
Chase Daniel,5214,QB,2,CHI,87,76,53,4,0,1,0,2,5.3,78.1
Derek Anderson,2430,QB,2,BUF,75,70,42,3,1,3,0,0,4.3,68.2
Taylor Heinicke,9896,QB,5,CAR,60,57,35,1,1,0,1,2,1.8,67.9
Colt McCoy,5609,QB,3,WAS,67,54,34,1,0,1,2,0,1.9,68.6
DeShone Kizer,11807,QB,2,GB,50,42,20,4,3,0,1,1,9.5,64.9
Mark Sanchez,4928,QB,2,WAS,43,35,19,6,1,2,0,1,17.1,80.6
Kyle Allen,26152,QB,2,CAR,34,31,20,0,1,0,0,2,0.0,71.4
Matt Barkley,7880,QB,1,BUF,26,25,15,0,0,0,0,0,0.0,60.0
Teddy Bridgewater,8667,QB,2,NO,28,23,14,0,1,1,0,0,0.0,66.7
Mike Glennon,7854,QB,2,ARZ,22,21,15,0,0,1,0,0,0.0,75.0
Matt Cassel,2447,QB,2,DET,19,17,7,1,1,0,0,0,5.9,50.0
Joshua Dobbs,11890,QB,3,PIT,14,12,6,0,0,0,0,1,0.0,54.5
Taysom Hill,12112,QB,7,NO,10,7,3,2,0,0,0,0,28.6,71.4
Matt Schaub,1811,QB,1,ATL,7,7,5,2,0,0,0,0,28.6,100.0
Robert Griffin III,7008,QB,2,BLT,6,6,2,0,1,0,0,0,0.0,40.0
Kyle Lauletta,46452,QB,1,NYG,5,5,0,0,0,0,0,0,0.0,0.0
Jacoby Brissett,10725,QB,3,IND,4,4,2,1,0,0,0,0,25.0,75.0
Geno Smith,7820,QB,3,LAC,6,4,1,0,1,1,0,0,0.0,50.0
Johnny Hekker,7252,P,5,LA,5,4,2,0,0,0,0,0,0.0,50.0
Derrick Henry,10679,HB,3,TEN,3,3,2,0,0,0,0,0,0.0,66.7
Garrett Gilbert,8848,QB,1,CAR,4,3,2,0,1,0,0,0,0.0,100.0
Chad Henne,4371,QB,1,KC,3,3,2,1,0,0,0,0,33.3,100.0
Sean Mannion,9522,QB,1,LA,3,3,2,1,0,0,0,0,33.3,100.0
A.J. McCarron,8799,QB,1,OAK,4,3,1,0,2,0,0,0,0.0,100.0
Odell Beckham Jr.,8647,WR,2,NYG,2,2,2,0,0,0,0,0,0.0,100.0
Julian Edelman,5156,WR,2,NE,2,2,2,0,0,0,0,0,0.0,100.0
Brian Hoyer,5277,QB,2,NE,2,2,1,0,0,0,0,0,0.0,50.0
Mohamed Sanu,7084,WR,2,ATL,2,2,1,0,0,0,0,0,0.0,50.0
Jarvis Landry,8698,WR,2,CLV,2,2,1,0,0,0,0,0,0.0,50.0
Nate Sudfeld,10821,QB,2,PHI,2,2,1,0,0,0,0,0,0.0,50.0
Tyler Boyd,10689,WR,1,CIN,1,1,0,0,0,0,0,0,0.0,0.0
Darius Jennings,10038,WR,1,TEN,1,1,1,0,0,0,0,0,0.0,100.0
Anthony Miller,48160,WR,1,CHI,1,1,1,0,0,0,0,0,0.0,100.0
Nelson Agholor,9453,WR,1,PHI,1,1,1,0,0,0,0,0,0.0,100.0
Chris Boswell,8990,K,1,PIT,1,1,1,0,0,0,0,0,0.0,100.0
Christian McCaffrey,11763,HB,1,CAR,1,1,1,0,0,0,0,0,0.0,100.0
Albert Wilson,8943,WR,1,MIA,1,1,1,0,0,0,0,0,0.0,100.0
Logan Thomas,8755,TE,1,BUF,1,1,1,0,0,0,0,0,0.0,100.0
Zay Jones,11792,WR,1,BUF,1,1,0,0,0,0,0,0,0.0,0.0
Bruce Ellington,8741,WR,1,DET,1,1,0,0,1,0,0,0,0.0,
Eric Ebron,8645,TE,1,IND,1,1,0,0,0,0,0,0,0.0,0.0
Dede Westbrook,11865,WR,1,JAX,1,1,0,0,1,0,0,0,0.0,
Tarik Cohen,11874,HB,1,CHI,1,1,1,0,0,0,0,0,0.0,100.0
Tress Way,8358,P,1,WAS,1,1,1,0,0,0,0,0,0.0,100.0
Kenny Stills,7926,WR,1,MIA,1,1,1,0,0,0,0,0,0.0,100.0
DeAndre Hopkins,7808,WR,1,HST,1,1,0,0,0,0,0,0,0.0,0.0
Cole Beasley,7330,WR,1,DAL,1,1,0,0,0,0,0,0,0.0,0.0
Bryan Anger,7072,P,1,TB,1,1,0,0,0,0,0,0,0.0,0.0
Corey Bojorquez,27626,P,1,BUF,1,1,0,0,0,1,0,0,0.0,
Antonio Brown,5718,WR,1,PIT,1,1,0,0,0,0,0,0,0.0,0.0
Logan Cooke,29214,P,1,JAX,1,1,1,0,0,0,0,0,0.0,100.0
Emmanuel Sanders,5606,WR,1,DEN,1,1,1,0,0,0,0,0,0.0,100.0
Colby Wadman,38062,P,1,DEN,1,1,1,0,0,0,0,0,0.0,100.0
J.K. Scott,38809,P,1,GB,1,1,0,0,1,0,0,0,0.0,
Dontrell Hilliard,45691,HB,1,CLV,1,1,0,0,0,0,0,0,0.0,0.0
Danny Amendola,4717,WR,1,MIA,1,1,1,0,0,0,0,0,0.0,100.0
Matt Prater,3471,K,1,DET,1,1,1,0,0,0,0,0,0.0,100.0
Sam Koch,3148,P,1,BLT,1,1,1,0,0,0,0,0,0.0,100.0
Larry Fitzgerald,1724,WR,1,ARZ,1,1,1,0,0,0,0,0,0.0,100.0
Kevin Byard,10698,S,1,TEN,1,1,1,0,0,0,0,0,0.0,100.0
