player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Darrel Williams,13014,HB,2,KC,13,44,0,0,0.0
Tyler Lockett,9502,WR,10,SEA,12,61,1,18,29.5
Ryan Fitzpatrick,2467,QB,6,TB,12,2,0,0,0.0
Corey Grant,9827,HB,4,JAX,12,37,0,0,0.0
Matthew Stafford,4924,QB,7,DET,12,-2,0,0,0.0
Brian Hoyer,5277,QB,5,NE,11,-8,0,0,0.0
Benny Cunningham,8283,HB,4,CHI,11,20,0,0,0.0
Chase Daniel,5214,QB,4,CHI,11,-3,0,0,0.0
Eli Manning,1722,QB,8,NYG,11,4,0,0,0.0
Detrez Newsome,45695,HB,3,LAC,11,49,1,16,32.7
Travaris Cadet,7457,HB,1,CAR,11,17,0,0,0.0
Mike Boone,31615,HB,5,MIN,11,47,1,20,42.6
Isaiah McKenzie,11927,WR,4,BUF,10,66,2,30,45.5
D.J. Moore,48267,WR,9,CAR,10,156,5,118,75.6
Brandin Cooks,8655,WR,7,LA,10,68,1,17,25.0
Aaron Rodgers,2241,QB,6,GB,9,-12,0,0,0.0
Taquan Mizzell Sr.,45675,HB,7,CHI,9,16,0,0,0.0
Josh Rosen,35460,QB,6,ARZ,9,-7,0,0,0.0
Jeremy Langford,9539,HB,1,ATL,9,25,0,0,0.0
Zach Line,8420,FB,5,NO,9,41,0,0,0.0
Taylor Gabriel,9002,WR,6,CHI,9,61,1,20,32.8
Josh Johnson,4474,QB,4,WAS,9,37,1,16,43.2
Julian Edelman,5156,WR,5,NE,9,107,4,70,65.4
Alex Armah,11948,FB,8,CAR,9,15,0,0,0.0
Curtis Samuel,11795,WR,6,CAR,8,84,2,58,69.0
Samaje Perine,11869,HB,4,WAS,8,32,0,0,0.0
Roc Thomas,27875,HB,5,MIN,8,30,1,23,76.7
C.J. Beathard,11859,QB,4,SF,8,8,0,0,0.0
Kyle Juszczyk,7912,FB,6,SF,8,30,0,0,0.0
Teddy Bridgewater,8667,QB,4,NO,8,-6,0,0,0.0
Stefon Diggs,9579,WR,8,MIN,8,58,1,20,34.5
Keenan Allen,7857,WR,5,LAC,8,75,3,64,85.3
David Williams,45732,HB,3,JAX,8,36,1,15,41.7
Travis Benjamin,7100,WR,7,LAC,7,41,1,19,46.3
Brandon Bolden,7469,HB,3,MIA,7,79,1,54,68.4
Nick Foles,7089,QB,5,PHI,7,11,0,0,0.0
Albert Wilson,8943,WR,4,MIA,7,21,0,0,0.0
D'Onta Foreman,11844,HB,1,HST,7,-1,0,0,0.0
Elijhaa Penny,11300,FB,3,NYG,7,25,0,0,0.0
Mohamed Sanu,7084,WR,6,ATL,7,44,1,24,54.5
Jacoby Brissett,10725,QB,2,IND,7,-7,0,0,0.0
Mike Williams,11762,WR,7,LAC,7,28,1,19,67.9
Geno Smith,7820,QB,4,LAC,7,-7,0,0,0.0
Sean Mannion,9522,QB,3,LA,7,-9,0,0,0.0
Dede Westbrook,11865,WR,6,JAX,7,105,2,63,60.0
Brandon Wilds,11057,HB,3,JAX,6,15,0,0,0.0
Jamaal Charles,4387,HB,2,JAX,6,7,0,0,0.0
C.J. Ham,11347,FB,5,MIN,6,8,0,0,0.0
Darius Jackson,10850,HB,1,DAL,6,16,0,0,0.0
James Develin,6142,FB,3,NE,6,8,0,0,0.0
Jonathan Stewart,4327,HB,3,NYG,6,17,0,0,0.0
Ryan Switzer,11888,WR,5,PIT,6,21,0,0,0.0
DeSean Jackson,4363,WR,5,TB,6,29,0,0,0.0
Tavon Austin,7789,WR,5,DAL,6,55,2,33,60.0
Blaine Gabbert,6162,QB,3,TEN,6,0,0,0,
Corey Davis,11760,WR,6,TEN,6,55,1,39,70.9
Tyrod Taylor,6332,QB,3,CLV,6,22,0,0,0.0
Shaun Wilson,45993,HB,4,TB,6,29,0,0,0.0
Sammy Watkins,8639,WR,4,KC,5,52,1,31,59.6
Calvin Ridley,48262,WR,5,ATL,5,24,0,0,0.0
Adam Thielen,8288,WR,5,MIN,5,30,1,15,50.0
Odell Beckham Jr.,8647,WR,5,NYG,5,19,0,0,0.0
Chris Moore,10741,WR,5,BLT,5,17,0,0,0.0
Anthony Miller,48160,WR,4,CHI,5,19,0,0,0.0
Golden Tate,5585,WR,4,PHI,4,34,1,30,88.2
A.J. McCarron,8799,QB,2,OAK,4,2,0,0,0.0
David Fluellen,9184,HB,2,TEN,4,16,0,0,0.0
Jeremy Hill,8690,HB,1,NE,4,25,0,0,0.0
Breshad Perriman,9459,WR,3,CLV,4,2,0,0,0.0
Phillip Dorsett,9462,WR,2,NE,4,29,1,17,58.6
Jamison Crowder,9538,WR,3,WAS,4,30,1,25,83.3
J.J. Nelson,9592,WR,4,ARZ,4,0,0,0,
Taylor Heinicke,9896,QB,2,CAR,4,12,0,0,0.0
Marquise Goodwin,7859,WR,4,SF,4,9,0,0,0.0
Cody Kessler,10727,QB,2,JAX,4,3,0,0,0.0
Derek Watt,10832,FB,3,LAC,4,11,0,0,0.0
Rob Kelley,11090,HB,2,WAS,4,8,0,0,0.0
Robert Turbin,7106,HB,1,IND,4,10,0,0,0.0
John Ross,11764,WR,4,CIN,4,9,0,0,0.0
Brock Osweiler,7059,QB,3,MIA,4,0,0,0,
Cooper Kupp,11824,WR,3,LA,4,25,0,0,0.0
Andy Dalton,6187,QB,3,CIN,4,0,0,0,
Emmanuel Sanders,5606,WR,4,DEN,4,53,2,53,100.0
Nelson Agholor,9453,WR,3,PHI,3,32,1,16,50.0
Byron Marshall,11076,HB,2,WAS,3,9,0,0,0.0
Maxx Williams,9488,TE,3,BLT,3,8,0,0,0.0
Colt McCoy,5609,QB,2,WAS,3,8,0,0,0.0
Matt Barkley,7880,QB,1,BUF,3,-2,0,0,0.0
Tim Patrick,12087,WR,3,DEN,3,17,0,0,0.0
Sterling Shepard,10674,WR,3,NYG,3,33,1,27,81.8
Martavis Bryant,8753,WR,3,OAK,3,23,1,17,73.9
Alex Erickson,11107,WR,3,CIN,3,22,0,0,0.0
Keke Coutee,47698,WR,2,HST,3,0,0,0,
Christian Kirk,47546,WR,3,ARZ,3,35,1,23,65.7
J.D. McKissic,11047,HB,2,SEA,3,8,0,0,0.0
Tre Madden,11286,FB,2,SEA,3,3,0,0,0.0
Seth Roberts,9079,WR,3,OAK,3,5,0,0,0.0
Jimmy Garoppolo,8697,QB,2,SF,3,0,0,0,
John Brown,8726,WR,3,BLT,3,4,0,0,0.0
Evan Engram,11778,TE,2,NYG,3,36,0,0,0.0
Ted Ginn Jr.,3625,WR,3,NO,3,26,1,20,76.9
Jonathan Williams,10790,HB,3,IND,3,0,0,0,
Jeremy McNichols,11917,HB,1,TEN,2,4,0,0,0.0
Tommylee Lewis,11231,WR,2,NO,2,10,0,0,0.0
Robby Anderson,11254,WR,2,NYJ,2,-8,0,0,0.0
Clayton Fejedelem,10879,S,2,CIN,2,6,0,0,0.0
Marvin Hall,11440,WR,2,ATL,2,0,0,0,
Nate Sudfeld,10821,QB,1,PHI,2,-2,0,0,0.0
Andy Janovich,10810,FB,2,DEN,2,5,0,0,0.0
Derrick Coleman,7377,FB,2,ARZ,2,3,0,0,0.0
Gerald Everett,11799,TE,1,LA,2,16,0,0,0.0
Jourdan Lewis,11846,CB,2,DAL,2,12,0,0,0.0
Josh Reynolds,11872,WR,2,LA,2,8,0,0,0.0
Christine Michael,7843,HB,1,IND,2,9,0,0,0.0
