player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Ross Travis,10320,TE,6,KC,5,3,60.0,15,0,38.5,40.9,28.0,65.8,65.9,5.0,16,5.3,6,1,2,0,0,0,64.6,0,0
Tyler Ervin,10753,HB,5,HST,5,3,60.0,18,0,49.2,47.1,36.2,47.8,,6.0,5,1.7,9,0,1,0,0,0,67.1,0,0
Danny Vitale,10831,FB,9,CLV,5,4,80.0,27,0,65.7,49.8,41.6,67.0,83.6,6.8,33,8.3,17,2,1,0,0,1,89.2,0,0
Joshua Perkins,11051,TE,8,ATL,5,3,60.0,42,1,46.8,53.9,36.2,65.8,73.6,14.0,16,5.3,26,2,1,0,0,0,126.7,2,0
Orleans Darkwa,9173,HB,4,NYG,4,2,50.0,12,0,52.1,36.4,30.0,79.7,81.3,6.0,18,9.0,9,0,1,0,0,0,56.3,0,0
Nick Vannett,10728,TE,9,SEA,4,3,75.0,32,0,58.2,46.6,36.2,65.8,74.2,10.7,13,4.3,21,1,1,0,0,0,97.9,0,0
Quan Bray,9700,WR,3,IND,4,3,75.0,36,0,57.3,59.6,70.5,79.6,,12.0,14,4.7,22,1,0,0,0,0,102.1,0,0
Jeremy Ross,6476,WR,2,ARZ,4,4,100.0,37,1,81.2,77.8,72.1,77.4,,9.3,7,1.8,15,4,0,0,0,0,144.8,0,0
Tavarres King,7943,WR,5,NYG,4,2,50.0,50,0,58.7,58.3,68.3,64.0,,25.0,5,2.5,44,1,0,1,0,0,56.3,0,0
Mike James,7970,HB,3,TB,4,4,100.0,22,0,52.5,43.7,41.6,71.1,79.1,5.5,14,3.5,6,0,0,0,0,0,89.6,0,0
Corey Grant,9827,HB,6,JAX,4,4,100.0,35,1,67.1,60.3,72.1,83.4,64.8,8.8,31,7.8,15,2,0,0,0,1,142.7,0,0
Byron Marshall,11076,HB,2,PHI,4,3,75.0,10,0,56.7,59.2,70.5,78.3,78.8,3.3,14,4.7,7,1,0,0,0,1,77.1,0,0
Daniel Lasco,10871,HB,5,NO,4,2,50.0,11,0,54.7,60.7,68.3,74.4,24.8,5.5,12,6.0,7,0,1,0,0,0,56.3,0,0
Taiwan Jones,6277,HB,7,OAK,4,4,100.0,43,0,72.2,84.4,72.1,75.6,71.0,10.8,61,15.3,16,3,0,0,0,3,111.5,1,1
Jace Amaro,8684,TE,2,TEN,4,3,75.0,59,0,80.6,75.2,70.5,65.8,,19.7,15,5.0,26,2,0,0,0,0,116.7,0,0
Alex Ellis,11326,TE,6,JAX,4,3,75.0,11,0,49.0,39.6,36.2,65.8,74.2,3.7,4,1.3,6,0,1,0,0,0,77.1,2,0
Derek Watt,10832,FB,14,SD,4,4,100.0,83,0,55.4,67.9,72.1,69.4,51.8,20.8,62,15.5,53,2,0,0,0,1,118.8,1,0
Brandon Bolden,7469,HB,3,NE,4,2,50.0,15,0,50.9,26.5,27.3,66.2,76.8,7.5,16,8.0,13,1,2,0,0,1,59.4,0,0
Griff Whalen,7351,WR,8,NE,4,2,50.0,22,0,53.6,50.6,68.3,71.4,69.3,11.0,19,9.5,12,1,0,1,0,0,27.1,0,0
Adrian Peterson,3623,HB,3,MIN,4,3,75.0,8,0,45.5,39.7,36.2,34.5,84.7,2.7,11,3.7,7,0,1,0,0,0,77.1,0,0
Je'Ron Hamm,8981,TE,3,SF,4,2,50.0,13,0,56.8,55.2,68.3,64.0,74.1,6.5,2,1.0,7,1,0,0,0,0,57.3,0,0
Clay Harbor,5648,TE,10,DET,3,3,100.0,19,0,54.8,45.4,70.5,65.8,71.3,6.3,17,5.7,9,1,0,0,0,0,93.1,0,0
Ifeanyi Momah,8557,TE,4,ARZ,3,2,66.7,50,0,52.4,68.8,68.3,64.0,0.0,25.0,12,6.0,27,2,0,0,0,0,109.7,0,0
Percy Harvin,4945,WR,2,BUF,3,2,66.7,6,0,53.4,51.2,68.3,66.2,,3.0,4,2.0,5,0,0,0,0,0,70.1,0,0
Lorenzo Taliaferro,8773,HB,1,BLT,3,3,100.0,10,0,63.4,68.1,70.5,67.4,78.7,3.3,13,4.3,8,0,0,0,0,0,80.6,0,0
Laquon Treadwell,10657,WR,7,MIN,3,1,33.3,15,0,56.4,52.8,64.7,65.3,,15.0,0,0.0,15,1,0,0,0,0,50.7,0,0
Javorius Allen,9558,HB,4,BLT,3,3,100.0,15,0,58.5,62.5,42.1,74.0,38.8,5.0,22,7.3,8,2,0,0,0,0,87.5,0,0
Keith Smith,9302,FB,13,DAL,3,3,100.0,20,0,68.2,57.3,70.5,68.7,83.4,6.7,21,7.0,14,1,0,0,0,0,94.4,0,0
Isaiah Burse,9300,WR,4,SD,3,0,0.0,0,0,49.6,49.6,,82.1,,,0,,0,0,0,1,0,0,0.0,1,0
Fitzgerald Toussaint,9244,HB,7,PIT,3,3,100.0,33,0,56.8,56.3,36.2,80.6,49.0,11.0,44,14.7,15,2,0,0,0,3,112.5,0,0
Kapri Bibbs,8906,HB,8,DEN,3,2,66.7,75,1,62.5,63.6,68.3,80.7,84.0,37.5,80,40.0,69,1,0,0,0,2,149.3,0,0
George Farmer,9842,HB,2,SEA,3,1,33.3,4,0,48.8,39.7,28.8,64.6,73.1,4.0,6,6.0,4,0,1,0,0,0,42.4,0,0
Lucky Whitehead,9853,WR,13,DAL,3,3,100.0,48,0,55.2,63.4,72.1,28.1,65.7,16.0,33,11.0,35,1,0,0,0,0,118.8,0,0
Jamaal Charles,4387,HB,3,KC,3,2,66.7,14,0,60.6,61.5,68.3,74.8,73.0,7.0,17,8.5,16,1,0,0,0,0,77.1,0,0
Matt Lengel,9884,TE,6,NE,3,2,66.7,22,1,64.1,63.1,68.3,64.0,69.1,11.0,0,0.0,18,1,0,0,0,0,127.8,0,0
Brandon Williams,7876,TE,15,SEA,3,2,66.7,36,0,65.1,69.7,68.3,80.4,56.4,18.0,9,4.5,20,2,0,0,0,0,107.6,3,1
Malcolm Brown,9902,HB,8,LA,3,3,100.0,46,0,49.1,83.9,70.5,25.7,90.2,15.3,41,13.7,26,2,0,0,0,2,118.8,0,0
Cole Wick,11139,TE,4,DET,3,2,66.7,18,0,69.3,61.7,68.3,64.0,,9.0,10,5.0,13,1,0,0,0,0,82.6,0,0
Ryan Hewitt,9107,FB,15,CIN,3,2,66.7,13,0,72.3,49.8,68.3,64.0,63.4,6.5,9,4.5,8,1,0,0,0,1,75.7,0,0
Johnny Holton,11354,WR,9,OAK,3,2,66.7,34,0,53.1,66.3,68.3,19.1,,17.0,11,5.5,30,2,0,0,0,0,104.9,1,2
Akeem Hunt,9839,HB,8,HST,3,3,100.0,29,0,50.0,56.8,70.5,22.3,83.3,9.7,37,12.3,24,1,0,0,0,1,106.9,1,0
Devin Smith,9470,WR,3,NYJ,3,1,33.3,20,0,46.2,46.5,28.9,61.2,,20.0,6,6.0,20,1,1,0,0,0,57.6,0,0
Joe Webb III,5722,QB,2,CAR,3,1,33.3,3,0,52.0,52.8,64.7,72.0,,3.0,0,0.0,3,0,0,0,0,0,42.4,0,0
Shane Wynn,9780,WR,4,JAX,2,1,50.0,19,0,58.7,59.2,64.7,64.6,,19.0,12,12.0,19,1,0,0,0,0,83.3,0,0
James O'Shaughnessy,9606,TE,13,KC,2,2,100.0,-1,0,48.0,45.9,68.3,64.0,73.1,-0.5,2,1.0,0,0,0,0,0,0,79.2,2,0
MyCole Pruitt,9576,TE,4,CHI,2,2,100.0,13,0,52.9,56.4,68.3,64.0,74.9,6.5,8,4.0,7,0,0,0,0,0,93.8,0,0
Roosevelt Nix,10269,FB,8,PIT,2,2,100.0,5,0,81.9,60.0,68.3,64.0,42.8,2.5,7,3.5,3,0,0,0,0,0,79.2,0,0
Derek Carrier,7406,TE,7,WAS,2,2,100.0,10,0,53.2,50.4,68.3,64.0,74.5,5.0,3,1.5,6,0,0,0,0,0,87.5,2,0
Jeremy Butler,9080,WR,3,SD,2,2,100.0,11,0,56.9,56.7,68.3,64.0,,5.5,1,0.5,6,0,0,0,0,0,89.6,0,0
Jared Abbrederis,8811,WR,3,GB,2,1,50.0,8,0,52.1,52.5,64.7,61.2,,8.0,2,2.0,8,0,0,0,0,0,60.4,0,0
Jordan Payton,10788,WR,4,CLV,2,1,50.0,3,0,53.4,53.4,64.7,61.2,,3.0,0,0.0,3,0,0,0,0,0,56.3,0,0
Jonathan Williams,10790,HB,11,BUF,2,1,50.0,0,0,46.5,50.2,64.7,21.3,64.6,0.0,3,3.0,0,0,0,0,0,0,56.3,0,0
Andre Williams,8748,HB,1,SD,2,0,0.0,0,0,81.1,26.4,27.9,76.5,79.6,,0,,0,0,2,0,0,0,39.6,0,0
Troy Niklas,8687,TE,3,ARZ,2,1,50.0,0,0,47.0,30.9,28.9,61.2,72.1,0.0,1,1.0,0,0,1,0,0,0,56.3,0,0
Daniel Braverman,10864,WR,3,CHI,2,0,0.0,0,0,74.5,73.1,64.7,61.2,,,0,,0,0,0,1,0,0,0.0,0,0
Niles Paul,6307,TE,8,WAS,2,2,100.0,27,0,61.5,54.4,68.3,66.8,83.7,13.5,27,13.5,16,2,0,0,0,1,118.8,1,0
Hakeem Valles,10960,TE,8,ARZ,2,0,0.0,0,0,32.4,27.9,25.7,,73.4,,0,,0,0,2,0,0,0,39.6,1,0
Kerwynn Williams,8013,HB,4,ARZ,2,1,50.0,6,0,62.0,53.9,64.7,26.1,76.6,6.0,7,7.0,6,0,0,0,0,0,56.3,0,0
Kalif Raymond,11028,WR,2,DEN,2,0,0.0,0,0,54.4,54.5,,25.8,,,0,,0,0,1,0,0,0,39.6,0,0
J.D. McKissic,11047,WR,1,SEA,2,2,100.0,16,0,57.9,58.9,68.3,68.3,,8.0,13,6.5,10,0,0,0,0,0,100.0,0,0
Troymaine Pope,11473,HB,3,SEA,2,1,50.0,5,0,53.9,31.5,28.8,74.5,75.0,5.0,1,1.0,5,0,0,1,0,0,16.7,0,0
Brandon Wilds,11057,HB,4,NYJ,2,2,100.0,20,0,52.9,60.7,68.3,74.4,17.1,10.0,24,12.0,12,1,0,0,0,0,108.3,0,0
D.J. Foster,11214,HB,2,NE,2,1,50.0,2,0,39.8,29.9,28.9,72.2,72.4,2.0,6,6.0,2,0,1,0,0,0,56.3,0,0
Russell Wilson,7077,QB,16,SEA,2,2,100.0,14,1,80.9,90.3,64.7,75.5,,7.0,6,3.0,15,1,0,0,6,0,135.4,2,0
Sean McGrath,7515,TE,16,SD,2,2,100.0,25,0,56.8,53.5,68.3,64.0,78.9,12.5,21,10.5,13,2,0,0,0,0,118.8,2,0
Gerald Christian,9689,TE,2,BUF,2,1,50.0,14,0,73.4,69.7,64.7,61.2,72.9,14.0,9,9.0,14,1,0,0,0,1,72.9,0,0
Terron Ward,9778,HB,5,ATL,2,1,50.0,11,0,60.7,41.3,28.9,79.8,76.2,11.0,8,8.0,11,1,1,0,0,0,66.7,0,0
Terrell Watson,9889,HB,1,PHI,1,1,100.0,5,0,67.4,63.1,64.7,73.1,,5.0,0,0.0,5,0,0,0,0,0,87.5,0,0
