player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Josh Huff,8721,WR,10,TB,83,21,25.3,45,54.2,12,26.7,8,1,47,1.04,0,11.1,66.7
James White,8765,HB,16,NE,290,76,26.2,18,6.2,6,33.3,4,0,17,0.94,0,0.0,66.7
Daniel Brown,10144,TE,6,CHI,151,20,13.2,50,33.1,3,6.0,2,0,15,0.3,0,0.0,66.7
James Wright,8873,WR,12,CIN,114,19,16.7,13,11.4,3,23.1,2,0,10,0.77,0,0.0,66.7
Zach Miller,5104,TE,10,CHI,304,61,20.1,144,47.4,30,20.8,20,1,249,1.73,1,4.8,66.7
Brandon Coleman,9086,WR,16,NO,193,38,19.7,96,49.7,18,18.8,12,2,112,1.17,2,14.3,66.7
Blake Bell,9550,TE,12,SF,48,8,16.7,17,35.4,3,17.6,2,1,51,3.0,0,33.3,66.7
Sammie Coates,9520,WR,14,PIT,212,49,23.1,24,11.3,3,12.5,2,0,47,1.96,0,0.0,66.7
T.Y. Hilton,7092,WR,16,IND,615,143,23.3,353,57.4,74,21.0,49,3,745,2.11,3,5.8,66.2
Andrew Hawkins,6125,WR,16,CLV,447,50,11.2,397,88.8,44,11.1,29,2,289,0.73,3,6.5,65.9
Gary Barnidge,4455,TE,16,CLV,508,75,14.8,148,29.1,23,15.5,15,0,133,0.9,0,0.0,65.2
Sterling Shepard,10674,WR,16,NYG,610,103,16.9,525,86.1,92,17.5,60,5,636,1.21,8,7.7,65.2
Ted Ginn Jr.,3625,WR,16,CAR,432,89,20.6,77,17.8,14,18.2,9,2,164,2.13,1,18.2,64.3
Mychal Rivera,7965,TE,13,OAK,174,24,13.8,94,54.0,14,14.9,9,2,108,1.15,1,18.2,64.3
Michael Floyd,7019,WR,15,NE,460,72,15.7,129,28.0,14,10.9,9,0,108,0.84,3,0.0,64.3
Adam Humphries,10075,WR,15,TB,440,77,17.5,334,75.9,56,16.8,36,2,395,1.18,1,5.3,64.3
Jalin Marshall,11259,WR,10,NYJ,108,21,19.4,66,61.1,14,21.2,9,1,109,1.65,2,10.0,64.3
Harry Douglas,4398,WR,10,TEN,157,21,13.4,112,71.3,14,12.5,9,0,141,1.26,0,0.0,64.3
Donte Moncrief,8725,WR,9,IND,295,54,18.3,68,23.1,14,20.6,9,1,85,1.25,2,10.0,64.3
Brandin Cooks,8655,WR,16,NO,611,113,18.5,226,37.0,36,15.9,23,2,305,1.35,1,8.0,63.9
Cameron Meredith,10008,WR,14,CHI,428,95,22.2,223,52.1,52,23.3,33,7,409,1.83,1,17.5,63.5
Rishard Matthews,7211,WR,16,TEN,444,104,23.4,110,24.8,27,24.5,17,0,301,2.74,4,0.0,63.0
Julio Jones,6158,WR,14,ATL,452,125,27.7,117,25.9,27,23.1,17,1,229,1.96,1,5.6,63.0
Braxton Miller,10719,WR,10,HST,231,27,11.7,154,66.7,16,10.4,10,1,56,0.36,0,9.1,62.5
Ladarius Green,7110,TE,6,PIT,101,32,31.7,30,29.7,8,26.7,5,1,136,4.53,1,16.7,62.5
Corey Brown,8986,WR,16,CAR,353,45,12.7,282,79.9,32,11.3,20,1,195,0.69,0,4.8,62.5
Walter Powell,8831,WR,9,BUF,174,23,13.2,54,31.0,8,14.8,5,2,37,0.69,0,28.6,62.5
Jordan Taylor,9793,WR,16,DEN,170,24,14.1,74,43.5,8,10.8,5,0,65,0.88,0,0.0,62.5
Coby Fleener,7038,TE,16,NO,474,80,16.9,278,58.6,47,16.9,29,3,395,1.42,2,9.4,61.7
Michael Thomas,10681,WR,15,NO,556,119,21.4,72,12.9,13,18.1,8,0,94,1.31,0,0.0,61.5
DeAndre Hopkins,7808,WR,16,HST,615,138,22.4,120,19.5,31,25.8,19,2,251,2.09,0,9.5,61.3
Antonio Gates,1609,TE,14,SD,389,85,21.9,239,61.4,48,20.1,29,5,290,1.21,2,14.7,60.4
Greg Salas,6264,WR,2,BUF,27,6,22.2,22,81.5,5,22.7,3,0,85,3.86,1,0.0,60.0
Josh Bellamy,7472,WR,12,CHI,172,38,22.1,41,23.8,10,24.4,6,1,93,2.27,0,14.3,60.0
Mike Evans,8642,WR,16,TB,579,168,29.0,115,19.9,25,21.7,15,2,275,2.39,2,11.8,60.0
