year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2018,Jordan Phillips,9485,DI,16,BUF,370,199,15,6,3,13,8,171,3,0,1,2,4,7
2018,Will Compton,8308,LB,7,TEN,76,37,2,3,1,1,6,39,1,0,0,0,1.00E+03,7
2018,Arik Armstead,9450,ED,16,SF,585,272,29,9,3,18,13.7,313,4,0,4,5,2,7
2018,Rafael Bush,5779,CB,15,BUF,435,185,6,7,3,5,5.3,250,23,6,4,6,8.3,7
2018,KeiVarae Russell,10708,CB,6,CIN,134,52,2,0,0,0,1.00E+03,82,10,0,2,1,6,7
2018,Isaiah Irving,12171,ED,9,CHI,104,28,3,1,0,3,1.00E+03,76,2,0,1,2,3,7
2018,Von Miller,6154,ED,16,DEN,803,304,16,10,5,12,6.2,499,3,1,0,17,1.00E+03,7
2018,Ryan Anderson,11804,ED,13,WAS,158,61,6,2,0,5,1.00E+03,97,3,1,2,2,3,7
2018,Janoris Jenkins,7043,CB,16,NYG,1026,414,17,4,4,5,6.3,612,42,3,7,11,7.4,7
2018,Nick Nelson,28495,CB,10,OAK,298,125,5,2,0,3,1.00E+03,173,10,1,3,2,4.7,7
2018,Anthony Zettel,10836,ED,15,CLV,152,56,6,2,1,4,9,96,3,1,1,2,5,7
2018,Treyvon Hester,11999,DI,12,PHI,216,85,9,2,1,7,12,131,1,0,1,1,2,7
2018,David Onyemata,10754,DI,16,NO,585,183,15,5,2,13,11,402,9,1,3,11,4.3,7
2018,Leonard Floyd,10643,ED,16,CHI,765,244,22,7,2,19,15.5,521,9,3,5,6,3.4,6.9
2018,Dean Lowry,10771,DI,16,GB,667,317,32,7,4,23,10.8,350,1,1,3,3,1.7,6.9
2018,Brandon Copeland,8378,ED,16,NYJ,576,192,13,9,3,11,8.3,384,5,2,2,7,4.5,6.8
2018,Orlando Scandrick,4457,CB,15,KC,733,191,6,2,1,1,9,542,37,1,7,14,6.4,6.8
2018,Michael Thomas,7279,S,16,NYG,484,165,16,8,4,9,7,319,19,3,4,5,6.5,6.8
2018,Kwon Alexander,9557,LB,6,TB,346,116,12,7,3,8,7.3,230,24,3,5,12,6.4,6.8
2018,Olivier Vernon,7074,ED,11,NYG,624,232,16,2,3,11,7,392,5,0,1,11,6,6.8
2018,D.J. Swearinger Sr.,7838,S,15,ARZ,924,349,19,3,6,10,4.7,575,28,2,3,9,11,6.8
2018,Myles Garrett,11756,ED,16,CLV,962,370,20,5,1,17,26,592,4,0,4,16,2,6.8
2018,Neville Hewitt,9836,LB,9,NYJ,248,92,11,2,2,10,7.5,156,10,0,2,4,6,6.8
2018,Sean Lee,5580,LB,7,DAL,209,84,12,7,2,10,10.5,125,6,4,3,6,4.3,6.8
2018,Jonathan Bullard,10706,DI,16,CHI,285,99,13,4,2,9,9.5,186,0,0,1,0,1,6.7
2018,Josh Norman,7649,CB,16,WAS,990,381,9,3,7,2,2.7,609,39,6,3,11,16,6.7
2018,Chuck Clark,11941,S,14,BLT,239,71,3,3,1,2,7,168,9,2,2,2,6.5,6.7
2018,Jarrad Davis,11776,LB,16,DET,930,382,40,18,12,23,5.8,548,34,5,5,17,8.8,6.7
2018,Carlton Davis,49335,CB,13,TB,682,286,12,1,2,7,7.5,396,24,3,5,7,6.4,6.7
2018,Daryl Worley,10711,CB,10,OAK,482,249,10,1,4,4,3.8,233,21,2,2,4,12.5,6.7
2018,Star Lotulelei,7795,DI,16,BUF,450,222,13,3,2,7,9,228,1,0,1,0,2,6.7
2018,Micah Hyde,7941,S,15,BUF,837,363,28,4,7,9,5.6,474,24,1,3,10,9.3,6.7
2018,Bobby McCain,9578,CB,14,MIA,770,338,20,1,5,11,5.2,432,28,2,4,9,8.5,6.7
2018,Jordan Poyer,8000,S,16,BUF,963,418,40,12,10,17,6.2,545,34,3,6,6,7.2,6.6
2018,Denzel Perryman,9481,LB,9,LAC,374,165,25,8,6,15,6.5,209,15,2,3,7,6.7,6.6
2018,Josh Jackson,50417,CB,16,GB,684,246,12,1,4,5,4.3,438,29,3,4,5,9,6.6
2018,Michael Johnson,4993,ED,15,CIN,447,229,22,9,6,13,6.2,218,2,0,0,1,1.00E+03,6.5
2018,Brennan Scarlett,11169,LB,8,HST,104,48,5,1,2,3,4,56,5,0,0,2,1.00E+03,6.5
2018,Jourdan Lewis,11846,CB,12,DAL,179,40,1,1,0,1,1.00E+03,139,8,1,2,3,5.5,6.5
2018,Morris Claiborne,7012,CB,15,NYJ,947,359,15,3,2,8,10,588,36,1,8,6,5.6,6.5
2018,Desmond King II,11906,CB,16,LAC,754,248,10,3,3,2,5.3,506,42,6,8,22,7,6.5
2018,Whitney Mercilus,7031,ED,16,HST,752,241,12,6,3,11,7,511,12,3,3,9,6,6.5
2018,Matthew Adams,38526,LB,12,IND,203,118,7,6,1,4,14,85,9,0,3,2,4,6.5
2018,Branden Jackson,11394,ED,9,SEA,247,97,7,3,0,6,1.00E+03,150,1,0,2,2,1.5,6.5
2018,Anthony Levine,6013,S,16,BLT,260,37,5,0,1,4,6,223,14,3,3,5,6.7,6.5
2018,Levi Wallace,25445,CB,7,BUF,399,190,16,7,4,6,6.8,209,12,3,3,5,6,6.4
2018,Javien Elliott,11418,CB,11,TB,336,107,6,1,1,3,8,229,17,3,4,6,6,6.4
2018,Denzel Ward,49558,CB,13,CLV,804,292,13,2,5,3,4,512,37,2,5,9,8.8,6.4
2018,Samson Ebukam,11880,ED,16,LA,659,273,21,9,4,14,8.5,386,4,4,3,5,3.7,6.4
2018,Jordan Whitehead,49196,S,14,TB,630,237,33,7,12,14,4.3,393,29,5,2,6,18,6.3
2018,Mike Hughes,34057,CB,6,MIN,230,79,4,3,0,2,1.00E+03,151,14,0,4,4,4.5,6.3
2018,Mychal Kendricks,7049,LB,4,SEA,177,78,8,4,0,4,1.00E+03,99,4,0,3,4,2.3,6.3
2018,Isaac Yiadom,49355,CB,11,DEN,245,71,2,1,0,1,1.00E+03,174,13,0,3,3,5.3,6.3
2018,Takkarist McKinley,11781,ED,15,ATL,574,188,10,3,1,8,14,386,2,1,2,8,2.5,6.3
2018,Mackensie Alexander,10688,CB,15,MIN,537,180,9,1,2,5,6,357,22,5,5,17,6.4,6.3
2018,Kamalei Correa,10676,ED,13,TEN,311,125,8,4,2,3,7,186,4,0,1,5,5,6.3
2018,Fadol Brown,12246,DI,12,GB,204,106,19,1,4,16,6,98,1,0,0,1,1.00E+03,6.3
2018,Matthias Farley,10953,S,5,IND,140,33,6,0,1,3,7,107,8,2,2,2,6,6.3
2018,Kevin King,11788,CB,6,GB,287,113,4,2,1,1,7,174,9,1,2,1,6,6.3
2018,Nathan Shepherd,24614,DI,16,NYJ,322,170,9,7,3,5,6.3,152,0,0,0,0,,6.3
2018,D.J. Jones,11953,DI,10,SF,234,141,13,3,2,10,9,93,0,0,1,0,1,6.3
2018,Will Parks,10853,S,16,DEN,545,197,9,4,4,6,4.3,348,19,0,2,4,10.5,6.3
2018,Damontae Kazee,11904,S,16,ATL,937,357,29,11,8,5,6,580,36,8,8,4,6.5,6.3
2018,Charles Harris,11777,ED,11,MIA,329,157,9,4,2,4,7.5,172,3,0,1,3,4,6.3
2018,Torry McTyer,49357,CB,13,MIA,327,118,4,3,0,0,1.00E+03,209,18,1,5,5,4.8,6.2
2018,Tre'Davious White,11782,CB,16,BUF,914,389,14,1,6,5,3.5,525,34,3,4,6,10.3,6.2
2018,Xavien Howard,10672,CB,12,MIA,756,324,7,2,1,3,10,432,21,1,5,7,5.4,6.2
2018,Jamie Collins Sr.,7833,LB,16,CLV,1015,403,45,14,9,31,7.6,612,36,6,11,16,4.8,6.1
2018,Alec Ogletree,7811,LB,13,NYG,834,349,30,16,9,19,6.1,485,29,7,7,15,6.1,6.1
2018,Donte Jackson,49377,CB,16,CAR,850,313,19,6,10,7,3.5,537,50,2,5,19,11.4,6.1
2018,Chris Wormley,11829,DI,16,BLT,376,156,11,2,2,7,7.5,220,2,0,1,2,3,6
2018,Stephen Weatherly,10861,ED,16,MIN,506,198,21,2,5,18,5.6,308,7,0,1,5,8,6
2018,Quinton Jefferson,10781,DI,16,SEA,535,183,12,3,2,10,8.5,352,4,1,2,5,3.5,6
2018,Eric Reid,7799,S,13,CAR,704,269,32,3,8,13,5.4,435,22,3,4,5,7.3,6
2018,Terrence Brooks,8714,S,3,NYJ,66,20,1,0,1,0,2,46,3,1,0,1,1.00E+03,6
2018,Cassius Marsh,8743,ED,16,SF,518,127,18,4,4,14,6.5,391,7,1,2,11,5,6
2018,Jay Bromley,8709,DI,2,NO,26,13,1,2,1,1,4,13,0,2,0,0,1.00E+03,6
2018,Solomon Thomas,11758,ED,16,SF,613,285,20,4,3,12,9,328,6,0,3,4,3,6
2018,Barkevious Mingo,7787,ED,16,SEA,497,227,12,4,3,7,6.3,270,13,6,4,5,5.8,6
2018,Kevin Minter,7826,LB,4,TB,22,12,1,1,1,1,3,10,3,0,0,2,1.00E+03,6
2018,Andre Branch,7042,ED,14,MIA,447,178,13,3,3,8,6.3,269,4,0,1,4,5,6
2018,Dawuane Smoot,11823,ED,8,JAX,155,37,3,1,1,3,5,118,1,0,0,1,1.00E+03,6
2018,Shaquem Griffin,50657,LB,3,SEA,48,14,2,1,0,1,1.00E+03,34,1,1,1,0,3,6
2018,Andre Hal,8850,S,8,HST,232,38,1,1,0,0,1.00E+03,194,8,0,2,2,5,6
2018,Peter Kalambayi,50089,LB,6,HST,32,15,0,2,0,0,1.00E+03,17,1,2,1,0,4,6
2018,Darius Kilgo,9636,DI,11,TEN,126,72,4,1,0,2,1.00E+03,54,0,0,1,0,1,6
2018,Greg Mabin,12068,CB,8,SF,159,84,4,1,2,2,3.5,75,4,1,0,1,1.00E+03,6
2018,Keion Crossen,49454,CB,6,NE,39,6,0,0,0,0,,33,5,0,1,0,6,6
2018,Bashaud Breeland,8737,CB,7,GB,318,135,6,1,2,3,4.5,183,12,1,2,3,7.5,6
2018,Jermaine Carter,28838,LB,8,CAR,83,40,2,3,1,1,6,43,4,1,1,2,6,6
2018,Taron Johnson,49511,CB,11,BUF,381,121,14,3,4,7,5.3,260,20,2,4,10,6.5,5.9
2018,Brian Poole,11052,CB,16,ATL,778,245,12,6,6,6,4,533,43,7,8,17,7.3,5.9
2018,Marlon Humphrey,11771,CB,14,BLT,670,208,8,4,2,3,7,462,31,1,7,5,5.6,5.9
2018,Leonard Williams,9439,DI,16,NYJ,824,313,25,7,4,22,9,511,1,1,3,6,1.7,5.9
2018,Jalen Mills,10867,CB,8,PHI,443,126,4,1,2,3,3.5,317,32,2,6,6,6.7,5.9
