player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Nick Vigil,10721,LB,11,CIN,405,48,11.9,0,1,5,6,6.3,28,60.9,0,1,2,3,5.4,18,39.1,0,0,2,2,5.6
Fabian Moreau,11836,CB,16,WAS,536,8,1.5,0,0,1,1,6.3,4,50.0,0,0,0,0,0.0,4,50.0,0,0,1,1,12.5
Sheldon Day,10737,DI,12,SF,160,158,98.8,2,1,15,18,6.3,95,64.6,0,0,11,11,5.8,52,35.4,1,1,3,5,5.8
Lorenzo Carter,50126,ED,15,NYG,298,263,88.3,4,8,17,29,6.3,200,77.2,4,8,14,26,7.5,59,22.8,0,0,2,2,1.7
Nick Kwiatkoski,10747,LB,10,CHI,74,8,10.8,0,1,0,1,6.3,1,20.0,0,0,0,0,0.0,4,80.0,0,1,0,1,12.5
Kevin Pierre-Louis,8767,LB,5,NYJ,30,8,26.7,0,0,1,1,6.3,2,28.6,0,0,1,1,25.0,5,71.4,0,0,0,0,0.0
Geneo Grissom,9530,ED,1,NE,16,16,100.0,0,0,2,2,6.3,15,93.8,0,0,2,2,6.7,1,6.3,0,0,0,0,0.0
Charles Harris,11777,ED,11,MIA,172,167,97.1,1,3,16,20,6.3,143,85.6,1,3,16,20,7.3,24,14.4,0,0,0,0,0.0
Derek Barnett,11769,ED,6,PHI,160,159,99.4,3,5,9,17,6.3,2,1.3,0,0,1,1,25.0,157,98.7,3,5,8,16,6.1
Ufomba Kamalu,11164,ED,2,NE,16,16,100.0,0,0,2,2,6.3,8,50.0,0,0,1,1,6.3,8,50.0,0,0,1,1,6.3
Christian Covington,9649,DI,12,HST,185,178,96.2,4,4,10,18,6.2,81,50.6,2,1,2,5,4.3,79,49.4,2,3,7,12,8.9
Jadeveon Clowney,8636,ED,15,HST,577,550,95.3,9,12,38,59,6.2,64,11.8,1,2,3,6,5.5,480,88.2,8,10,35,53,6.4
Jamie Collins Sr.,7833,LB,16,CLV,609,130,21.3,3,2,8,13,6.2,67,54.9,3,1,4,8,8.2,55,45.1,0,0,3,3,2.7
