player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Bobby Rainey Jr.,7511,HB,4,BLT,6,5,0,5,0.0
Sean McGrath,7515,TE,13,LAC,4,4,0,4,0.0
Brenton Bersin,7516,WR,8,CAR,13,8,0,8,0.0
Jamize Olawale,7572,FB,7,OAK,7,6,0,6,0.0
Bernard Reedy,9228,WR,5,NE,2,2,0,2,0.0
Marcus Williams,9115,CB,1,HST,1,1,0,1,0.0
Tyler Eifert,7802,TE,2,CIN,5,4,0,4,0.0
Ryan Hewitt,9107,TE,11,CIN,2,2,0,2,0.0
Justin Hunter,7815,WR,7,PIT,9,4,0,4,0.0
Xavier Grimble,9092,TE,12,PIT,8,5,0,5,0.0
Brandon Coleman,9086,WR,16,NO,34,23,0,23,0.0
Doug Baldwin,6615,WR,16,SEA,112,75,1,76,1.3
Kyle Rudolph,6195,TE,16,MIN,76,57,1,58,1.7
James White,8765,HB,14,NE,68,56,1,57,1.8
Michael Thomas,10681,WR,16,NO,139,104,2,106,1.9
DeSean Jackson,4363,WR,14,TB,87,50,1,51,2.0
Shane Vereen,6208,HB,16,NYG,52,44,1,45,2.2
Tyler Lockett,9502,WR,16,SEA,68,45,1,46,2.2
Chris Thompson,7936,HB,10,WAS,51,39,1,40,2.5
Deonte Thompson,7513,WR,16,BUF,67,38,1,39,2.6
Kyle Juszczyk,7912,FB,14,SF,39,33,1,34,2.9
Taylor Gabriel,9002,WR,16,ATL,48,33,1,34,2.9
Randall Cobb,6216,WR,15,GB,85,66,2,68,2.9
Todd Gurley II,9443,HB,15,LA,76,64,2,66,3.0
Jaron Brown,8128,WR,16,ARZ,64,31,1,32,3.1
Cordarrelle Patterson,7810,WR,16,OAK,41,31,1,32,3.1
Jason Witten,1384,TE,16,DAL,80,63,2,65,3.1
Antonio Gates,1609,TE,16,LAC,44,30,1,31,3.2
Devontae Booker,10770,HB,13,DEN,36,30,1,31,3.2
JuJu Smith-Schuster,11817,WR,14,PIT,77,58,2,60,3.3
Isaiah Crowell,9295,HB,16,CLV,39,28,1,29,3.4
Larry Fitzgerald,1724,WR,16,ARZ,153,109,4,113,3.5
Jordan Reed,7866,TE,6,WAS,33,27,1,28,3.6
Christian McCaffrey,11763,HB,16,CAR,106,80,3,83,3.6
Ted Ginn Jr.,3625,WR,15,NO,69,53,2,55,3.6
Jordy Nelson,4350,WR,15,GB,84,53,2,55,3.6
Tarik Cohen,11874,HB,16,CHI,65,53,2,55,3.6
Jalen Richard,11395,HB,16,OAK,31,27,1,28,3.6
O.J. Howard,11774,TE,14,TB,36,26,1,27,3.7
Ezekiel Elliott,10638,HB,10,DAL,33,26,1,27,3.7
Austin Seferian-Jenkins,8673,TE,13,NYJ,71,50,2,52,3.8
Delanie Walker,3120,TE,16,TEN,103,73,3,76,3.9
Duke Johnson Jr.,9510,HB,16,CLV,89,73,3,76,3.9
Rhett Ellison,7128,TE,16,NYG,28,24,1,25,4.0
Trey Burton,9185,TE,15,PHI,30,23,1,24,4.2
Golden Tate,5585,WR,16,DET,117,92,4,96,4.2
Nick O'Leary,9627,TE,15,BUF,30,22,1,23,4.3
Jeremy Kerley,6305,WR,8,NYJ,25,22,1,23,4.3
Jesse James,9593,TE,16,PIT,61,43,2,45,4.4
Devin Funchess,9474,WR,16,CAR,109,63,3,66,4.5
Le'Veon Bell,7829,HB,15,PIT,103,85,4,89,4.5
A.J. Derby,9635,TE,11,MIA,38,21,1,22,4.5
Jermaine Kearse,7428,WR,16,NYJ,95,64,3,67,4.5
Chris Ivory,6007,HB,12,JAX,25,21,1,22,4.5
Benjamin Watson,1753,TE,16,BLT,77,61,3,64,4.7
Antonio Brown,5718,WR,14,PIT,155,101,5,106,4.7
Laquon Treadwell,10657,WR,16,MIN,33,20,1,21,4.8
Damien Williams,9205,HB,11,MIA,26,20,1,21,4.8
Benny Cunningham,8283,HB,13,CHI,25,20,1,21,4.8
Jack Doyle,8520,TE,15,IND,102,80,4,84,4.8
Jeremy Maclin,4942,WR,12,BLT,67,40,2,42,4.8
Kendall Wright,7026,WR,16,CHI,82,59,3,62,4.8
Zach Miller,5104,TE,8,CHI,34,20,1,21,4.8
Kenny Stills,7926,WR,16,MIA,101,58,3,61,4.9
DeMarco Murray,6223,HB,15,TEN,44,39,2,41,4.9
Allen Hurns,8931,WR,10,JAX,54,39,2,41,4.9
Alshon Jeffery,7048,WR,16,PHI,113,57,3,60,5.0
DeAndre Hopkins,7808,WR,15,HST,164,96,5,101,5.0
Cody Latimer,8691,WR,11,DEN,27,19,1,20,5.0
Tyreek Hill,10799,WR,15,KC,102,75,4,79,5.1
Zach Ertz,7816,TE,14,PHI,102,74,4,78,5.1
Robert Woods,7822,WR,12,LA,80,56,3,59,5.1
Adam Thielen,8288,WR,16,MIN,135,91,5,96,5.2
Jonnu Smith,11855,TE,16,TEN,28,18,1,19,5.3
Matt Forte,4358,HB,12,NYJ,43,36,2,38,5.3
Mike Evans,8642,WR,15,TB,132,71,4,75,5.3
Cole Beasley,7330,WR,15,DAL,57,36,2,38,5.3
Tavarres King,7943,WR,8,NYG,32,18,1,19,5.3
Leonard Fournette,11759,HB,13,JAX,43,36,2,38,5.3
Josh Gordon,7618,WR,5,CLV,41,18,1,19,5.3
Kareem Hunt,11841,HB,16,KC,62,53,3,56,5.4
Mike Wallace,5007,WR,15,BLT,87,52,3,55,5.5
Darren Fells,8549,TE,16,DET,23,17,1,18,5.6
Elijah McGuire,11943,HB,14,NYJ,26,17,1,18,5.6
Corey Davis,11760,WR,11,TEN,64,34,2,36,5.6
J.D. McKissic,11047,HB,13,SEA,44,34,2,36,5.6
Jerick McKinnon,8731,HB,16,MIN,61,51,3,54,5.6
Chris Godwin,11839,WR,16,TB,54,34,2,36,5.6
D.J. Foster,11214,HB,7,ARZ,27,17,1,18,5.6
Alvin Kamara,11822,HB,16,NO,96,81,5,86,5.8
Peyton Barber,10927,HB,13,TB,18,16,1,17,5.9
Kendrick Bourne,12270,WR,11,SF,31,16,1,17,5.9
Stefon Diggs,9579,WR,14,MIN,94,64,4,68,5.9
Cameron Brate,9207,TE,16,TB,73,48,3,51,5.9
Jarvis Landry,8698,WR,16,MIA,156,112,7,119,5.9
Travaris Cadet,7457,HB,7,BUF,19,16,1,17,5.9
Javorius Allen,9558,HB,16,BLT,55,46,3,49,6.1
Danny Amendola,4717,WR,15,NE,80,61,4,65,6.2
Marvin Jones Jr.,7158,WR,16,DET,105,61,4,65,6.2
Adam Humphries,10075,WR,16,TB,82,61,4,65,6.2
Ryan Grant,8777,WR,16,WAS,63,45,3,48,6.3
A.J. Green,6156,WR,16,CIN,134,75,5,80,6.3
Sterling Shepard,10674,WR,11,NYG,83,59,4,63,6.3
Hunter Henry,10669,TE,14,LAC,60,45,3,48,6.3
Ed Dickson,5595,TE,16,CAR,44,30,2,32,6.3
Davante Adams,8688,WR,14,GB,108,74,5,79,6.3
Joe Mixon,11803,HB,14,CIN,34,30,2,32,6.3
Latavius Murray,7962,HB,16,MIN,17,15,1,16,6.3
Rex Burkhead,7971,HB,10,NE,36,30,2,32,6.3
Mike Davis,9559,HB,6,SEA,17,15,1,16,6.3
T.J. Yeldon,9469,HB,10,JAX,35,30,2,32,6.3
Frank Gore,2282,HB,16,IND,36,29,2,31,6.5
Mark Ingram II,6180,HB,16,NO,65,58,4,62,6.5
DeVante Parker,9447,WR,13,MIA,95,57,4,61,6.6
T.Y. Hilton,7092,WR,16,IND,102,57,4,61,6.6
Keelan Cole,51593,WR,16,JAX,73,42,3,45,6.7
Kapri Bibbs,8906,HB,3,WAS,16,14,1,15,6.7
Albert Wilson,8943,WR,13,KC,56,42,3,45,6.7
James O'Shaughnessy,9606,TE,16,JAX,21,14,1,15,6.7
Rob Gronkowski,5567,TE,14,NE,100,69,5,74,6.8
Julius Thomas,6281,TE,14,MIA,59,41,3,44,6.8
Rashard Higgins,10806,WR,15,CLV,46,27,2,29,6.9
Mohamed Sanu,7084,WR,15,ATL,94,67,5,72,6.9
Austin Ekeler,12164,HB,13,LAC,31,27,2,29,6.9
Rishard Matthews,7211,WR,14,TEN,84,53,4,57,7.0
Theo Riddick,7980,HB,16,DET,68,53,4,57,7.0
Brandon Williams,7876,TE,14,IND,15,13,1,14,7.1
Niles Paul,6307,TE,14,WAS,18,13,1,14,7.1
Brandon LaFell,5602,WR,16,CIN,86,52,4,56,7.1
Andre Holmes,6489,WR,14,BUF,23,13,1,14,7.1
Andre Ellington,7968,HB,12,HST,56,39,3,42,7.1
Brent Celek,3778,TE,16,PHI,23,13,1,14,7.1
Wendell Smallwood,10787,HB,7,PHI,16,13,1,14,7.1
Tavon Austin,7789,WR,16,LA,21,13,1,14,7.1
Martavis Bryant,8753,WR,15,PIT,81,50,4,54,7.4
Jordan Matthews,8677,WR,10,BUF,34,25,2,27,7.4
Tyler Higbee,10744,TE,16,LA,42,25,2,27,7.4
Nelson Agholor,9453,WR,16,PHI,91,62,5,67,7.5
