player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Cameron Brate,9207,TE,16,TB,73,48,591,393,1.5
Jordan Reed,7866,TE,6,WAS,33,27,211,141,1.5
Kendall Wright,7026,WR,16,CHI,82,59,614,409,1.5
Tevin Coleman,9506,HB,15,ATL,36,27,299,200,1.5
JoJo Natson,12739,WR,4,NYJ,5,2,18,12,1.5
Travis Benjamin,7100,WR,16,LAC,63,34,567,381,1.49
T.J. Jones,8824,WR,14,DET,45,30,399,267,1.49
Melvin Gordon III,9448,HB,16,LAC,73,58,476,319,1.49
Maurice Harris,11035,WR,6,WAS,6,4,62,42,1.48
Andre Ellington,7968,HB,12,HST,56,39,369,249,1.48
Trey Burton,9185,TE,15,PHI,30,23,248,169,1.47
DeVante Parker,9447,WR,13,MIA,95,57,670,458,1.46
Evan Engram,11778,TE,15,NYG,108,64,722,496,1.46
Neal Sterling,9653,TE,9,NYJ,12,6,82,56,1.46
Ryan Grant,8777,WR,16,WAS,63,45,573,393,1.46
Dede Westbrook,11865,WR,7,JAX,49,27,339,233,1.45
Christian McCaffrey,11763,HB,16,CAR,106,80,651,448,1.45
Alshon Jeffery,7048,WR,16,PHI,113,57,789,549,1.44
Jeremy Maclin,4942,WR,12,BLT,67,40,440,308,1.43
Eric Ebron,8645,TE,16,DET,81,53,574,401,1.43
Nick Williams,8005,WR,1,ATL,4,3,30,21,1.43
Mack Hollins,11873,WR,16,PHI,21,16,226,159,1.42
Darrius Heyward-Bey,4930,WR,11,PIT,3,2,47,33,1.42
Brian Quick,7037,WR,7,WAS,8,6,76,54,1.41
George Kittle,11901,TE,15,SF,60,42,512,363,1.41
Elijhaa Penny,11300,HB,10,ARZ,5,4,38,27,1.41
Will Fuller V,10655,WR,10,HST,47,28,423,300,1.41
Damien Williams,9205,HB,11,MIA,26,20,155,110,1.41
Tyrell Williams,10154,WR,16,LAC,68,43,728,521,1.4
J.J. Nelson,9592,WR,16,ARZ,59,29,508,364,1.4
Deonte Thompson,7513,WR,16,BUF,67,38,555,396,1.4
Marlon Mack,11898,HB,14,IND,30,21,225,161,1.4
Nick Vannett,10728,TE,15,SEA,15,12,124,89,1.39
Leonard Fournette,11759,HB,13,JAX,43,36,302,218,1.39
Josh Bellamy,7472,WR,13,CHI,44,24,376,271,1.39
