year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2017,Danny Amendola,4717,WR,15,NE,80,61,76.3,659,2,72.1,71.4,66.2,61.7,,10.8,202,3.3,27,39,4,1,1,5,103.1,3,1
2017,Kelvin Benjamin,8663,WR,14,BUF,78,48,61.5,692,3,71.2,71,56.7,79.1,,14.4,145,3,43,30,5,2,0,3,92.5,1,0
2017,Benjamin Watson,1753,TE,16,BLT,77,61,79.2,522,4,60.7,62.5,70.7,43.4,72.8,8.6,257,4.2,33,30,3,2,1,2,101.4,1,0
2017,JuJu Smith-Schuster,11817,WR,14,PIT,77,58,75.3,917,7,76.5,77.6,82.4,82.2,,15.8,394,6.8,97,39,2,2,0,9,134,7,1
2017,Kyle Rudolph,6195,TE,16,MIN,76,57,75,532,8,71.4,75.8,88.6,80,68.1,9.3,230,4,34,32,1,2,0,3,117.9,1,0
2017,Todd Gurley II,9443,HB,15,LA,76,64,84.2,788,6,83.4,91.1,85.4,52.4,69.7,12.3,807,12.6,80,32,2,3,0,19,119.7,0,0
2017,Terrance Williams,7855,WR,16,DAL,75,53,70.7,568,0,65.3,63.3,48,80.1,,10.7,237,4.5,56,32,5,4,0,4,70.3,2,0
2017,Cameron Brate,9207,TE,16,TB,73,48,65.8,591,6,73.6,74.8,70.9,79.1,35.6,12.3,157,3.3,35,34,3,2,1,2,106.6,1,0
2017,Melvin Gordon III,9448,HB,16,LAC,73,58,79.5,476,4,72.3,72,62.4,87.6,55.8,8.2,496,8.6,49,22,5,0,0,18,112.1,2,0
2017,Keelan Cole,51593,WR,16,JAX,73,42,57.5,748,3,72.4,70.3,68.2,23.8,,17.8,287,6.8,75,31,3,3,2,4,89.3,2,0
2017,Charles Clay,6326,TE,13,BUF,72,49,68.1,558,2,71.1,73.1,46.9,39.8,55.5,11.4,255,5.2,44,28,7,3,1,5,83,2,0
2017,Josh Doctson,10656,WR,16,WAS,72,35,48.6,502,6,62.5,62.5,62.1,77.5,60.5,14.3,131,3.7,52,25,3,2,0,3,87.8,2,0
2017,LeSean McCoy,4976,HB,16,BUF,72,59,81.9,448,2,75.8,74.7,63.8,78.2,73.3,7.6,416,7.1,39,23,5,1,0,10,96.1,1,0
2017,Austin Seferian-Jenkins,8673,TE,13,NYJ,71,50,70.4,357,3,60.8,61,79.6,79.5,71.2,7.1,112,2.2,28,18,2,0,1,5,95.8,9,0
2017,Roger Lewis Jr.,11246,WR,15,NYG,71,36,50.7,416,2,58.5,58.9,63.4,77.6,70.7,11.6,78,2.2,34,21,3,5,0,2,48.8,4,0
2017,Ted Ginn Jr.,3625,WR,15,NO,69,53,76.8,787,4,68.5,69.8,80.8,60.7,66.1,14.8,292,5.5,54,32,2,1,0,2,126.9,2,0
2017,Theo Riddick,7980,HB,16,DET,68,53,77.9,444,2,71,75.9,67.9,69.5,78.8,8.4,434,8.2,63,20,4,1,0,23,97.5,0,0
2017,Tyler Lockett,9502,WR,16,SEA,68,45,66.2,555,2,67.3,67.2,86.5,90.4,68.1,12.3,188,4.2,74,23,1,1,0,2,94.9,2,0
2017,Tyrell Williams,10154,WR,16,LAC,68,43,63.2,728,4,62,62.4,47.6,32.9,66.4,16.9,337,7.8,75,29,6,2,1,6,106.7,3,0
2017,Vernon Davis,2951,TE,16,WAS,68,43,63.2,648,3,61.7,68.5,52.3,23,58,15.1,302,7,69,23,5,2,2,10,96.9,5,0
2017,James White,8765,HB,14,NE,68,56,82.4,429,3,68.1,80.1,88.6,85.5,61.5,7.7,331,5.9,27,25,1,1,0,7,101.5,1,0
2017,Jeremy Maclin,4942,WR,12,BLT,67,40,59.7,440,3,69.1,68.9,74.3,78.1,66.2,11,113,2.8,48,23,2,2,0,2,81.7,0,0
2017,Deonte Thompson,7513,WR,16,BUF,67,38,56.7,555,2,65.7,64.7,81.5,41.4,,14.6,97,2.6,46,25,1,4,0,2,68.9,5,1
2017,Sammy Watkins,8639,WR,15,LA,66,39,59.1,593,8,71.5,69.1,90,78.2,74.7,15.2,188,4.8,67,33,0,1,0,2,122,1,0
2017,Pierre Garcon,4519,WR,8,SF,65,40,61.5,500,0,77.5,76.3,90.2,78.3,,12.5,177,4.4,59,25,0,1,0,4,79,1,0
2017,Mark Ingram II,6180,HB,16,NO,65,58,89.2,416,0,71.8,69.9,70.4,62.6,65.1,7.2,511,8.8,54,19,4,0,1,11,93.3,3,2
2017,Seth Roberts,9079,WR,15,OAK,65,43,66.2,455,1,54,54.6,54.6,23.6,,10.6,108,2.5,29,22,4,2,2,1,78.7,7,0
2017,Zay Jones,11792,WR,15,BUF,65,27,41.5,316,2,55.2,52.9,36.2,75.9,,11.7,69,2.6,33,19,5,1,0,1,60.8,1,1
2017,Tarik Cohen,11874,HB,16,CHI,65,53,81.5,353,1,77.5,84.9,81.8,49.5,66.2,6.7,327,6.2,70,9,2,0,0,23,94.4,0,0
2017,Jaron Brown,8128,WR,16,ARZ,64,31,48.4,477,4,59.4,57.9,78.9,77,42.1,15.4,96,3.1,52,23,1,1,0,0,87.8,2,0
2017,Corey Davis,11760,WR,11,TEN,64,34,53.1,375,0,60.1,61.5,70.9,28.4,,11,117,3.4,37,17,2,3,1,7,51.2,0,0
2017,Torrey Smith,6210,WR,16,PHI,63,36,57.1,430,2,52,52.2,30.9,77.9,,11.9,122,3.4,59,11,7,1,0,1,82.1,1,0
2017,Ryan Grant,8777,WR,16,WAS,63,45,71.4,573,4,69.1,68.5,69.9,78.9,,12.7,240,5.3,40,30,3,3,0,6,100.8,1,1
2017,Travis Benjamin,7100,WR,16,LAC,63,34,54,567,4,66.7,66.4,53.7,86.2,,16.7,215,6.3,62,20,4,4,0,6,79.3,0,0
2017,Kareem Hunt,11841,HB,16,KC,62,53,85.5,455,3,82.4,79.1,73.5,87.1,44.8,8.6,400,7.5,78,18,3,0,0,16,113.4,1,0
2017,Austin Hooper,10715,TE,16,ATL,62,49,79,526,3,62.5,59,51,79.2,63.9,10.7,267,5.4,88,19,6,3,0,7,98,6,0
2017,Jerick McKinnon,8731,HB,16,MIN,61,51,83.6,421,2,77.8,82.7,81.2,53.2,77.5,8.3,468,9.2,41,20,3,1,0,9,99.5,0,0
2017,Jesse James,9593,TE,16,PIT,61,43,70.5,372,3,57,54.9,67.7,78.4,59.1,8.7,183,4.3,32,20,2,0,0,5,102.6,2,0
2017,George Kittle,11901,TE,15,SF,61,43,70.5,515,2,65.8,67.5,60.1,78.5,50.7,12,265,6.2,44,23,4,2,0,8,93.3,3,0
2017,Hunter Henry,10669,TE,14,LAC,60,45,75,579,4,87.2,86.7,68.8,78.9,68.9,12.9,199,4.4,34,32,3,0,0,1,127,0,0
2017,J.J. Nelson,9592,WR,16,ARZ,59,29,49.2,508,2,59,58.2,28.3,28.1,,17.5,60,2.1,46,21,7,5,1,2,54.9,1,0
2017,Trent Taylor,11932,WR,15,SF,59,43,72.9,430,2,68.4,66.6,61.2,29.7,69.6,10,190,4.4,33,28,4,3,0,4,83.3,2,0
2017,Tyler Kroft,9518,TE,16,CIN,59,42,71.2,404,7,60.4,62.7,59,78.3,66.6,9.6,193,4.6,59,22,4,0,0,4,129.5,2,0
2017,Julius Thomas,6281,TE,14,MIA,59,41,69.5,388,3,62.5,66.9,67.4,30.4,74.9,9.5,153,3.7,27,19,3,2,1,4,90.2,2,0
2017,Chris Hogan,6468,WR,9,NE,58,34,58.6,439,5,61,61.2,61.3,78.4,,12.9,167,4.9,47,22,3,1,0,1,104,3,1
2017,David Njoku,11784,TE,16,CLV,58,32,55.2,386,4,66.4,71.1,59.7,77.1,32.8,12.1,148,4.6,34,17,3,2,0,2,84.4,7,2
2017,Cole Beasley,7330,WR,15,DAL,57,36,63.2,314,4,59.9,59.3,72.7,78.5,,8.7,116,3.2,54,20,2,2,0,1,86.4,0,0
2017,Albert Wilson,8943,WR,13,KC,56,42,75,554,3,75.5,74.9,68,79.4,68.6,13.2,317,7.5,63,32,3,0,0,15,123.7,0,0
2017,Andre Ellington,7968,HB,12,HST,56,39,69.6,369,0,61.7,62.9,66.3,81.6,71.8,9.5,264,6.8,29,16,3,2,0,3,72.7,1,1
2017,Ricardo Louis,10748,WR,15,CLV,55,27,49.1,357,0,53.1,52,27.5,76.1,62.3,13.2,83,3.1,37,18,7,2,0,3,54.9,1,0
2017,Javorius Allen,9558,HB,16,BLT,55,46,83.6,250,2,68.7,71,77.3,90.4,66.3,5.4,222,4.8,20,16,3,0,0,3,97.7,1,1
2017,Allen Hurns,8931,WR,10,JAX,54,39,72.2,484,2,73.8,72.6,73.5,77.9,65.7,12.4,170,4.4,50,28,2,3,0,3,88.8,1,0
2017,Chris Godwin,11839,WR,16,TB,54,34,63,525,1,81.9,80.4,70.5,77.5,,15.4,173,5.1,70,27,2,2,0,8,85.8,0,0
2017,Bennie Fowler,8914,WR,16,DEN,54,29,53.7,350,3,56,56.8,47.7,76.8,,12.1,100,3.4,29,18,4,5,0,2,53.8,2,1
2017,Seth DeValve,10772,TE,16,CLV,53,33,62.3,395,1,59.3,61.5,54.6,28.6,29.6,12,170,5.2,49,18,4,3,1,2,67.7,5,1
2017,Giovani Bernard,7818,HB,16,CIN,53,43,81.1,389,2,67.3,69.8,68.8,89.7,81.8,9,446,10.4,61,16,4,0,0,4,109.8,3,0
2017,Shane Vereen,6208,HB,16,NYG,52,44,84.6,253,0,57.9,66.8,84.3,86.2,53.6,5.8,251,5.7,20,8,1,0,0,3,86.9,0,0
2017,John Brown,8726,WR,10,ARZ,51,21,41.2,299,3,58,58.8,38.7,75.2,,14.2,60,2.9,52,15,3,2,0,0,64.1,1,0
2017,Chris Thompson,7936,HB,10,WAS,51,39,76.5,510,4,74.2,89.9,82.2,42.5,63.1,13.1,479,12.3,74,22,1,1,1,7,125.4,0,0
2017,Corey Coleman,10649,WR,9,CLV,50,23,46,305,2,60.3,61.8,37.7,75.5,61.6,13.3,27,1.2,44,16,4,3,0,2,54.2,5,0
2017,Bruce Ellington,8741,WR,11,HST,50,29,58,330,2,57,55.9,57,29.8,,11.4,127,4.4,35,13,3,2,1,3,74.6,2,1
2017,Stephen Anderson,11160,TE,15,HST,50,25,50,342,1,58,58.5,33.4,75.5,77.9,13.7,100,4,42,18,5,3,0,1,53.9,1,0
2017,Dede Westbrook,11865,WR,7,JAX,49,27,55.1,339,1,60.7,60,45.2,26.8,,12.6,90,3.3,29,15,4,1,1,3,75.1,3,0
2017,Taylor Gabriel,9002,WR,16,ATL,48,33,68.8,378,1,64.7,65.1,79.4,78.9,,11.5,220,6.7,40,17,1,1,0,5,90.5,1,0
