player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
D.J. Foster,11214,HB,7,ARZ,27,0,0,0,0,0,0,0.0,,
Chris Matthews,6820,WR,5,BLT,6,0,0,0,0,0,0,0.0,,
Ed Eagan,11121,WR,1,NYG,1,0,0,0,0,0,0,0.0,,
Patrick DiMarco,6997,FB,14,BUF,10,0,0,0,0,0,0,0.0,,
Rob Kelley,11090,HB,7,WAS,5,0,0,0,0,0,0,0.0,,
Doug Martin,7035,HB,11,TB,17,0,0,0,0,0,0,0.0,,
Byron Marshall,11076,HB,3,WAS,8,0,0,0,0,0,0,0.0,,
Kalif Raymond,11028,WR,3,NYG,1,0,0,0,0,0,0,0.0,,
Leonard Wester,10944,T,1,TB,1,0,0,0,0,0,0,0.0,,
Peyton Barber,10927,HB,13,TB,18,0,0,0,0,0,0,0.0,,
Robert Turbin,7106,HB,6,IND,11,0,0,0,0,0,0,0.0,,
Rhett Ellison,7128,TE,16,NYG,28,0,0,0,0,0,0,0.0,,
Josh Ferguson,10907,HB,3,IND,4,0,0,0,0,0,0,0.0,,
Alfred Morris,7165,HB,13,DAL,8,0,0,0,0,0,0,0.0,,
Charone Peake,10875,WR,3,NYJ,1,0,0,0,0,0,0,0.0,,
Dwayne Washington,10870,HB,5,DET,2,0,0,0,0,0,0,0.0,,
Derek Watt,10832,FB,13,LAC,3,0,0,0,0,0,0,0.0,,
Phillip Supernaw,7324,TE,12,TEN,6,0,0,0,0,0,0,0.0,,
Danny Vitale,10831,FB,14,CLV,4,0,0,0,0,0,0,0.0,,
Lance Dunbar,7332,HB,3,LA,2,0,0,0,0,0,0,0.0,,
Griff Whalen,7351,WR,2,BLT,5,0,0,0,0,0,0,0.0,,
Derrick Coleman,7377,FB,15,ATL,6,0,0,0,0,0,0,0.0,,
Derek Carrier,7406,TE,14,LA,11,0,0,0,0,0,0,0.0,,
Andy Janovich,10810,FB,15,DEN,6,0,0,0,0,0,0,0.0,,
Brandon Bolden,7469,HB,2,NE,2,0,0,0,0,0,0,0.0,,
Alex Collins,10805,HB,13,BLT,32,0,0,0,0,0,0,0.0,,
Brittan Golden,7481,WR,8,ARZ,9,0,0,0,0,0,0,0.0,,
Bobby Rainey Jr.,7511,HB,4,BLT,6,0,0,0,0,0,0,0.0,,
Wendell Smallwood,10787,HB,7,PHI,16,0,0,0,0,0,0,0.0,,
Sean McGrath,7515,TE,13,LAC,4,0,0,0,0,0,0,0.0,,
Jordan Howard,10784,HB,16,CHI,31,0,0,0,0,0,0,0.0,,
Jamize Olawale,7572,FB,7,OAK,7,0,0,0,0,0,0,0.0,,
Paul Perkins,10783,HB,6,NYG,9,0,0,0,0,0,0,0.0,,
DeAndre Washington,10777,HB,15,OAK,43,0,0,0,0,0,0,0.0,,
Derrick Henry,10679,HB,16,TEN,14,0,0,0,0,0,0,0.0,,
Giovani Bernard,7818,HB,16,CIN,53,0,0,0,0,0,0,0.0,,
Ezekiel Elliott,10638,HB,10,DAL,33,0,0,0,0,0,0,0.0,,
Le'Veon Bell,7829,HB,15,PIT,103,0,0,0,0,0,0,0.0,,
Roosevelt Nix,10269,FB,13,PIT,3,0,0,0,0,0,0,0.0,,
Eddie Lacy,7842,HB,8,SEA,6,0,0,0,0,0,0,0.0,,
Mack Brown,10115,HB,2,MIN,1,0,0,0,0,0,0,0.0,,
Will Tye,10070,TE,3,NYJ,6,0,0,0,0,0,0,0.0,,
Rod Smith,9996,HB,14,DAL,22,0,0,0,0,0,0,0.0,,
Thomas Rawls,9993,HB,11,SEA,13,0,0,0,0,0,0,0.0,,
Gabe Holmes,9980,TE,2,ARZ,1,0,0,0,0,0,0,0.0,,
Larry Pinkard,9930,WR,3,JAX,1,0,0,0,0,0,0,0.0,,
Malcolm Brown,9902,HB,11,LA,11,0,0,0,0,0,0,0.0,,
Matt LaCosse,9840,TE,5,DEN,1,0,0,0,0,0,0,0.0,,
Akeem Hunt,9839,HB,10,KC,6,0,0,0,0,0,0,0.0,,
Corey Grant,9827,HB,6,JAX,4,0,0,0,0,0,0,0.0,,
Mike Gillislee,7946,HB,8,NE,1,0,0,0,0,0,0,0.0,,
Latavius Murray,7962,HB,16,MIN,17,0,0,0,0,0,0,0.0,,
Terron Ward,9778,HB,4,ATL,3,0,0,0,0,0,0,0.0,,
Zach Zenner,9761,HB,8,DET,1,0,0,0,0,0,0,0.0,,
Theo Riddick,7980,HB,16,DET,68,0,0,0,0,0,0,0.0,,
Geoff Swaim,9679,TE,11,DAL,2,0,0,0,0,0,0,0.0,,
Tommy Bohanon,7997,FB,15,JAX,11,0,0,0,0,0,0,0.0,,
Nick Williams,8005,WR,1,ATL,4,0,0,0,0,0,0,0.0,,
Marcus Murphy,9663,HB,1,BUF,2,0,0,0,0,0,0,0.0,,
C.J. Anderson,8101,HB,16,DEN,35,0,0,0,0,0,0,0.0,,
Ben Koyack,9662,TE,16,JAX,5,0,0,0,0,0,0,0.0,,
Aaron Ripkowski,9639,FB,16,GB,7,0,0,0,0,0,0,0.0,,
Richard Rodgers,8733,TE,14,GB,17,1,1,0,24,1,1,5.9,0.0,100.0
Bobo Wilson,12067,WR,3,TB,1,1,1,0,18,1,1,100.0,0.0,100.0
Maurice Harris,11035,WR,6,WAS,6,1,1,0,36,1,1,16.7,0.0,100.0
Jordan Leslie,9897,WR,2,CLV,1,1,1,0,26,1,0,100.0,0.0,100.0
Ifeanyi Momah,8557,TE,6,ARZ,2,1,1,0,46,1,0,50.0,0.0,100.0
Alan Cross,10931,FB,8,TB,6,1,1,0,23,1,0,16.7,0.0,100.0
Logan Thomas,8755,TE,10,BUF,9,1,1,0,22,1,1,11.1,0.0,100.0
Orson Charles,7116,TE,5,KC,2,1,1,0,35,1,0,50.0,0.0,100.0
Tyler Eifert,7802,TE,2,CIN,5,1,1,0,22,1,0,20.0,0.0,100.0
Jaydon Mickens,11371,WR,8,JAX,11,1,1,0,41,1,0,9.1,0.0,100.0
Nick Vannett,10728,TE,15,SEA,15,1,1,0,17,1,1,6.7,0.0,100.0
Eric Tomlinson,9786,TE,14,NYJ,10,1,1,0,25,1,0,10.0,0.0,100.0
Niles Paul,6307,TE,14,WAS,18,1,1,0,32,1,0,5.6,0.0,100.0
Randall Telfer,9631,TE,15,CLV,4,1,1,0,20,1,0,25.0,0.0,100.0
James White,8765,HB,14,NE,68,1,1,0,24,1,0,1.5,0.0,100.0
Kenjon Barner,7963,HB,12,PHI,8,1,1,0,22,1,0,12.5,0.0,100.0
Quan Bray,9700,WR,6,IND,3,1,1,0,22,1,0,33.3,0.0,100.0
Jerell Adams,10818,TE,15,NYG,11,1,1,0,38,1,0,9.1,0.0,100.0
Chris Thompson,12330,WR,7,HST,6,1,1,0,32,1,0,16.7,0.0,100.0
Willie Snead IV,8999,WR,11,NO,13,1,1,0,23,1,0,7.7,0.0,100.0
Alex Erickson,11107,WR,14,CIN,16,2,2,0,66,2,1,12.5,0.0,100.0
Antonio Gates,1609,TE,16,LAC,44,2,2,0,47,2,0,4.5,0.0,100.0
Brian Quick,7037,WR,7,WAS,8,1,1,0,31,1,0,12.5,0.0,100.0
Coby Fleener,7038,TE,11,NO,29,2,2,0,48,2,0,6.9,0.0,100.0
Austin Ekeler,12164,HB,13,LAC,31,1,1,0,38,1,0,3.2,0.0,100.0
Brice Butler,7991,WR,13,DAL,22,7,6,1,229,7,1,31.8,14.3,85.7
O.J. Howard,11774,TE,14,TB,36,6,5,0,157,5,2,16.7,0.0,83.3
Danny Amendola,4717,WR,15,NE,80,4,3,0,81,3,0,5.0,0.0,75.0
Stephen Anderson,11160,TE,15,HST,50,4,3,0,85,3,0,8.0,0.0,75.0
Gerald Everett,11799,TE,16,LA,30,6,4,0,176,4,0,20.0,0.0,66.7
Adam Humphries,10075,WR,16,TB,82,6,4,0,133,4,1,7.3,0.0,66.7
De'Anthony Thomas,8759,WR,16,KC,16,3,2,0,79,2,1,18.8,0.0,66.7
Cameron Brate,9207,TE,16,TB,73,3,2,0,46,2,2,4.1,0.0,66.7
Chester Rogers,10918,WR,11,IND,36,3,2,0,83,2,1,8.3,0.0,66.7
Alvin Kamara,11822,HB,16,NO,96,6,4,1,137,5,0,6.3,20.0,66.7
ArDarius Stewart,11834,WR,14,NYJ,12,3,2,0,70,2,0,25.0,0.0,66.7
Cody Latimer,8691,WR,11,DEN,27,6,4,0,106,4,2,22.2,0.0,66.7
Trey Burton,9185,TE,15,PHI,30,3,2,0,47,2,2,10.0,0.0,66.7
Kyle Juszczyk,7912,FB,14,SF,39,3,2,0,73,2,0,7.7,0.0,66.7
Kareem Hunt,11841,HB,16,KC,62,3,2,0,107,2,1,4.8,0.0,66.7
Hunter Henry,10669,TE,14,LAC,60,6,4,0,107,4,1,10.0,0.0,66.7
Kelvin Benjamin,8663,WR,14,BUF,78,11,7,0,199,7,2,14.1,0.0,63.6
Zach Ertz,7816,TE,14,PHI,102,11,7,0,209,7,2,10.8,0.0,63.6
Jason Witten,1384,TE,16,DAL,80,5,3,0,66,3,3,6.3,0.0,60.0
Albert Wilson,8943,WR,13,KC,56,5,3,1,136,4,1,8.9,25.0,60.0
Seth DeValve,10772,TE,16,CLV,53,7,4,0,128,4,0,13.2,0.0,57.1
Jamison Crowder,9538,WR,15,WAS,96,9,5,0,156,5,1,9.4,0.0,55.6
JuJu Smith-Schuster,11817,WR,14,PIT,77,11,6,0,308,6,2,14.3,0.0,54.5
Tyreek Hill,10799,WR,15,KC,102,24,13,0,628,13,6,23.5,0.0,54.2
Travis Kelce,7844,TE,15,KC,117,17,9,0,266,9,3,14.5,0.0,52.9
Ted Ginn Jr.,3625,WR,15,NO,69,19,10,0,342,10,3,27.5,0.0,52.6
Marvin Jones Jr.,7158,WR,16,DET,105,31,16,0,599,16,5,29.5,0.0,51.6
Martellus Bennett,4375,TE,9,NE,41,2,1,0,33,1,0,4.9,0.0,50.0
Darrius Heyward-Bey,4930,WR,11,PIT,3,2,1,0,44,1,0,66.7,0.0,50.0
Elijah McGuire,11943,HB,14,NYJ,26,2,1,0,38,1,0,7.7,0.0,50.0
Jordan Reed,7866,TE,6,WAS,33,2,1,0,20,1,0,6.1,0.0,50.0
Jared Cook,5012,TE,16,OAK,83,8,4,1,113,5,0,9.6,20.0,50.0
C.J. Prosise,10724,HB,5,SEA,10,2,1,0,46,1,0,20.0,0.0,50.0
Dion Sims,7888,TE,14,CHI,27,4,2,0,51,2,1,14.8,0.0,50.0
Levine Toilolo,7915,TE,15,ATL,14,2,1,0,25,1,1,14.3,0.0,50.0
Chad Hansen,11896,WR,14,NYJ,15,2,1,0,24,1,0,13.3,0.0,50.0
Jamaal Williams,11889,HB,13,GB,33,2,1,1,30,2,1,6.1,50.0,50.0
Rob Gronkowski,5567,TE,14,NE,100,14,7,2,205,9,0,14.0,22.2,50.0
Luke Willson,7940,TE,16,SEA,20,4,2,1,53,3,2,20.0,33.3,50.0
Tarik Cohen,11874,HB,16,CHI,65,2,1,0,70,1,0,3.1,0.0,50.0
Brenton Bersin,7516,WR,8,CAR,13,4,2,0,50,2,0,30.8,0.0,50.0
Trevor Davis,10797,WR,12,GB,6,2,1,0,29,1,0,33.3,0.0,50.0
Rex Burkhead,7971,HB,10,NE,36,2,1,0,19,1,1,5.6,0.0,50.0
Garrett Celek,7274,TE,16,SF,30,2,1,0,41,1,0,6.7,0.0,50.0
Mike Thomas,10840,WR,6,LA,7,2,1,0,50,1,0,28.6,0.0,50.0
Taywan Taylor,11827,WR,16,TEN,26,6,3,0,118,3,1,23.1,0.0,50.0
James Hanna,7175,TE,16,DAL,7,2,1,0,31,1,0,28.6,0.0,50.0
Tevin Coleman,9506,HB,15,ATL,36,2,1,0,39,1,0,5.6,0.0,50.0
Chris Conley,9509,WR,5,KC,16,4,2,0,60,2,0,25.0,0.0,50.0
Jarius Wright,7118,WR,16,MIN,23,2,1,0,30,1,0,8.7,0.0,50.0
Josh Hill,8200,TE,16,NO,22,2,1,0,22,1,0,9.1,0.0,50.0
Jeff Heuerman,9525,TE,14,DEN,18,2,1,0,54,1,1,11.1,0.0,50.0
Hunter Sharp,11078,WR,3,NYG,9,2,1,0,16,1,1,22.2,0.0,50.0
Virgil Green,6356,TE,16,DEN,22,2,1,1,44,2,0,9.1,50.0,50.0
Vance McDonald,7836,TE,10,PIT,22,2,1,0,26,1,0,9.1,0.0,50.0
Brandon Coleman,9086,WR,16,NO,34,6,3,0,84,3,1,17.6,0.0,50.0
Tyler Boyd,10689,WR,10,CIN,31,2,1,0,49,1,1,6.5,0.0,50.0
Kenyan Drake,10707,HB,13,MIA,43,2,1,0,47,1,0,4.7,0.0,50.0
Anthony Fasano,2998,TE,14,MIA,15,2,1,0,29,1,0,13.3,0.0,50.0
T.J. Jones,8824,WR,14,DET,45,6,3,0,88,3,0,13.3,0.0,50.0
Tanner McEvoy,11288,WR,15,SEA,9,2,1,0,53,1,0,22.2,0.0,50.0
Lance Kendricks,6199,TE,15,GB,28,2,1,0,24,1,0,7.1,0.0,50.0
Marvin Hall,11440,WR,8,ATL,8,4,2,0,60,2,1,50.0,0.0,50.0
Tommylee Lewis,11231,WR,13,NO,15,4,2,0,78,2,1,26.7,0.0,50.0
Jeremy Kerley,6305,WR,8,NYJ,25,2,1,0,30,1,0,8.0,0.0,50.0
Charles Clay,6326,TE,13,BUF,72,8,4,0,142,4,0,11.1,0.0,50.0
Stefon Diggs,9579,WR,14,MIN,94,24,12,0,324,12,4,25.5,0.0,50.0
David Njoku,11784,TE,16,CLV,58,15,7,1,190,8,3,25.9,12.5,46.7
Robert Woods,7822,WR,12,LA,80,13,6,2,226,8,1,16.3,25.0,46.2
Robby Anderson,11254,WR,16,NYJ,111,26,12,0,408,12,7,23.4,0.0,46.2
Adam Thielen,8288,WR,16,MIN,135,22,10,0,306,10,1,16.3,0.0,45.5
Keenan Allen,7857,WR,16,LAC,147,11,5,0,157,5,0,7.5,0.0,45.5
Cooper Kupp,11824,WR,15,LA,90,11,5,2,147,7,2,12.2,28.6,45.5
Chris Moore,10741,WR,12,BLT,34,9,4,0,95,4,1,26.5,0.0,44.4
Kyle Rudolph,6195,TE,16,MIN,76,9,4,1,95,5,2,11.8,20.0,44.4
Roger Lewis Jr.,11246,WR,15,NYG,71,9,4,0,109,4,1,12.7,0.0,44.4
Donte Moncrief,8725,WR,12,IND,41,9,4,2,162,6,2,22.0,33.3,44.4
Brandin Cooks,8655,WR,16,NE,109,36,16,0,608,16,3,33.0,0.0,44.4
Keelan Cole,51593,WR,16,JAX,73,16,7,2,300,9,1,21.9,22.2,43.8
Nelson Agholor,9453,WR,16,PHI,91,16,7,1,311,8,3,17.6,12.5,43.8
Doug Baldwin,6615,WR,16,SEA,112,30,13,0,387,13,4,26.8,0.0,43.3
Dontrelle Inman,6597,WR,11,CHI,43,7,3,1,69,4,0,16.3,25.0,42.9
Eric Ebron,8645,TE,16,DET,81,7,3,0,88,3,2,8.6,0.0,42.9
Mohamed Sanu,7084,WR,15,ATL,94,7,3,0,65,3,0,7.4,0.0,42.9
Phillip Dorsett,9462,WR,15,NE,17,7,3,1,100,4,0,41.2,25.0,42.9
Mike Wallace,5007,WR,15,BLT,87,21,9,0,329,9,1,24.1,0.0,42.9
Deonte Thompson,7513,WR,16,BUF,67,19,8,0,247,8,2,28.4,0.0,42.1
Larry Fitzgerald,1724,WR,16,ARZ,153,12,5,1,118,6,2,7.8,16.7,41.7
Davante Adams,8688,WR,14,GB,108,17,7,1,250,8,2,15.7,12.5,41.2
Dede Westbrook,11865,WR,7,JAX,49,10,4,1,102,5,0,20.4,20.0,40.0
Duke Johnson Jr.,9510,HB,16,CLV,89,5,2,0,61,2,1,5.6,0.0,40.0
Paul Richardson Jr.,8680,WR,16,SEA,80,20,8,0,296,8,3,25.0,0.0,40.0
Brandon LaFell,5602,WR,16,CIN,86,10,4,0,138,4,1,11.6,0.0,40.0
Demaryius Thomas,5547,WR,16,DEN,136,20,8,1,202,9,2,14.7,11.1,40.0
Zach Miller,5104,TE,8,CHI,34,5,2,0,41,2,2,14.7,0.0,40.0
J.D. McKissic,11047,HB,13,SEA,44,5,2,0,53,2,1,11.4,0.0,40.0
Michael Thomas,10681,WR,16,NO,139,20,8,0,231,8,0,14.4,0.0,40.0
Nick O'Leary,9627,TE,15,BUF,30,5,2,0,57,2,1,16.7,0.0,40.0
Austin Hooper,10715,TE,16,ATL,62,5,2,0,109,2,1,8.1,0.0,40.0
T.Y. Hilton,7092,WR,16,IND,102,21,8,1,287,9,1,20.6,11.1,38.1
DeAndre Hopkins,7808,WR,15,HST,164,42,16,0,468,16,5,25.6,0.0,38.1
Kenny Golladay,11851,WR,11,DET,48,16,6,1,256,7,2,33.3,14.3,37.5
Ed Dickson,5595,TE,16,CAR,44,8,3,0,108,3,0,18.2,0.0,37.5
Seth Roberts,9079,WR,15,OAK,65,8,3,0,76,3,1,12.3,0.0,37.5
Kenny Stills,7926,WR,16,MIA,101,32,12,1,366,13,4,31.7,7.7,37.5
Bennie Fowler,8914,WR,16,DEN,54,8,3,0,67,3,1,14.8,0.0,37.5
Vernon Davis,2951,TE,16,WAS,68,16,6,0,203,6,3,23.5,0.0,37.5
Marquise Goodwin,7859,WR,16,SF,99,22,8,3,364,11,1,22.2,27.3,36.4
Jermaine Kearse,7428,WR,16,NYJ,95,11,4,0,151,4,2,11.6,0.0,36.4
Julio Jones,6158,WR,16,ATL,143,36,13,3,394,16,2,25.2,18.8,36.1
Will Fuller V,10655,WR,10,HST,47,14,5,1,202,6,4,29.8,16.7,35.7
Rishard Matthews,7211,WR,14,TEN,84,14,5,0,173,5,2,16.7,0.0,35.7
Delanie Walker,3120,TE,16,TEN,103,14,5,3,148,8,0,13.6,37.5,35.7
Markus Wheaton,7860,WR,11,CHI,17,3,1,0,22,1,0,17.6,0.0,33.3
Johnny Holton,11354,WR,15,OAK,18,9,3,3,155,6,2,50.0,50.0,33.3
Jeremy Maclin,4942,WR,12,BLT,67,6,2,0,56,2,1,9.0,0.0,33.3
Bruce Ellington,8741,WR,11,HST,50,9,3,1,93,4,1,18.0,25.0,33.3
