year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Khari Blasingame,44889,HB,6,TEN,5,4,80,54,0,65.6,77.3,72.1,67,83.9,13.5,32,8,24,2,0,0,0,0,111.7,0,0
2019,Andy Janovich,10810,FB,7,DEN,5,5,100,42,0,67.6,54.4,73.4,69.1,74.9,8.4,35,7,22,1,0,0,0,0,101.7,1,0
2019,Jason Moore,91472,WR,8,LAC,5,2,40,43,0,57.6,57.2,68.3,64,,21.5,6,3,32,2,0,0,0,0,71.3,0,0
2019,Jeff Wilson Jr.,29413,HB,8,SF,5,3,60,34,1,73.4,61.5,70.5,79.4,52.9,11.3,20,6.7,25,1,0,0,0,0,120,0,0
2019,Mike Thomas,10840,WR,6,LA,5,2,40,14,0,58.4,62.5,68.3,67.1,,7,9,4.5,9,1,0,0,0,0,47.9,0,0
2019,Devine Ozigbo,45903,HB,4,JAX,5,3,60,23,0,54.4,43.9,36.8,73.7,25.4,7.7,21,7,12,1,1,0,0,1,71.3,0,0
2019,Robert Davis,11964,WR,6,PHI,5,2,40,17,0,57.3,56.3,70.5,65.8,,8.5,2,1,11,2,0,1,0,0,10,1,0
2019,Michael Crabtree,4933,WR,2,ARZ,5,4,80,22,0,56.7,54.1,72.1,67,,5.5,6,1.5,9,0,0,0,0,0,85,0,0
2019,Ross Travis,10320,TE,3,NYJ,5,4,80,51,0,56,56,72.1,15,,12.8,29,7.3,25,1,0,0,1,0,109.2,0,0
2019,Malcolm Brown,9902,HB,14,LA,5,2,40,16,0,64.4,40.8,36.2,85.2,61.2,8,7,3.5,10,0,1,2,0,0,9.2,0,0
2019,J.J. Nelson,9592,WR,2,OAK,5,4,80,36,1,57.1,56.6,72.1,67,,9,14,3.5,29,1,0,0,0,0,136.3,0,0
2019,Gunner Olszewski,95015,WR,4,NE,4,2,50,34,0,51.5,53.8,68.3,85.7,,17,17,8.5,29,1,0,0,0,1,79.2,0,0
2019,Jon Hilliman,45826,HB,3,NYG,4,3,75,1,0,52.1,30.7,70.5,22.1,87.9,0.3,10,3.3,5,0,0,0,1,0,77.1,0,0
2019,Deontay Burnett,47477,WR,1,PHI,4,2,50,48,0,73.5,71.7,68.3,64,,24,7,3.5,41,1,0,0,0,0,93.8,0,0
