year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Breon Borders,39398,CB,6,WAS,56,4,7.1,0,1,0,1,12.5,1,25,0,1,0,1,50,3,75,0,0,0,0,0
2019,Deionte Thompson,25444,S,8,ARZ,166,4,2.4,0,1,0,1,12.5,2,50,0,1,0,1,25,2,50,0,0,0,0,0
2019,Eric Kendricks,9478,LB,15,MIN,573,68,11.9,1,1,14,16,12.5,28,43.1,0,0,4,4,7.1,37,56.9,1,1,9,11,16.2
2019,Carroll Phillips,48353,ED,1,WAS,9,8,88.9,0,1,1,2,12.5,1,12.5,0,0,0,0,0,7,87.5,0,1,1,2,14.3
2019,Jeff Heath,8396,S,13,DAL,441,20,4.5,0,1,4,5,12.5,14,70,0,0,3,3,10.7,6,30,0,1,1,2,16.7
2019,Malcolm Jenkins,4937,S,16,PHI,635,72,11.3,5,2,6,13,12.5,42,60,3,0,5,8,13.1,28,40,2,2,1,5,12.5
2019,Duke Dawson Jr.,51576,CB,10,DEN,213,8,3.8,0,0,2,2,12.5,5,62.5,0,0,2,2,20,3,37.5,0,0,0,0,0
2019,Nickell Robey-Coleman,8483,CB,16,LA,493,4,0.8,0,0,1,1,12.5,3,75,0,0,0,0,0,1,25,0,0,1,1,50
2019,Anthony Harris,9895,S,14,MIN,559,12,2.1,0,1,2,3,12.5,6,50,0,0,2,2,16.7,6,50,0,1,0,1,8.3
2019,Corey Ballentine,83833,CB,8,NYG,188,8,4.3,0,1,1,2,12.5,3,37.5,0,0,1,1,16.7,5,62.5,0,1,0,1,10
2019,Ricardo Allen,8782,S,16,ATL,546,8,1.5,0,0,2,2,12.5,5,62.5,0,0,0,0,0,3,37.5,0,0,2,2,33.3
2019,Leon Jacobs,44980,LB,14,JAX,133,37,27.8,3,0,3,6,12.2,14,37.8,1,0,3,4,17.9,23,62.2,2,0,0,2,8.7
2019,Budda Baker,11791,S,16,ARZ,657,54,8.2,1,2,9,12,12,24,44.4,0,1,5,6,12.5,30,55.6,1,1,4,6,11.7
2019,Wesley Woodyard,4583,LB,14,TEN,194,21,10.8,1,1,2,4,11.9,11,55,0,1,2,3,13.6,9,45,1,0,0,1,11.1
2019,T.J. Carrie,8853,CB,15,CLV,417,38,9.1,1,1,6,8,11.8,15,39.5,1,0,4,5,20,23,60.5,0,1,2,3,6.5
2019,D.J. Hayden,7793,CB,15,JAX,407,38,9.3,2,3,2,7,11.8,20,52.6,2,2,1,5,17.5,18,47.4,0,1,1,2,5.6
2019,Jonathan Ledbetter,18645,ED,1,MIA,13,13,100,1,0,1,2,11.5,8,61.5,1,0,1,2,18.8,5,38.5,0,0,0,0,0
2019,Shaun Dion Hamilton,49706,LB,15,WAS,204,26,12.7,1,1,3,5,11.5,9,42.9,0,0,0,0,0,12,57.1,1,0,3,4,20.8
2019,Jordan Whitehead,49196,S,14,TB,599,52,8.7,0,1,11,12,11.5,30,58.8,0,0,9,9,15,21,41.2,0,1,1,2,4.8
2019,Mark Barron,7013,LB,15,PIT,444,52,11.7,4,0,4,8,11.5,27,51.9,3,0,3,6,16.7,25,48.1,1,0,1,2,6
2019,Darnell Savage,34247,S,14,GB,499,22,4.4,0,1,4,5,11.4,11,50,0,0,2,2,9.1,11,50,0,1,2,3,13.6
2019,Zach Cunningham,11812,LB,16,HST,558,49,8.8,2,0,7,9,11.2,20,44.4,1,0,4,5,15,25,55.6,1,0,2,3,8
2019,Kendall Sheffield,34105,CB,14,ATL,425,9,2.1,0,0,2,2,11.1,6,66.7,0,0,1,1,8.3,3,33.3,0,0,1,1,16.7
2019,Tramaine Brock Sr.,5903,CB,14,TEN,461,18,3.9,0,2,2,4,11.1,12,66.7,0,0,1,1,4.2,6,33.3,0,2,1,3,25
2019,Juston Burris,10752,S,12,CLV,217,27,12.4,1,1,3,5,11.1,13,48.1,0,0,2,2,7.7,14,51.9,1,1,1,3,14.3
2019,Mike Edwards,51282,S,14,TB,413,18,4.4,1,0,2,3,11.1,11,61.1,0,0,2,2,9.1,7,38.9,1,0,0,1,14.3
2019,Jahleel Addae,8117,S,16,HST,339,27,8,0,0,6,6,11.1,16,59.3,0,0,3,3,9.4,11,40.7,0,0,3,3,13.6
2019,Tramon Williams,3558,CB,16,GB,485,9,1.9,0,1,1,2,11.1,4,44.4,0,1,0,1,12.5,5,55.6,0,0,1,1,10
2019,Kevin Minter,7826,LB,7,TB,189,50,26.5,0,1,10,11,11,18,40,0,1,2,3,8.3,27,60,0,0,6,6,11.1
2019,Jamie Collins Sr.,7833,LB,16,NE,488,173,35.5,8,3,19,30,11,67,43.2,3,1,6,10,9.7,88,56.8,2,2,12,16,10.2
2019,Nathan Gerry,11940,LB,16,PHI,331,41,12.4,2,0,5,7,11,18,50,1,0,3,4,13.9,18,50,0,0,2,2,5.6
2019,Alec Ogletree,7811,LB,13,NYG,470,74,15.7,2,3,9,14,10.8,31,44.9,2,1,2,5,11.3,38,55.1,0,1,7,8,10.5
2019,Danny Trevathan,7177,LB,9,CHI,325,37,11.4,1,3,3,7,10.8,19,55.9,1,1,0,2,7.9,15,44.1,0,2,3,5,16.7
2019,Bobby Okereke,50954,LB,16,IND,222,14,6.3,1,0,1,2,10.7,4,30.8,1,0,0,1,25,9,69.2,0,0,1,1,5.6
2019,Shaq Thompson,9458,LB,14,CAR,550,56,10.2,3,1,5,9,10.7,28,51.9,1,0,3,4,8.9,26,48.1,2,1,2,5,13.5
2019,Za'Darius Smith,9555,ED,16,GB,520,512,98.5,16,22,55,93,10.6,176,34.9,4,7,21,32,10.2,329,65.1,12,13,33,58,10.6
2019,Mike Hilton,10898,CB,16,PIT,413,57,13.8,2,3,5,10,10.5,21,36.8,1,1,1,3,9.5,36,63.2,1,2,4,7,11.1
2019,Kwon Alexander,9557,LB,8,SF,206,19,9.2,1,0,2,3,10.5,6,31.6,1,0,0,1,16.7,13,68.4,0,0,2,2,7.7
2019,Damien Wilson,9560,LB,16,KC,347,63,18.2,2,2,7,11,10.3,34,54,2,1,3,6,11.8,29,46,0,1,4,5,8.6
2019,David Mayo,9602,LB,13,NYG,311,39,12.5,1,0,6,7,10.3,22,59.5,1,0,4,5,13.6,15,40.5,0,0,2,2,6.7
2019,T.J. Watt,11785,ED,16,PIT,529,481,90.9,18,19,44,81,10.3,472,98.3,18,18,44,80,10.4,8,1.7,0,1,0,1,6.3
2019,Cole Holcomb,49753,LB,16,WAS,375,39,10.4,1,0,6,7,10.3,18,50,0,0,2,2,5.6,18,50,1,0,2,3,11.1
2019,Earl Thomas III,5539,S,15,BLT,557,54,9.7,1,2,7,10,10.2,28,53.8,0,1,7,8,14.3,24,46.2,1,1,0,2,6.3
2019,Demario Davis,7079,LB,16,NO,614,158,25.7,4,5,19,28,10.1,69,44.5,1,3,8,12,9.4,86,55.5,3,2,10,15,10.5
2019,Damontae Kazee,11904,CB,16,ATL,501,10,2,0,0,2,2,10,6,60,0,0,2,2,16.7,4,40,0,0,0,0,0
2019,Karl Joseph,10648,S,9,OAK,323,10,3.1,0,1,1,2,10,8,80,0,1,1,2,12.5,2,20,0,0,0,0,0
2019,Ryan Connelly,49840,LB,4,NYG,93,15,16.1,1,0,1,2,10,9,60,1,0,1,2,16.7,6,40,0,0,0,0,0
2019,Joe Schobert,10733,LB,16,CLV,575,60,10.4,2,2,6,10,10,29,54.7,1,2,4,7,13.8,24,45.3,1,0,2,3,8.3
2019,Reggie Ragland,10675,LB,14,KC,125,60,48,2,1,7,10,10,23,39,1,0,3,4,10.9,36,61,1,1,4,6,9.7
2019,Jalen Reeves-Maybin,11879,LB,9,DET,172,25,14.5,0,1,4,5,10,8,44.4,0,1,1,2,12.5,10,55.6,0,0,1,1,5
2019,B.J. Goodson,10743,LB,13,GB,98,10,10.2,0,0,2,2,10,4,40,0,0,0,0,0,6,60,0,0,2,2,16.7
